id x y modelclimatetableName modelsiteavailableNitrogen modelsitesoilDepth modelsitepctSand modelsitepctSilt modelsitepctClay
1 0 0 low_hist 45 30 34 33 33
2 1 0 low_hist 45 30 34 33 33
3 2 0 low_hist 45 30 34 33 33
4 3 0 low_hist 45 30 34 33 33
5 4 0 low_hist 45 30 34 33 33
6 5 0 low_hist 45 30 34 33 33
7 6 0 low_hist 45 30 34 33 33
8 7 0 low_hist 45 30 34 33 33
9 8 0 low_hist 45 30 34 33 33
10 9 0 low_hist 45 30 34 33 33
11 10 0 low_hist 45 30 34 33 33
12 11 0 low_hist 45 30 34 33 33
13 12 0 low_hist 55 30 34 33 33
14 13 0 low_hist 55 30 34 33 33
15 14 0 low_hist 55 30 34 33 33
16 15 0 low_hist 55 30 34 33 33
17 16 0 low_hist 55 30 34 33 33
18 17 0 low_hist 55 30 34 33 33
19 18 0 low_hist 55 30 34 33 33
20 19 0 low_hist 55 30 34 33 33
21 20 0 low_hist 55 30 34 33 33
22 21 0 low_hist 55 30 34 33 33
23 22 0 low_hist 55 30 34 33 33
24 23 0 low_hist 55 30 34 33 33
25 24 0 med_hist 45 30 34 33 33
26 25 0 med_hist 45 30 34 33 33
27 26 0 med_hist 45 30 34 33 33
28 27 0 med_hist 45 30 34 33 33
29 28 0 med_hist 45 30 34 33 33
30 29 0 med_hist 45 30 34 33 33
31 30 0 med_hist 45 30 34 33 33
32 31 0 med_hist 45 30 34 33 33
33 32 0 med_hist 45 30 34 33 33
34 33 0 med_hist 45 30 34 33 33
35 34 0 med_hist 45 30 34 33 33
36 35 0 med_hist 45 30 34 33 33
37 0 1 med_hist 55 30 34 33 33
38 1 1 med_hist 55 30 34 33 33
39 2 1 med_hist 55 30 34 33 33
40 3 1 med_hist 55 30 34 33 33
41 4 1 med_hist 55 30 34 33 33
42 5 1 med_hist 55 30 34 33 33
43 6 1 med_hist 55 30 34 33 33
44 7 1 med_hist 55 30 34 33 33
45 8 1 med_hist 55 30 34 33 33
46 9 1 med_hist 55 30 34 33 33
47 10 1 med_hist 55 30 34 33 33
48 11 1 med_hist 55 30 34 33 33
49 12 1 high_hist 45 30 34 33 33
50 13 1 high_hist 45 30 34 33 33
51 14 1 high_hist 45 30 34 33 33
52 15 1 high_hist 45 30 34 33 33
53 16 1 high_hist 45 30 34 33 33
54 17 1 high_hist 45 30 34 33 33
55 18 1 high_hist 45 30 34 33 33
56 19 1 high_hist 45 30 34 33 33
57 20 1 high_hist 45 30 34 33 33
58 21 1 high_hist 45 30 34 33 33
59 22 1 high_hist 45 30 34 33 33
60 23 1 high_hist 45 30 34 33 33
61 24 1 high_hist 55 30 34 33 33
62 25 1 high_hist 55 30 34 33 33
63 26 1 high_hist 55 30 34 33 33
64 27 1 high_hist 55 30 34 33 33
65 28 1 high_hist 55 30 34 33 33
66 29 1 high_hist 55 30 34 33 33
67 30 1 high_hist 55 30 34 33 33
68 31 1 high_hist 55 30 34 33 33
69 32 1 high_hist 55 30 34 33 33
70 33 1 high_hist 55 30 34 33 33
71 34 1 high_hist 55 30 34 33 33
72 35 1 high_hist 55 30 34 33 33
73 0 2 low_rcp_45_2030 45 30 34 33 33
74 1 2 low_rcp_45_2030 45 30 34 33 33
75 2 2 low_rcp_45_2030 45 30 34 33 33
76 3 2 low_rcp_45_2030 45 30 34 33 33
77 4 2 low_rcp_45_2030 45 30 34 33 33
78 5 2 low_rcp_45_2030 45 30 34 33 33
79 6 2 low_rcp_45_2030 45 30 34 33 33
80 7 2 low_rcp_45_2030 45 30 34 33 33
81 8 2 low_rcp_45_2030 45 30 34 33 33
82 9 2 low_rcp_45_2030 45 30 34 33 33
83 10 2 low_rcp_45_2030 45 30 34 33 33
84 11 2 low_rcp_45_2030 45 30 34 33 33
85 12 2 low_rcp_45_2030 55 30 34 33 33
86 13 2 low_rcp_45_2030 55 30 34 33 33
87 14 2 low_rcp_45_2030 55 30 34 33 33
88 15 2 low_rcp_45_2030 55 30 34 33 33
89 16 2 low_rcp_45_2030 55 30 34 33 33
90 17 2 low_rcp_45_2030 55 30 34 33 33
91 18 2 low_rcp_45_2030 55 30 34 33 33
92 19 2 low_rcp_45_2030 55 30 34 33 33
93 20 2 low_rcp_45_2030 55 30 34 33 33
94 21 2 low_rcp_45_2030 55 30 34 33 33
95 22 2 low_rcp_45_2030 55 30 34 33 33
96 23 2 low_rcp_45_2030 55 30 34 33 33
97 24 2 mid_rcp_45_2030 45 30 34 33 33
98 25 2 mid_rcp_45_2030 45 30 34 33 33
99 26 2 mid_rcp_45_2030 45 30 34 33 33
100 27 2 mid_rcp_45_2030 45 30 34 33 33
101 28 2 mid_rcp_45_2030 45 30 34 33 33
102 29 2 mid_rcp_45_2030 45 30 34 33 33
103 30 2 mid_rcp_45_2030 45 30 34 33 33
104 31 2 mid_rcp_45_2030 45 30 34 33 33
105 32 2 mid_rcp_45_2030 45 30 34 33 33
106 33 2 mid_rcp_45_2030 45 30 34 33 33
107 34 2 mid_rcp_45_2030 45 30 34 33 33
108 35 2 mid_rcp_45_2030 45 30 34 33 33
109 0 3 mid_rcp_45_2030 55 30 34 33 33
110 1 3 mid_rcp_45_2030 55 30 34 33 33
111 2 3 mid_rcp_45_2030 55 30 34 33 33
112 3 3 mid_rcp_45_2030 55 30 34 33 33
113 4 3 mid_rcp_45_2030 55 30 34 33 33
114 5 3 mid_rcp_45_2030 55 30 34 33 33
115 6 3 mid_rcp_45_2030 55 30 34 33 33
116 7 3 mid_rcp_45_2030 55 30 34 33 33
117 8 3 mid_rcp_45_2030 55 30 34 33 33
118 9 3 mid_rcp_45_2030 55 30 34 33 33
119 10 3 mid_rcp_45_2030 55 30 34 33 33
120 11 3 mid_rcp_45_2030 55 30 34 33 33
121 12 3 high_rcp_45_2030 45 30 34 33 33
122 13 3 high_rcp_45_2030 45 30 34 33 33
123 14 3 high_rcp_45_2030 45 30 34 33 33
124 15 3 high_rcp_45_2030 45 30 34 33 33
125 16 3 high_rcp_45_2030 45 30 34 33 33
126 17 3 high_rcp_45_2030 45 30 34 33 33
127 18 3 high_rcp_45_2030 45 30 34 33 33
128 19 3 high_rcp_45_2030 45 30 34 33 33
129 20 3 high_rcp_45_2030 45 30 34 33 33
130 21 3 high_rcp_45_2030 45 30 34 33 33
131 22 3 high_rcp_45_2030 45 30 34 33 33
132 23 3 high_rcp_45_2030 45 30 34 33 33
133 24 3 high_rcp_45_2030 55 30 34 33 33
134 25 3 high_rcp_45_2030 55 30 34 33 33
135 26 3 high_rcp_45_2030 55 30 34 33 33
136 27 3 high_rcp_45_2030 55 30 34 33 33
137 28 3 high_rcp_45_2030 55 30 34 33 33
138 29 3 high_rcp_45_2030 55 30 34 33 33
139 30 3 high_rcp_45_2030 55 30 34 33 33
140 31 3 high_rcp_45_2030 55 30 34 33 33
141 32 3 high_rcp_45_2030 55 30 34 33 33
142 33 3 high_rcp_45_2030 55 30 34 33 33
143 34 3 high_rcp_45_2030 55 30 34 33 33
144 35 3 high_rcp_45_2030 55 30 34 33 33
145 0 4 low_rcp_8_2030 45 30 34 33 33
146 1 4 low_rcp_8_2030 45 30 34 33 33
147 2 4 low_rcp_8_2030 45 30 34 33 33
148 3 4 low_rcp_8_2030 45 30 34 33 33
149 4 4 low_rcp_8_2030 45 30 34 33 33
150 5 4 low_rcp_8_2030 45 30 34 33 33
151 6 4 low_rcp_8_2030 45 30 34 33 33
152 7 4 low_rcp_8_2030 45 30 34 33 33
153 8 4 low_rcp_8_2030 45 30 34 33 33
154 9 4 low_rcp_8_2030 45 30 34 33 33
155 10 4 low_rcp_8_2030 45 30 34 33 33
