#Variables:
#tasmax_CNRM-CM5_historical(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_historical(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_historical(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_historical(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_historical(mm):Precipitation
#rsds_CNRM-CM5_historical(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.3961 Latitude, -110.9391 Longitude (closest value to Latitude:44.405621, Longitude:-110.9203023) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),rhsmax_CNRM-CM5_historical(%),rhsmin_CNRM-CM5_historical(%),pr_CNRM-CM5_historical(mm),rsds_CNRM-CM5_historical(Wm-2)
1950-01-01,273.722321,264.439941,80.315933,53.529175,0.388843,85.382423
1950-01-02,272.935486,262.135468,92.658951,52.040386,0.000000,89.955627
1950-01-03,271.580627,262.351013,99.976204,60.192883,0.329774,88.898422
1950-01-04,269.461304,260.354645,99.972961,64.675552,0.529219,84.221443
1950-01-05,268.129486,256.686646,99.982849,47.014034,0.000000,92.024773
1950-01-06,269.055603,256.956665,65.553040,37.980141,0.000000,93.958649
1950-01-07,268.811127,256.855865,57.675892,31.287712,0.000000,94.096977
1950-01-08,271.948151,260.183929,63.596149,43.371136,0.000000,88.831650
1950-01-09,271.638245,260.173737,75.834763,48.017303,0.000000,93.051422
1950-01-10,270.459564,260.227570,63.849380,45.096016,0.000000,72.473206
1950-01-11,274.264221,261.231964,67.272858,49.177769,2.478860,82.650017
1950-01-12,275.358002,267.336334,85.778816,57.333836,1.026465,89.699608
1950-01-13,275.405731,267.077667,66.301392,44.951633,0.000000,95.774323
1950-01-14,275.106842,263.598511,61.272743,40.698799,0.381576,95.670540
1950-01-15,271.812897,265.818970,90.104897,47.457569,7.242115,78.406380
1950-01-16,269.925995,261.868713,82.005882,57.539112,7.657792,73.125946
1950-01-17,270.601501,263.194366,99.973488,53.488422,5.215026,100.960091
1950-01-18,268.290924,257.567932,84.890945,30.707844,0.316464,102.693954
1950-01-19,268.720703,262.556274,81.902756,29.899288,4.389855,88.884789
1950-01-20,265.396942,257.870178,83.319580,47.445412,0.000000,108.377647
1950-01-21,269.880737,258.572144,82.517700,41.551125,9.375288,64.151955
1950-01-22,271.073761,263.875153,90.919128,44.294762,10.375019,86.325569
1950-01-23,269.349487,259.443787,87.684525,56.454849,6.605660,82.476776
1950-01-24,271.421661,264.185425,93.944702,65.929619,5.206981,72.760750
1950-01-25,268.645569,262.104706,77.779320,53.107574,6.844287,78.970833
1950-01-26,264.992310,259.717590,80.976814,51.434444,1.838086,94.366669
1950-01-27,261.986511,251.052933,87.620529,44.012024,1.035016,121.991615
1950-01-28,263.856476,250.821381,70.888260,36.034927,0.000000,116.862198
1950-01-29,267.482300,252.207199,72.440216,37.861168,0.000000,121.491257
1950-01-30,268.344177,253.751480,76.779457,29.363586,0.474261,124.801208
1950-01-31,265.829376,254.298386,64.682114,33.661022,0.825947,75.846512
1950-02-01,266.378326,253.235703,92.553955,46.883408,1.406161,132.937027
1950-02-02,271.361969,258.270996,53.924904,17.689232,1.275194,125.467964
1950-02-03,272.846802,263.741516,57.466236,34.204750,0.000000,110.783134
1950-02-04,271.113403,258.470795,99.978874,50.521805,0.000000,135.714066
1950-02-05,270.807526,257.045807,82.743011,36.684177,0.000000,135.492401
1950-02-06,269.420654,263.918121,77.888916,39.160896,9.837433,107.264778
1950-02-07,270.588348,257.971405,77.795181,46.592506,13.043731,86.751083
1950-02-08,262.718658,247.133545,85.989159,40.981941,2.733079,137.740997
1950-02-09,263.279663,246.865601,77.595139,41.771114,4.458963,135.902847
1950-02-10,264.570038,256.285767,72.521568,45.418621,2.033212,142.154160
1950-02-11,256.954285,246.703476,80.706848,23.976387,0.000000,144.867905
1950-02-12,254.471756,241.541458,64.977486,40.268780,0.000000,133.184387
1950-02-13,253.812378,240.007141,69.521217,39.079819,2.083288,147.882156
1950-02-14,260.047760,240.644257,76.470642,24.889900,0.000000,154.488403
1950-02-15,271.539703,258.277802,86.715988,38.325882,15.264750,101.776085
1950-02-16,272.402924,262.724487,90.318260,49.792229,3.591780,122.942444
1950-02-17,273.332123,263.637207,79.906364,47.452522,4.743875,106.742958
1950-02-18,273.991364,267.357941,79.874771,49.019974,11.302229,132.783722
1950-02-19,274.831268,265.921143,79.892822,51.514061,0.865787,122.586266
1950-02-20,275.556427,270.900024,87.802765,47.011597,16.935490,118.257195
1950-02-21,274.897491,263.960968,99.999306,48.998730,0.000000,165.848465
1950-02-22,276.126007,260.994263,79.917030,38.529491,1.460198,169.839310
