#Variables:
#tasmax_CNRM-CM5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_rcp45(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_rcp45(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_rcp45(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_rcp45(mm):Precipitation
#rsds_CNRM-CM5_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.3961 Latitude, -110.9391 Longitude (closest value to Latitude:44.405621, Longitude:-110.9203023) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_rcp45(K),tasmin_CNRM-CM5_rcp45(K),rhsmax_CNRM-CM5_rcp45(%),rhsmin_CNRM-CM5_rcp45(%),pr_CNRM-CM5_rcp45(mm),rsds_CNRM-CM5_rcp45(Wm-2)
2006-01-01,267.257416,258.815674,100.000000,63.496899,2.069976,87.521584
2006-01-02,269.471130,256.502167,76.952316,32.813534,0.454255,89.352303
2006-01-03,272.623505,261.342224,56.835735,30.904966,0.000000,88.442589
2006-01-04,273.291962,262.644012,60.206020,42.285690,0.000000,90.109612
2006-01-05,271.996002,261.423065,67.022438,41.729015,1.457578,89.855011
2006-01-06,273.245087,266.333130,77.124481,49.859619,0.702528,84.314827
2006-01-07,272.343384,266.782562,85.546936,63.909622,8.346463,56.907246
2006-01-08,270.961273,260.161346,80.430283,53.759190,0.568370,91.026421
2006-01-09,268.345856,258.180389,85.138161,46.292244,0.400412,81.132668
2006-01-10,268.697174,265.105103,82.063881,46.056324,14.721622,54.302555
2006-01-11,270.143280,264.906097,85.392044,62.642765,13.858164,65.813202
2006-01-12,271.941010,262.743286,91.966339,42.797131,32.051636,79.701164
2006-01-13,267.782135,259.702820,79.034950,64.864983,3.401752,68.349136
2006-01-14,271.951721,266.331543,80.084282,71.405037,11.877080,62.456924
2006-01-15,271.976105,267.045013,91.694717,77.218788,36.534115,44.847183
2006-01-16,272.629242,261.600281,62.964241,38.367744,8.010523,88.144470
2006-01-17,262.315613,253.463730,78.488640,27.846973,0.592537,84.197212
2006-01-18,261.457703,248.844208,66.230392,32.201759,0.000000,101.788391
2006-01-19,263.497833,251.967621,76.400352,46.174896,0.419916,102.713455
2006-01-20,267.981232,253.929520,62.017502,23.842512,0.000000,106.678780
2006-01-21,268.650269,258.166656,70.681885,41.549458,0.415578,101.831604
2006-01-22,267.945648,258.353363,99.527206,56.435215,0.000000,80.262245
2006-01-23,271.733337,265.904419,81.394836,53.739140,7.759641,78.094063
2006-01-24,271.949982,265.728180,82.251732,54.192860,4.442376,95.185173
2006-01-25,272.160553,264.177429,89.632782,60.631401,7.691873,102.746147
2006-01-26,272.144653,263.568359,99.731644,60.134186,6.239100,73.238319
2006-01-27,270.083710,263.986816,79.758972,45.375275,5.961048,88.818680
2006-01-28,268.354126,256.753204,85.215530,53.425106,0.595644,89.535904
2006-01-29,272.953094,264.361633,99.936630,62.138962,0.403000,102.296257
2006-01-30,272.089600,261.699921,93.326591,49.469044,0.000000,116.085480
2006-01-31,271.464966,258.540100,79.695679,47.181965,0.000000,129.832840
2006-02-01,271.882507,258.608856,69.725586,52.160297,0.852386,127.584900
2006-02-02,274.420471,264.871674,99.208321,55.868027,0.000000,116.363426
2006-02-03,272.829529,260.808746,100.000000,56.073174,2.287819,122.924507
