#Variables:
#tasmax_CNRM-CM5_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_rcp85(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_rcp85(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_rcp85(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_rcp85(mm):Precipitation
#rsds_CNRM-CM5_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.3961 Latitude, -110.9391 Longitude (closest value to Latitude:44.405621, Longitude:-110.9203023) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_rcp85(K),tasmin_CNRM-CM5_rcp85(K),rhsmax_CNRM-CM5_rcp85(%),rhsmin_CNRM-CM5_rcp85(%),pr_CNRM-CM5_rcp85(mm),rsds_CNRM-CM5_rcp85(Wm-2)
2006-01-01,266.821045,257.975708,100.000000,63.058811,2.113338,89.047440
2006-01-02,269.200989,256.330658,73.722977,32.084541,0.385551,90.101257
2006-01-03,272.715515,261.112152,56.918030,30.843094,0.000000,89.649590
2006-01-04,273.251373,262.453033,60.593651,42.071369,0.000000,90.640648
2006-01-05,272.096039,261.207458,67.777710,44.088139,1.477271,88.631004
2006-01-06,272.037292,263.615540,84.555611,51.913811,0.742116,89.090523
2006-01-07,272.098022,264.944824,87.674225,50.483692,6.724773,58.945095
2006-01-08,270.283661,260.052124,68.628174,43.834232,0.552862,80.558533
2006-01-09,268.163818,260.768646,91.878410,52.120926,0.000000,71.617928
2006-01-10,269.095886,262.798004,88.286911,58.442825,8.346345,76.975060
2006-01-11,269.697235,263.827179,78.669930,53.063580,11.958087,84.591980
2006-01-12,272.765808,262.417236,84.301239,36.880634,20.978071,82.335442
2006-01-13,268.288940,262.345001,70.269028,53.074661,7.627964,80.049347
2006-01-14,272.015381,266.202881,82.085823,73.333099,8.063396,61.121586
2006-01-15,271.812714,265.478241,88.769882,51.558479,25.254885,56.319298
2006-01-16,272.534363,259.276642,74.818466,50.286797,3.499510,70.709999
2006-01-17,274.087646,267.052246,71.675697,25.867470,3.719780,91.964684
2006-01-18,270.904510,260.073242,62.214573,22.869648,0.000000,103.803009
2006-01-19,262.411713,252.355804,67.406105,34.533512,0.997840,105.610039
2006-01-20,265.732574,253.380814,73.389671,28.380409,2.898252,50.902180
2006-01-21,268.415863,262.172089,80.996376,52.730579,3.983616,103.783081
2006-01-22,272.252838,262.800934,89.812309,54.279591,0.903026,89.579971
2006-01-23,272.099518,262.315155,62.660919,30.369381,0.000000,92.671234
2006-01-24,273.954895,264.023956,40.828636,19.799831,0.408194,85.250351
2006-01-25,274.869904,263.642487,28.981169,19.690052,0.000000,105.328262
2006-01-26,274.429474,261.808594,50.064316,27.473364,0.000000,112.328568
2006-01-27,274.989380,262.697113,54.991253,36.608974,0.000000,114.583458
2006-01-28,274.227356,261.471680,62.886951,38.301651,0.000000,116.466125
2006-01-29,275.911377,262.661194,61.097187,25.271910,0.883979,115.436424
2006-01-30,274.488007,263.518982,60.890495,34.139828,4.750275,99.935303
2006-01-31,272.986053,266.634613,99.993950,52.064568,5.043118,91.850189
2006-02-01,268.965698,260.874512,96.149376,56.199146,4.735781,90.148033
2006-02-02,265.794647,260.863129,71.203735,48.124313,5.867746,94.790115
2006-02-03,261.613556,253.862625,55.168606,43.184170,4.498722,115.086830
2006-02-04,250.870651,238.393173,61.512390,27.169065,0.000000,136.550797
2006-02-05,255.044144,239.325317,68.357384,31.848368,1.287015,138.708176
2006-02-06,265.484406,247.126144,76.427010,48.083981,6.610820,84.309677
2006-02-07,274.443695,262.300751,80.540817,62.093124,16.357121,102.420631
2006-02-08,276.429047,267.283234,100.000000,65.862633,27.855900,91.811447
2006-02-09,275.395752,269.132111,79.517052,46.764114,18.444712,127.756935
2006-02-10,274.517761,264.860748,88.017647,50.814438,2.814582,123.203514
2006-02-11,274.653198,262.393372,97.282097,52.414680,2.289735,136.820953
2006-02-12,276.345459,264.217926,93.197960,44.059822,9.099259,104.387299
2006-02-13,273.870026,257.670776,91.849327,49.938099,19.993263,79.987480
2006-02-14,273.411316,266.422943,73.546913,47.188076,8.930223,119.817245
2006-02-15,270.905609,259.219910,82.873764,42.036831,1.409194,150.841507
2006-02-16,270.689941,256.419037,87.453262,43.219803,1.199045,162.777908
2006-02-17,273.772278,258.923370,74.394981,45.264965,1.898124,141.556610
2006-02-18,273.469879,264.601227,100.000000,49.220776,1.394920,157.644775
2006-02-19,273.492798,260.339508,85.945442,44.491295,0.000000,161.348099
2006-02-20,272.199677,261.995422,97.513763,38.775181,0.000000,160.595139
2006-02-21,274.751801,260.486877,66.119095,35.674629,0.000000,163.950378
2006-02-22,275.033356,260.110596,69.616165,35.341198,0.000000,173.075638
2006-02-23,275.311218,260.570892,65.763573,28.882263,0.000000,172.412354
2006-02-24,274.597595,259.506622,67.152977,30.280437,0.000000,174.022247
2006-02-25,276.221130,261.993439,70.008118,39.322807,0.975179,165.764420
2006-02-26,275.875366,262.690887,75.106148,28.779902,0.000000,179.851608
2006-02-27,275.368134,260.019135,67.764923,22.419836,1.281146,176.678696
2006-02-28,272.938293,263.711578,82.819504,28.857185,0.000000,172.298828
2006-03-01,275.672760,261.524475,69.179886,40.681568,0.602959,132.417191
2006-03-02,278.115173,268.694244,87.171181,50.343433,0.000000,183.712189
2006-03-03,277.457947,269.005005,62.374969,43.602680,1.846428,152.092834
2006-03-04,277.067719,266.473114,88.743118,46.263817,1.717121,177.457642
2006-03-05,277.070648,266.709015,62.533901,36.103539,3.512410,150.936951
2006-03-06,275.732025,264.107574,100.000000,37.526035,4.182408,164.965027
2006-03-07,275.936768,265.240417,75.303383,44.708687,5.572877,166.577438
2006-03-08,276.657440,270.537048,91.308311,52.550240,12.106094,146.317932
2006-03-09,280.821198,268.623657,100.000000,54.092312,2.198427,161.052414
2006-03-10,282.037506,269.204651,87.353065,46.371265,0.660954,199.756042
2006-03-11,281.652496,270.707672,67.089851,39.048458,8.301143,164.695007
2006-03-12,281.272675,268.851135,66.720612,37.668362,2.827096,180.241318
2006-03-13,278.127197,274.096344,91.024277,29.058264,2.797958,170.850845
2006-03-14,275.393341,260.775055,69.951408,26.564877,0.000000,210.322845
2006-03-15,280.707367,264.347351,63.560917,32.661724,0.000000,208.224380
2006-03-16,281.186737,267.007629,76.585449,41.055164,4.518135,194.987915
2006-03-17,275.737579,265.008575,99.671158,47.170807,15.069838,164.547729
2006-03-18,273.594696,264.421112,85.109718,28.881292,1.773303,206.398911
2006-03-19,274.940399,264.466034,78.937447,35.368923,10.024715,151.902573
2006-03-20,273.465698,265.990692,88.674591,33.498585,3.968740,189.705826
2006-03-21,275.090607,262.012054,64.438629,35.698997,1.089042,189.031464
2006-03-22,275.403290,269.966095,95.048859,33.753185,7.416083,181.733627
2006-03-23,275.498230,261.454163,82.005905,34.319702,1.383054,216.328918
2006-03-24,274.036682,261.009369,94.855515,35.379944,0.466947,239.322678
2006-03-25,275.149323,259.252380,88.733749,25.615814,0.000000,237.300354
2006-03-26,276.823181,259.897980,66.259827,29.355865,0.000000,243.486618
2006-03-27,278.729980,264.799255,56.282417,32.430771,0.675689,186.211792
2006-03-28,280.788055,264.222046,91.154633,35.274902,0.000000,249.357788
2006-03-29,282.405457,267.793701,61.596584,36.459839,2.386546,221.846420
2006-03-30,281.887634,270.072815,67.312744,41.372894,4.362339,204.651962
2006-03-31,288.276428,271.532532,66.440392,29.429993,4.618872,240.102722
2006-04-01,278.994110,268.374847,83.701477,35.328175,10.049554,152.696365
2006-04-02,277.044617,266.014832,91.524849,35.109226,0.764324,272.043671
2006-04-03,279.106293,263.784882,81.735535,29.875263,0.903091,268.210693
2006-04-04,278.950348,265.760071,63.516899,34.868450,0.763346,235.897736
2006-04-05,275.990295,264.825439,87.471344,26.435762,0.000000,247.663513
2006-04-06,274.408661,261.799133,72.422379,20.163557,0.000000,270.473724
2006-04-07,276.984741,260.059692,60.642281,18.530100,0.000000,287.090607
2006-04-08,278.245392,261.801697,61.968315,15.979312,0.000000,282.264832
2006-04-09,277.925385,263.746124,47.996162,19.999117,0.000000,277.295349
