#Variables:
#tasmax_CNRM-CM5_historical(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_historical(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_historical(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_historical(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_historical(mm):Precipitation
#rsds_CNRM-CM5_historical(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.9378 Latitude, -110.4391 Longitude (closest value to Latitude:44.921651, Longitude:-110.429834087) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),rhsmax_CNRM-CM5_historical(%),rhsmin_CNRM-CM5_historical(%),pr_CNRM-CM5_historical(mm),rsds_CNRM-CM5_historical(Wm-2)
1950-01-01,277.101227,263.658508,99.993591,60.208881,0.000000,79.565079
1950-01-02,276.881012,262.175140,99.997849,56.671806,0.000000,84.632523
1950-01-03,274.628571,260.081604,99.998161,62.790306,0.000000,83.584717
1950-01-04,272.466644,256.904938,99.998520,63.877560,0.327614,79.993172
1950-01-05,270.509644,254.663132,99.999321,45.456051,0.000000,88.935837
1950-01-06,272.487823,256.533478,87.804413,35.027718,0.000000,87.652618
1950-01-07,271.996063,257.106506,79.762665,35.991760,0.000000,90.463287
1950-01-08,275.434021,258.593140,84.948608,41.742928,0.000000,79.110420
1950-01-09,274.964508,258.342590,96.155609,49.837505,0.000000,87.670654
1950-01-10,273.875854,259.965271,88.654663,45.978771,0.594714,65.071907
1950-01-11,275.868958,259.146210,99.990158,50.310326,0.286019,73.857399
1950-01-12,279.249359,267.700653,99.992401,56.678680,0.582292,80.037086
1950-01-13,279.218170,264.547699,89.463654,44.767979,0.000000,90.783363
1950-01-14,277.528320,262.230469,86.912720,43.292313,0.000000,93.011955
1950-01-15,274.797577,264.077637,99.994408,42.567562,1.926576,76.301033
1950-01-16,273.725250,260.363556,91.551582,49.422173,0.562787,77.762123
1950-01-17,274.145752,262.724243,99.991798,44.326015,0.000000,98.747383
1950-01-18,271.827454,255.740234,95.706528,22.496048,0.000000,97.579155
1950-01-19,273.185394,262.783264,89.998024,24.695318,2.170739,89.855644
1950-01-20,268.627350,255.378983,99.988342,46.798489,0.000000,105.742310
