#Variables:
#tasmax_CNRM-CM5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_rcp45(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_rcp45(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_rcp45(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_rcp45(mm):Precipitation
#rsds_CNRM-CM5_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.9378 Latitude, -110.4391 Longitude (closest value to Latitude:44.921651, Longitude:-110.429834087) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_rcp45(K),tasmin_CNRM-CM5_rcp45(K),rhsmax_CNRM-CM5_rcp45(%),rhsmin_CNRM-CM5_rcp45(%),pr_CNRM-CM5_rcp45(mm),rsds_CNRM-CM5_rcp45(Wm-2)
2006-01-01,271.205719,258.479279,100.000000,56.928768,0.374838,86.189934
2006-01-02,273.912476,255.908875,95.840164,35.309593,0.000000,85.164612
2006-01-03,276.467499,260.149292,79.853233,39.191902,0.000000,84.165703
2006-01-04,275.763153,260.382385,88.396080,47.224915,0.000000,86.872528
2006-01-05,275.293274,259.893677,92.005882,46.198021,0.000000,87.022354
2006-01-06,276.791199,265.586700,100.000000,53.309803,0.000000,81.186592
2006-01-07,276.508026,265.560303,96.795723,57.208431,3.052257,59.509369
2006-01-08,273.303833,258.668793,98.205727,49.524738,0.286729,86.781151
2006-01-09,271.816284,257.040405,96.796906,44.178509,0.000000,72.484329
2006-01-10,272.398193,263.546631,98.631516,42.014187,1.338846,53.158440
2006-01-11,273.111603,263.967682,100.000000,54.748253,2.463175,63.927032
2006-01-12,276.426208,264.349701,100.000000,39.379265,7.606205,77.812584
2006-01-13,271.881287,257.641418,94.419968,57.440819,1.059508,62.121246
2006-01-14,274.699463,264.573334,99.073219,62.598034,1.157050,64.164909
2006-01-15,273.747070,261.309906,100.000000,59.640736,5.311798,46.372200
2006-01-16,274.509766,259.915710,85.636337,39.080162,0.543046,82.303764
2006-01-17,266.215607,252.877151,96.046608,29.712635,0.442910,75.346191
2006-01-18,263.285461,247.484055,95.816353,36.928505,0.296308,92.606590
2006-01-19,266.874023,251.686371,99.792717,46.261784,0.000000,104.635437
2006-01-20,271.146637,251.957092,88.323227,27.846714,0.000000,105.407974
2006-01-21,271.725494,256.926178,97.305489,38.839237,0.360815,93.790878
2006-01-22,271.550903,258.146942,100.000000,63.202995,0.718856,78.761192
2006-01-23,275.427704,265.247833,100.000000,64.168892,2.667131,70.502350
2006-01-24,275.453613,266.552460,98.509323,52.864857,0.000000,91.840088
2006-01-25,276.051086,262.609253,100.000000,59.061844,0.649739,95.612572
2006-01-26,274.603577,260.165436,100.000000,59.113930,0.471061,63.759205
2006-01-27,273.375153,262.339020,93.836830,45.761856,1.425078,84.838737
2006-01-28,272.362244,255.676285,96.075287,55.225578,0.000000,97.927948
2006-01-29,277.661743,261.986359,100.000000,57.096889,0.000000,94.744186
2006-01-30,274.614136,257.971100,100.000000,47.813946,0.000000,115.078728
2006-01-31,275.250275,256.877594,94.479759,44.877678,0.000000,121.521004
2006-02-01,275.521332,257.493347,92.261658,49.931507,0.000000,119.379807
2006-02-02,277.601471,261.292664,99.913086,51.377285,0.000000,118.336739
2006-02-03,276.424683,259.326477,99.614685,57.409584,0.941862,107.857445
2006-02-04,277.529053,260.987274,99.642410,54.349964,0.420622,117.136703
