#Variables:
#tasmax_CNRM-CM5_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_rcp85(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_rcp85(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_rcp85(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_rcp85(mm):Precipitation
#rsds_CNRM-CM5_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.9378 Latitude, -110.4391 Longitude (closest value to Latitude:44.921651, Longitude:-110.429834087) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_rcp85(K),tasmin_CNRM-CM5_rcp85(K),rhsmax_CNRM-CM5_rcp85(%),rhsmin_CNRM-CM5_rcp85(%),pr_CNRM-CM5_rcp85(mm),rsds_CNRM-CM5_rcp85(Wm-2)
2006-01-01,270.386810,257.216614,100.000000,56.226913,0.370329,86.607643
2006-01-02,272.986420,254.812363,98.597412,37.318680,0.000000,85.816475
2006-01-03,276.487579,260.447601,79.362816,39.096680,0.000000,83.927307
2006-01-04,275.794525,260.286743,88.219704,46.822426,0.000000,87.328362
2006-01-05,275.280090,259.875854,90.445190,45.180016,0.000000,83.184555
2006-01-06,275.423096,262.692139,99.886002,52.110790,0.000000,85.842407
2006-01-07,275.996155,262.210785,100.000000,46.641487,2.666243,57.457073
2006-01-08,273.479675,258.248840,91.669968,41.098354,0.000000,74.290833
2006-01-09,271.968079,258.634735,99.886292,47.092216,0.000000,65.774796
2006-01-10,271.439789,260.081787,100.000000,53.614258,1.336915,78.469398
2006-01-11,272.600311,261.456268,99.871056,44.617924,0.920771,80.483368
2006-01-12,275.652710,261.373108,100.000000,41.541977,3.132731,76.789604
2006-01-13,271.222290,261.073700,89.686638,48.084545,0.408077,72.835381
2006-01-14,275.585907,263.233704,99.934959,63.819382,1.049378,59.678627
2006-01-15,274.803101,265.202332,100.000000,49.438938,4.601374,49.415112
2006-01-16,274.715942,254.333984,97.667168,48.323933,1.361819,60.442455
2006-01-17,276.602509,263.637360,100.000000,33.656574,0.436906,89.871460
2006-01-18,273.184906,257.171234,81.507408,23.545647,0.439846,95.106712
2006-01-19,266.382324,252.060501,99.131920,39.065384,0.000000,102.315735
2006-01-20,268.761200,250.195206,92.226555,37.647877,0.000000,58.982948
2006-01-21,272.541687,260.171051,98.511948,49.172482,1.139242,100.702057
