Stand_ID;soil;stand_age
LP_S_LOW_E_HIST_1;rhyolite;10
LP_S_LOW_E_HIST_2;rhyolite;10
LP_S_LOW_E_HIST_3;rhyolite;10
LP_S_LOW_E_HIST_4;rhyolite;20
LP_S_LOW_E_HIST_5;rhyolite;20
LP_S_LOW_E_HIST_6;rhyolite;20
LP_S_LOW_E_HIST_7;rhyolite;50
LP_S_LOW_E_HIST_8;rhyolite;50
LP_S_LOW_E_HIST_9;rhyolite;50
LP_S_LOW_E_HIST_10;rhyolite;100
LP_S_LOW_E_HIST_11;rhyolite;100
LP_S_LOW_E_HIST_12;rhyolite;100
LP_S_LOW_E_HIST_13;andesite;10
LP_S_LOW_E_HIST_14;andesite;10
LP_S_LOW_E_HIST_15;andesite;10
LP_S_LOW_E_HIST_16;andesite;20
LP_S_LOW_E_HIST_17;andesite;20
LP_S_LOW_E_HIST_18;andesite;20
LP_S_LOW_E_HIST_19;andesite;50
LP_S_LOW_E_HIST_20;andesite;50
LP_S_LOW_E_HIST_21;andesite;50
LP_S_LOW_E_HIST_22;andesite;100
LP_S_LOW_E_HIST_23;andesite;100
LP_S_LOW_E_HIST_24;andesite;100
LP_S_MID_E_HIST_1;rhyolite;10
LP_S_MID_E_HIST_2;rhyolite;10
LP_S_MID_E_HIST_3;rhyolite;10
LP_S_MID_E_HIST_4;rhyolite;20
LP_S_MID_E_HIST_5;rhyolite;20
LP_S_MID_E_HIST_6;rhyolite;20
LP_S_MID_E_HIST_7;rhyolite;50
LP_S_MID_E_HIST_8;rhyolite;50
LP_S_MID_E_HIST_9;rhyolite;50
LP_S_MID_E_HIST_10;rhyolite;100
LP_S_MID_E_HIST_11;rhyolite;100
LP_S_MID_E_HIST_12;rhyolite;100
LP_S_MID_E_HIST_13;andesite;10
LP_S_MID_E_HIST_14;andesite;10
LP_S_MID_E_HIST_15;andesite;10
LP_S_MID_E_HIST_16;andesite;20
LP_S_MID_E_HIST_17;andesite;20
LP_S_MID_E_HIST_18;andesite;20
LP_S_MID_E_HIST_19;andesite;50
LP_S_MID_E_HIST_20;andesite;50
LP_S_MID_E_HIST_21;andesite;50
LP_S_MID_E_HIST_22;andesite;100
LP_S_MID_E_HIST_23;andesite;100
LP_S_MID_E_HIST_24;andesite;100
LP_S_HIGH_E_HIST_1;rhyolite;10
LP_S_HIGH_E_HIST_2;rhyolite;10
LP_S_HIGH_E_HIST_3;rhyolite;10
LP_S_HIGH_E_HIST_4;rhyolite;20
LP_S_HIGH_E_HIST_5;rhyolite;20
LP_S_HIGH_E_HIST_6;rhyolite;20
LP_S_HIGH_E_HIST_7;rhyolite;50
LP_S_HIGH_E_HIST_8;rhyolite;50
LP_S_HIGH_E_HIST_9;rhyolite;50
LP_S_HIGH_E_HIST_10;rhyolite;100
LP_S_HIGH_E_HIST_11;rhyolite;100
LP_S_HIGH_E_HIST_12;rhyolite;100
LP_S_HIGH_E_HIST_13;andesite;10
LP_S_HIGH_E_HIST_14;andesite;10
LP_S_HIGH_E_HIST_15;andesite;10
LP_S_HIGH_E_HIST_16;andesite;20
LP_S_HIGH_E_HIST_17;andesite;20
LP_S_HIGH_E_HIST_18;andesite;20
LP_S_HIGH_E_HIST_19;andesite;50
LP_S_HIGH_E_HIST_20;andesite;50
LP_S_HIGH_E_HIST_21;andesite;50
LP_S_HIGH_E_HIST_22;andesite;100
LP_S_HIGH_E_HIST_23;andesite;100
LP_S_HIGH_E_HIST_24;andesite;100
LP_S_LOW_E_2030_H_1;rhyolite;10
LP_S_LOW_E_2030_H_2;rhyolite;10
LP_S_LOW_E_2030_H_3;rhyolite;10
LP_S_LOW_E_2030_H_4;rhyolite;20
LP_S_LOW_E_2030_H_5;rhyolite;20
LP_S_LOW_E_2030_H_6;rhyolite;20
LP_S_LOW_E_2030_H_7;rhyolite;50
LP_S_LOW_E_2030_H_8;rhyolite;50
LP_S_LOW_E_2030_H_9;rhyolite;50
LP_S_LOW_E_2030_H_10;rhyolite;100
LP_S_LOW_E_2030_H_11;rhyolite;100
LP_S_LOW_E_2030_H_12;rhyolite;100
LP_S_LOW_E_2030_H_13;andesite;10
LP_S_LOW_E_2030_H_14;andesite;10
LP_S_LOW_E_2030_H_15;andesite;10
LP_S_LOW_E_2030_H_16;andesite;20
LP_S_LOW_E_2030_H_17;andesite;20
LP_S_LOW_E_2030_H_18;andesite;20
LP_S_LOW_E_2030_H_19;andesite;50
LP_S_LOW_E_2030_H_20;andesite;50
LP_S_LOW_E_2030_H_21;andesite;50
LP_S_LOW_E_2030_H_22;andesite;100
LP_S_LOW_E_2030_H_23;andesite;100
LP_S_LOW_E_2030_H_24;andesite;100
LP_S_MID_E_2030_H_1;rhyolite;10
LP_S_MID_E_2030_H_2;rhyolite;10
LP_S_MID_E_2030_H_3;rhyolite;10
LP_S_MID_E_2030_H_4;rhyolite;20
LP_S_MID_E_2030_H_5;rhyolite;20
LP_S_MID_E_2030_H_6;rhyolite;20
LP_S_MID_E_2030_H_7;rhyolite;50
LP_S_MID_E_2030_H_8;rhyolite;50
LP_S_MID_E_2030_H_9;rhyolite;50
LP_S_MID_E_2030_H_10;rhyolite;100
LP_S_MID_E_2030_H_11;rhyolite;100
LP_S_MID_E_2030_H_12;rhyolite;100
LP_S_MID_E_2030_H_13;andesite;10
LP_S_MID_E_2030_H_14;andesite;10
LP_S_MID_E_2030_H_15;andesite;10
LP_S_MID_E_2030_H_16;andesite;20
LP_S_MID_E_2030_H_17;andesite;20
LP_S_MID_E_2030_H_18;andesite;20
