#Variables:
#tasmax_CNRM-CM5_historical(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_historical(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_historical(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_historical(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_historical(mm):Precipitation
#rsds_CNRM-CM5_historical(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.6878 Latitude, -110.9391 Longitude (closest value to Latitude:44.66694, Longitude:-110.949274994) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),rhsmax_CNRM-CM5_historical(%),rhsmin_CNRM-CM5_historical(%),pr_CNRM-CM5_historical(mm),rsds_CNRM-CM5_historical(Wm-2)
1950-01-01,275.768738,264.436249,95.719788,59.255638,1.028251,73.434753
1950-01-02,275.455048,262.167786,99.998940,58.118698,0.000000,76.363930
1950-01-03,273.875183,261.927887,99.999725,66.091339,0.308130,76.758202
1950-01-04,271.806885,259.639221,99.999344,69.253304,0.000000,73.329620
1950-01-05,270.052094,255.086716,99.999962,49.865685,0.000000,79.879921
1950-01-06,271.237366,256.341064,76.249168,40.502022,0.000000,79.535416
1950-01-07,270.835419,256.279419,74.460930,37.755344,0.000000,80.095100
1950-01-08,273.996765,259.564362,76.223442,51.072502,0.000000,76.148048
1950-01-09,273.957825,259.380005,88.355957,52.646427,0.000000,78.391579
1950-01-10,273.098206,259.055450,79.939041,49.195000,0.431575,59.418797
1950-01-11,274.965149,260.659576,87.445251,53.923477,1.890841,71.450066
1950-01-12,276.852448,267.461090,99.998512,63.648842,1.362441,76.785957
1950-01-13,276.706207,265.663116,79.896599,49.144917,0.000000,84.251839
1950-01-14,276.496490,263.141022,75.138008,45.074848,0.000000,82.808136
1950-01-15,273.405304,265.341888,99.999054,50.148506,6.330089,65.297874
1950-01-16,271.851959,260.768005,99.992203,60.082649,5.038798,65.228622
1950-01-17,272.616974,262.924744,99.995422,54.808193,2.169514,89.173134
1950-01-18,270.388794,256.742065,97.903839,29.629417,0.000000,88.840485
1950-01-19,270.852936,262.126923,86.015961,31.333340,3.082432,77.434898
1950-01-20,267.737885,256.946747,99.993378,51.727772,0.000000,94.491379
1950-01-21,272.725891,258.385620,98.983429,47.094536,4.700507,59.367393
1950-01-22,272.673889,262.659271,99.998962,48.450478,5.715590,74.215965
1950-01-23,271.542664,258.229523,99.991791,59.616463,4.022029,73.325027
1950-01-24,273.425995,263.008057,99.997833,68.614891,3.356522,60.670799
1950-01-25,270.970764,262.416779,92.738495,56.163742,3.390129,61.042881
1950-01-26,266.694611,258.977997,91.738121,53.979435,1.531790,82.550453
1950-01-27,263.947723,250.356262,99.993912,46.069870,0.853607,105.751465
1950-01-28,266.232788,249.802094,90.072990,38.867340,0.000000,100.153976
1950-01-29,269.408905,251.993027,92.560257,41.996696,0.000000,106.175766
1950-01-30,270.147308,251.949188,97.354393,31.827299,0.359461,109.090469
1950-01-31,267.908020,252.684067,78.207191,39.113976,0.773751,62.214108
1950-02-01,268.717651,252.104416,99.995041,49.575294,1.586518,114.807236
1950-02-02,273.246704,256.755768,64.891724,18.853996,0.524179,109.600624
1950-02-03,274.768860,262.659271,71.799423,37.013222,0.000000,95.798035
1950-02-04,273.022552,257.973755,99.994972,53.425819,0.000000,121.371315
1950-02-05,272.786163,255.182785,90.666130,38.307751,0.000000,119.849098
1950-02-06,271.874542,263.567932,92.009872,42.543240,6.670342,95.493958
1950-02-07,271.587036,257.796295,87.421028,47.393078,12.256020,75.266121
1950-02-08,263.294861,244.579285,95.081413,38.908676,1.187056,121.571442
1950-02-09,265.945679,245.580597,88.322235,42.633533,2.168390,121.866394
1950-02-10,266.226349,252.347198,88.640640,46.917351,1.427016,121.187737
1950-02-11,259.216217,246.112686,99.989006,25.994606,0.000000,125.415588
1950-02-12,256.134186,242.980103,82.214928,45.494270,0.000000,107.652679
1950-02-13,257.357239,239.489792,91.832123,41.439423,1.341562,129.034103
1950-02-14,261.569305,238.099335,90.687752,25.492195,0.000000,134.286972
1950-02-15,273.345154,257.080383,99.985634,39.788876,11.781617,81.508011
1950-02-16,274.801849,261.760071,99.988792,50.471912,1.718306,103.763199
1950-02-17,275.467865,262.117096,94.313652,49.883560,4.590587,92.693382
1950-02-18,275.501038,266.901184,98.705551,50.155758,7.705639,111.036499
1950-02-19,276.832092,265.086212,99.989708,53.669189,2.041049,107.119293
1950-02-20,277.542450,271.719421,99.993835,49.413486,11.406265,101.768112
1950-02-21,276.567657,263.527130,99.998169,49.985756,0.000000,146.702759
1950-02-22,277.736816,260.789398,91.195450,41.014336,0.373353,154.753479
1950-02-23,280.693787,265.375763,85.192253,43.195511,0.806800,146.014816
1950-02-24,279.447601,270.670593,99.997200,49.910740,3.488073,118.607376
1950-02-25,278.704163,263.640259,99.993408,52.423412,0.000000,143.098419
1950-02-26,276.402100,268.354034,99.991783,22.868050,6.194643,154.045670
1950-02-27,278.023132,264.869781,99.998413,39.047939,6.027117,105.291771
1950-02-28,276.525848,263.029785,99.996208,52.305363,1.327722,99.087837
1950-03-01,278.049011,269.459839,99.989067,49.757904,3.575332,109.014793
1950-03-02,276.215363,264.915009,85.705276,38.035484,2.028859,168.094650
1950-03-03,277.853760,262.878448,86.585037,45.010036,4.093969,113.766357
1950-03-04,277.130554,259.814453,99.995369,45.625610,0.859738,167.251511
1950-03-05,276.920471,260.115387,99.991768,42.890411,2.000178,185.632645
1950-03-06,278.042389,262.123535,84.117874,44.861942,2.376194,89.215118
