#Variables:
#tasmax_CNRM-CM5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_rcp45(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_rcp45(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_rcp45(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_rcp45(mm):Precipitation
#rsds_CNRM-CM5_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.6878 Latitude, -110.9391 Longitude (closest value to Latitude:44.66694, Longitude:-110.949274994) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_rcp45(K),tasmin_CNRM-CM5_rcp45(K),rhsmax_CNRM-CM5_rcp45(%),rhsmin_CNRM-CM5_rcp45(%),pr_CNRM-CM5_rcp45(mm),rsds_CNRM-CM5_rcp45(Wm-2)
2006-01-01,269.100647,258.001740,100.000000,63.037949,2.118367,76.863747
2006-01-02,272.226196,255.956696,87.759972,34.273758,0.000000,77.414627
2006-01-03,275.026520,260.427246,71.887016,34.479507,0.000000,75.383270
2006-01-04,275.062225,261.485168,73.853745,47.327515,0.000000,76.939461
2006-01-05,274.248871,260.802673,83.210373,46.792004,0.464218,77.653290
2006-01-06,275.244843,265.987488,91.068336,54.821972,0.819304,74.853241
2006-01-07,274.731018,266.774323,91.129890,63.984768,7.373563,50.802448
2006-01-08,272.279694,259.119019,96.096130,55.182098,0.717552,77.638847
2006-01-09,270.458527,257.067932,96.582451,48.772915,0.000000,67.869507
2006-01-10,271.061981,264.552948,99.039696,49.686966,9.185894,48.426895
2006-01-11,269.876434,263.735168,96.083992,64.579880,10.889337,58.873440
2006-01-12,273.814362,263.357361,100.000000,47.180096,30.969198,68.985634
2006-01-13,270.231659,259.033661,90.859024,63.413303,2.922062,59.237427
2006-01-14,273.677277,266.037170,94.493141,71.861916,7.349047,55.770702
2006-01-15,273.396210,264.728546,100.000000,71.285614,26.227188,40.191750
2006-01-16,273.943970,260.742188,78.177147,42.154839,5.609130,74.354622
2006-01-17,264.347961,254.087067,95.461494,30.509125,0.000000,70.310089
2006-01-18,263.140594,248.056351,87.075958,37.226395,0.000000,85.638084
2006-01-19,265.638123,251.301422,94.004211,47.435337,0.317279,92.471237
2006-01-20,270.470245,253.342270,81.044685,28.574623,0.000000,93.901466
2006-01-21,270.439636,257.040436,85.331810,40.073875,0.826663,85.738388
2006-01-22,270.422699,257.752533,100.000000,61.457947,0.891324,67.564659
2006-01-23,274.144165,266.006195,95.712090,58.757633,4.683128,63.698502
2006-01-24,274.061920,265.703491,95.476028,56.515247,2.799275,81.329292
2006-01-25,274.236328,263.054199,98.493675,60.047523,4.220900,88.255318
2006-01-26,274.109253,262.350464,100.000000,62.820713,4.671924,63.062881
2006-01-27,272.244873,263.054688,84.153595,49.485394,4.782645,77.032089
2006-01-28,271.115509,255.953293,95.338036,59.127140,0.524309,78.498436
2006-01-29,275.484772,262.997253,100.000000,63.569027,0.717771,88.215874
2006-01-30,273.896301,260.139435,100.000000,52.527832,0.000000,99.034645
2006-01-31,273.748474,257.409760,94.740074,50.408306,0.000000,110.713791
2006-02-01,274.065063,257.790527,87.093536,55.096737,0.441054,110.037560
2006-02-02,276.266022,262.943359,100.000000,58.844578,0.000000,103.617386
2006-02-03,274.791626,259.737061,100.000000,60.917156,1.269377,105.519402
2006-02-04,275.823608,261.207001,100.000000,59.807911,0.443216,108.744179
2006-02-05,274.286835,260.274780,100.000000,56.575184,0.000000,110.533890
2006-02-06,275.515167,259.384766,100.000000,56.192707,1.025845,115.592903
2006-02-07,275.801941,259.730103,99.957993,57.622486,1.287848,88.787857
2006-02-08,276.371704,265.859467,100.000000,53.342861,0.351937,107.102356
2006-02-09,276.264404,260.171906,99.077385,48.477547,1.040303,104.917274
2006-02-10,275.637573,260.474640,100.000000,50.378548,0.000000,119.331917
2006-02-11,274.167297,255.799774,100.000000,40.467194,0.337416,124.388039
2006-02-12,274.806091,256.505707,84.232025,38.962353,0.000000,121.989861
2006-02-13,275.666870,256.055145,95.710960,46.135120,0.000000,123.002541
2006-02-14,275.284637,264.934631,100.000000,54.156876,5.679025,84.492279
2006-02-15,274.689545,257.440063,95.054047,46.199791,0.000000,134.339966
2006-02-16,275.709198,262.987274,99.631958,52.038696,3.635601,88.464508
2006-02-17,274.784821,263.095062,87.828102,35.664131,0.789041,118.326515
2006-02-18,275.758575,258.181335,82.493050,43.839069,0.000000,109.972878
2006-02-19,277.766327,260.723358,95.567757,44.119625,0.000000,144.191895
2006-02-20,279.274963,260.870087,89.792290,44.240772,0.000000,150.669220
2006-02-21,277.904449,259.892273,82.449089,39.513573,0.000000,151.991287
2006-02-22,278.376740,261.725677,73.017250,34.328930,0.000000,150.650909
2006-02-23,278.320374,260.247650,73.350746,29.617092,0.000000,156.401321
2006-02-24,278.352203,261.456360,66.099686,21.632956,0.308427,153.986893
2006-02-25,276.306183,265.761597,99.788773,34.278984,0.482991,140.473190
2006-02-26,276.345459,263.538055,84.192284,44.562248,5.219354,99.422562
2006-02-27,274.349976,264.706299,88.339462,38.860451,6.422768,117.569809
2006-02-28,277.002014,261.263092,94.211433,46.121613,4.298378,107.416832
2006-03-01,273.054047,260.233368,99.323021,38.782856,12.517741,119.273865
2006-03-02,272.941284,264.351776,77.266846,42.682682,2.296923,135.680573
2006-03-03,273.856476,259.848938,77.964264,47.499439,4.006352,115.265953
2006-03-04,273.030548,261.476624,82.365074,57.107162,8.013250,116.402687
2006-03-05,273.670685,257.616699,88.284966,39.543732,5.390207,188.775772
2006-03-06,279.113617,261.030914,99.760796,45.511108,3.176592,126.109138
2006-03-07,274.566559,264.798523,99.550697,49.041092,8.205887,110.410362
2006-03-08,277.807312,267.871613,89.884956,49.042374,6.509664,130.428909
2006-03-09,274.915833,265.129425,99.749504,54.284424,20.423574,87.951958
2006-03-10,275.047821,261.943970,99.613670,68.154053,7.071517,88.646080
