#Variables:
#tasmax_CNRM-CM5_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_rcp85(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_rcp85(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_rcp85(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_rcp85(mm):Precipitation
#rsds_CNRM-CM5_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.6878 Latitude, -110.9391 Longitude (closest value to Latitude:44.66694, Longitude:-110.949274994) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_rcp85(K),tasmin_CNRM-CM5_rcp85(K),rhsmax_CNRM-CM5_rcp85(%),rhsmin_CNRM-CM5_rcp85(%),pr_CNRM-CM5_rcp85(mm),rsds_CNRM-CM5_rcp85(Wm-2)
2006-01-01,268.868103,257.293304,100.000000,63.081787,2.303404,77.385269
2006-01-02,271.946167,255.353210,86.006317,34.524853,0.000000,77.983803
2006-01-03,274.917053,260.867737,72.564148,34.587971,0.000000,76.459663
2006-01-04,275.058380,261.293823,74.149780,46.592842,0.000000,77.891869
2006-01-05,274.257080,260.661652,80.211075,46.897854,0.581834,74.762154
2006-01-06,273.948792,262.744019,95.133087,55.885883,1.016147,77.899475
2006-01-07,274.356750,264.169373,96.491844,50.088512,5.727405,51.417107
2006-01-08,272.227173,259.054749,84.838028,45.100250,0.000000,67.702736
2006-01-09,270.303070,259.476410,96.923332,54.586102,0.000000,59.955246
2006-01-10,270.774170,261.374084,99.579872,62.881374,3.537859,68.068382
2006-01-11,271.809540,263.352509,92.260780,53.619781,5.386256,73.662247
2006-01-12,274.355713,260.934937,98.086830,41.904934,16.337231,72.405281
2006-01-13,270.029816,261.286591,81.690895,55.875824,4.798534,70.423737
2006-01-14,274.089966,264.173889,94.375305,72.233353,4.277990,52.788303
2006-01-15,274.204773,264.817719,100.000000,55.587036,26.938759,48.526619
2006-01-16,274.448761,257.349457,91.412331,53.776955,2.415911,57.273232
2006-01-17,275.511017,264.757416,97.059006,34.292286,2.266512,80.402367
2006-01-18,272.395203,258.480072,78.387939,26.958143,1.631884,89.492767
2006-01-19,264.957245,252.530762,93.579895,41.684456,0.955628,91.972374
2006-01-20,268.240295,252.092773,86.459518,36.631004,1.504657,44.540993
2006-01-21,271.142700,261.584290,90.764267,56.235420,1.956880,90.841537
2006-01-22,274.332916,262.031372,96.343369,56.644958,0.685132,73.016769
2006-01-23,274.369232,261.699646,74.938255,34.332867,0.000000,75.324738
2006-01-24,275.744232,263.373230,51.027996,25.409595,0.365250,72.260315
2006-01-25,276.767548,263.937775,42.822910,25.993412,0.000000,90.210197
2006-01-26,276.388550,261.375519,66.958687,34.520027,0.000000,97.238350
2006-01-27,276.787170,262.161011,72.031067,41.653793,0.000000,98.973854
2006-01-28,276.497192,260.334991,85.291542,42.831554,0.000000,101.553177
2006-01-29,277.401611,261.856903,73.219719,28.889288,0.282545,99.255722
2006-01-30,276.503662,262.541626,73.252136,41.620842,2.762938,90.061676
2006-01-31,274.601715,265.543488,100.000000,52.784229,3.277237,80.857834
2006-02-01,271.052612,260.307190,96.465599,57.480190,3.059020,76.225845
2006-02-02,267.368042,259.976471,92.837448,53.050846,3.656958,81.072990
2006-02-03,263.030396,252.765579,68.536682,46.196049,1.996107,98.229301
2006-02-04,252.738251,235.560944,74.902466,26.085014,0.305795,116.557785
2006-02-05,257.183380,236.584290,83.391022,35.774029,0.448799,118.245331
2006-02-06,267.963257,244.954468,86.825836,47.316219,4.136876,74.544624
