rid,Stand_ID,model climate name,soil,stand_age,distance,species
1,LP_S_LOW_E_HIST_1,low_0_hist,rhyolite,10,50,LPS
2,LP_S_LOW_E_HIST_2,low_0_hist,rhyolite,10,500,LPS
3,LP_S_LOW_E_HIST_3,low_0_hist,rhyolite,10,1000,LPS
4,LP_S_LOW_E_HIST_4,low_0_hist,rhyolite,20,50,LPS
5,LP_S_LOW_E_HIST_5,low_0_hist,rhyolite,20,500,LPS
6,LP_S_LOW_E_HIST_6,low_0_hist,rhyolite,20,1000,LPS
7,LP_S_LOW_E_HIST_7,low_0_hist,rhyolite,50,50,LPS
8,LP_S_LOW_E_HIST_8,low_0_hist,rhyolite,50,500,LPS
9,LP_S_LOW_E_HIST_9,low_0_hist,rhyolite,50,1000,LPS
10,LP_S_LOW_E_HIST_10,low_0_hist,rhyolite,100,50,LPS
11,LP_S_LOW_E_HIST_11,low_0_hist,rhyolite,100,500,LPS
12,LP_S_LOW_E_HIST_12,low_0_hist,rhyolite,100,1000,LPS
13,LP_S_LOW_E_HIST_13,low_0_hist,andesite,10,50,LPS
14,LP_S_LOW_E_HIST_14,low_0_hist,andesite,10,500,LPS
15,LP_S_LOW_E_HIST_15,low_0_hist,andesite,10,1000,LPS
16,LP_S_LOW_E_HIST_16,low_0_hist,andesite,20,50,LPS
17,LP_S_LOW_E_HIST_17,low_0_hist,andesite,20,500,LPS
18,LP_S_LOW_E_HIST_18,low_0_hist,andesite,20,1000,LPS
19,LP_S_LOW_E_HIST_19,low_0_hist,andesite,50,50,LPS
20,LP_S_LOW_E_HIST_20,low_0_hist,andesite,50,500,LPS
21,LP_S_LOW_E_HIST_21,low_0_hist,andesite,50,1000,LPS
22,LP_S_LOW_E_HIST_22,low_0_hist,andesite,100,50,LPS
23,LP_S_LOW_E_HIST_23,low_0_hist,andesite,100,500,LPS
24,LP_S_LOW_E_HIST_24,low_0_hist,andesite,100,1000,LPS
25,LP_S_MID_E_HIST_1,med_0_hist,rhyolite,10,50,LPS
26,LP_S_MID_E_HIST_2,med_0_hist,rhyolite,10,500,LPS
27,LP_S_MID_E_HIST_3,med_0_hist,rhyolite,10,1000,LPS
28,LP_S_MID_E_HIST_4,med_0_hist,rhyolite,20,50,LPS
29,LP_S_MID_E_HIST_5,med_0_hist,rhyolite,20,500,LPS
30,LP_S_MID_E_HIST_6,med_0_hist,rhyolite,20,1000,LPS
31,LP_S_MID_E_HIST_7,med_0_hist,rhyolite,50,50,LPS
32,LP_S_MID_E_HIST_8,med_0_hist,rhyolite,50,500,LPS
33,LP_S_MID_E_HIST_9,med_0_hist,rhyolite,50,1000,LPS
34,LP_S_MID_E_HIST_10,med_0_hist,rhyolite,100,50,LPS
35,LP_S_MID_E_HIST_11,med_0_hist,rhyolite,100,500,LPS
36,LP_S_MID_E_HIST_12,med_0_hist,rhyolite,100,1000,LPS
37,LP_S_MID_E_HIST_13,med_0_hist,andesite,10,50,LPS
38,LP_S_MID_E_HIST_14,med_0_hist,andesite,10,500,LPS
39,LP_S_MID_E_HIST_15,med_0_hist,andesite,10,1000,LPS
40,LP_S_MID_E_HIST_16,med_0_hist,andesite,20,50,LPS
41,LP_S_MID_E_HIST_17,med_0_hist,andesite,20,500,LPS
42,LP_S_MID_E_HIST_18,med_0_hist,andesite,20,1000,LPS
43,LP_S_MID_E_HIST_19,med_0_hist,andesite,50,50,LPS
44,LP_S_MID_E_HIST_20,med_0_hist,andesite,50,500,LPS
45,LP_S_MID_E_HIST_21,med_0_hist,andesite,50,1000,LPS
46,LP_S_MID_E_HIST_22,med_0_hist,andesite,100,50,LPS
47,LP_S_MID_E_HIST_23,med_0_hist,andesite,100,500,LPS
48,LP_S_MID_E_HIST_24,med_0_hist,andesite,100,1000,LPS
49,LP_S_HIGH_E_HIST_1,high_0_hist,rhyolite,10,50,LPS
50,LP_S_HIGH_E_HIST_2,high_0_hist,rhyolite,10,500,LPS
51,LP_S_HIGH_E_HIST_3,high_0_hist,rhyolite,10,1000,LPS
52,LP_S_HIGH_E_HIST_4,high_0_hist,rhyolite,20,50,LPS
53,LP_S_HIGH_E_HIST_5,high_0_hist,rhyolite,20,500,LPS
54,LP_S_HIGH_E_HIST_6,high_0_hist,rhyolite,20,1000,LPS
55,LP_S_HIGH_E_HIST_7,high_0_hist,rhyolite,50,50,LPS
56,LP_S_HIGH_E_HIST_8,high_0_hist,rhyolite,50,500,LPS
57,LP_S_HIGH_E_HIST_9,high_0_hist,rhyolite,50,1000,LPS
58,LP_S_HIGH_E_HIST_10,high_0_hist,rhyolite,100,50,LPS
59,LP_S_HIGH_E_HIST_11,high_0_hist,rhyolite,100,500,LPS
60,LP_S_HIGH_E_HIST_12,high_0_hist,rhyolite,100,1000,LPS
61,LP_S_HIGH_E_HIST_13,high_0_hist,andesite,10,50,LPS
62,LP_S_HIGH_E_HIST_14,high_0_hist,andesite,10,500,LPS
63,LP_S_HIGH_E_HIST_15,high_0_hist,andesite,10,1000,LPS
64,LP_S_HIGH_E_HIST_16,high_0_hist,andesite,20,50,LPS
65,LP_S_HIGH_E_HIST_17,high_0_hist,andesite,20,500,LPS
66,LP_S_HIGH_E_HIST_18,high_0_hist,andesite,20,1000,LPS
67,LP_S_HIGH_E_HIST_19,high_0_hist,andesite,50,50,LPS
68,LP_S_HIGH_E_HIST_20,high_0_hist,andesite,50,500,LPS
69,LP_S_HIGH_E_HIST_21,high_0_hist,andesite,50,1000,LPS
70,LP_S_HIGH_E_HIST_22,high_0_hist,andesite,100,50,LPS
71,LP_S_HIGH_E_HIST_23,high_0_hist,andesite,100,500,LPS
72,LP_S_HIGH_E_HIST_24,high_0_hist,andesite,100,1000,LPS
73,LP_S_LOW_E_2030_H_1,low_4.5_2030,rhyolite,10,50,LPS
74,LP_S_LOW_E_2030_H_2,low_4.5_2030,rhyolite,10,500,LPS
75,LP_S_LOW_E_2030_H_3,low_4.5_2030,rhyolite,10,1000,LPS
76,LP_S_LOW_E_2030_H_4,low_4.5_2030,rhyolite,20,50,LPS
77,LP_S_LOW_E_2030_H_5,low_4.5_2030,rhyolite,20,500,LPS
78,LP_S_LOW_E_2030_H_6,low_4.5_2030,rhyolite,20,1000,LPS
79,LP_S_LOW_E_2030_H_7,low_4.5_2030,rhyolite,50,50,LPS
80,LP_S_LOW_E_2030_H_8,low_4.5_2030,rhyolite,50,500,LPS
81,LP_S_LOW_E_2030_H_9,low_4.5_2030,rhyolite,50,1000,LPS
82,LP_S_LOW_E_2030_H_10,low_4.5_2030,rhyolite,100,50,LPS
83,LP_S_LOW_E_2030_H_11,low_4.5_2030,rhyolite,100,500,LPS
84,LP_S_LOW_E_2030_H_12,low_4.5_2030,rhyolite,100,1000,LPS
85,LP_S_LOW_E_2030_H_13,low_4.5_2030,andesite,10,50,LPS
86,LP_S_LOW_E_2030_H_14,low_4.5_2030,andesite,10,500,LPS
87,LP_S_LOW_E_2030_H_15,low_4.5_2030,andesite,10,1000,LPS
88,LP_S_LOW_E_2030_H_16,low_4.5_2030,andesite,20,50,LPS
89,LP_S_LOW_E_2030_H_17,low_4.5_2030,andesite,20,500,LPS
90,LP_S_LOW_E_2030_H_18,low_4.5_2030,andesite,20,1000,LPS
91,LP_S_LOW_E_2030_H_19,low_4.5_2030,andesite,50,50,LPS
92,LP_S_LOW_E_2030_H_20,low_4.5_2030,andesite,50,500,LPS
93,LP_S_LOW_E_2030_H_21,low_4.5_2030,andesite,50,1000,LPS
94,LP_S_LOW_E_2030_H_22,low_4.5_2030,andesite,100,50,LPS
95,LP_S_LOW_E_2030_H_23,low_4.5_2030,andesite,100,500,LPS
96,LP_S_LOW_E_2030_H_24,low_4.5_2030,andesite,100,1000,LPS
97,LP_S_MID_E_2030_H_1,mid_4.5_2030,rhyolite,10,50,LPS
98,LP_S_MID_E_2030_H_2,mid_4.5_2030,rhyolite,10,500,LPS
99,LP_S_MID_E_2030_H_3,mid_4.5_2030,rhyolite,10,1000,LPS
100,LP_S_MID_E_2030_H_4,mid_4.5_2030,rhyolite,20,50,LPS
101,LP_S_MID_E_2030_H_5,mid_4.5_2030,rhyolite,20,500,LPS
102,LP_S_MID_E_2030_H_6,mid_4.5_2030,rhyolite,20,1000,LPS
103,LP_S_MID_E_2030_H_7,mid_4.5_2030,rhyolite,50,50,LPS
104,LP_S_MID_E_2030_H_8,mid_4.5_2030,rhyolite,50,500,LPS
105,LP_S_MID_E_2030_H_9,mid_4.5_2030,rhyolite,50,1000,LPS
106,LP_S_MID_E_2030_H_10,mid_4.5_2030,rhyolite,100,50,LPS
107,LP_S_MID_E_2030_H_11,mid_4.5_2030,rhyolite,100,500,LPS
108,LP_S_MID_E_2030_H_12,mid_4.5_2030,rhyolite,100,1000,LPS
109,LP_S_MID_E_2030_H_13,mid_4.5_2030,andesite,10,50,LPS
110,LP_S_MID_E_2030_H_14,mid_4.5_2030,andesite,10,500,LPS
111,LP_S_MID_E_2030_H_15,mid_4.5_2030,andesite,10,1000,LPS
112,LP_S_MID_E_2030_H_16,mid_4.5_2030,andesite,20,50,LPS
113,LP_S_MID_E_2030_H_17,mid_4.5_2030,andesite,20,500,LPS
114,LP_S_MID_E_2030_H_18,mid_4.5_2030,andesite,20,1000,LPS
115,LP_S_MID_E_2030_H_19,mid_4.5_2030,andesite,50,50,LPS
116,LP_S_MID_E_2030_H_20,mid_4.5_2030,andesite,50,500,LPS
117,LP_S_MID_E_2030_H_21,mid_4.5_2030,andesite,50,1000,LPS
118,LP_S_MID_E_2030_H_22,mid_4.5_2030,andesite,100,50,LPS
119,LP_S_MID_E_2030_H_23,mid_4.5_2030,andesite,100,500,LPS
120,LP_S_MID_E_2030_H_24,mid_4.5_2030,andesite,100,1000,LPS
121,LP_S_HIGH_E_2030_H_1,high_4.5_2030,rhyolite,10,50,LPS
122,LP_S_HIGH_E_2030_H_2,high_4.5_2030,rhyolite,10,500,LPS
123,LP_S_HIGH_E_2030_H_3,high_4.5_2030,rhyolite,10,1000,LPS
124,LP_S_HIGH_E_2030_H_4,high_4.5_2030,rhyolite,20,50,LPS
125,LP_S_HIGH_E_2030_H_5,high_4.5_2030,rhyolite,20,500,LPS
126,LP_S_HIGH_E_2030_H_6,high_4.5_2030,rhyolite,20,1000,LPS
127,LP_S_HIGH_E_2030_H_7,high_4.5_2030,rhyolite,50,50,LPS
128,LP_S_HIGH_E_2030_H_8,high_4.5_2030,rhyolite,50,500,LPS
129,LP_S_HIGH_E_2030_H_9,high_4.5_2030,rhyolite,50,1000,LPS
130,LP_S_HIGH_E_2030_H_10,high_4.5_2030,rhyolite,100,50,LPS
