id x y model.climate.tableName model.site.availableNitrogen model.site.soilDepth model.site.pctSand model.site.pctSilt model.site.pctClay
1 0 0 low_hist 45 30 34 33 33
2 1 0 low_hist 45 30 34 33 33
3 2 0 low_hist 45 30 34 33 33
4 3 0 low_hist 45 30 34 33 33
5 4 0 low_hist 55 30 34 33 33
6 5 0 low_hist 55 30 34 33 33
7 6 0 low_hist 55 30 34 33 33
8 7 0 low_hist 55 30 34 33 33
9 8 0 med_hist 45 30 34 33 33
10 9 0 med_hist 45 30 34 33 33
11 0 1 med_hist 45 30 34 33 33
12 1 1 med_hist 45 30 34 33 33
13 2 1 med_hist 55 30 34 33 33
14 3 1 med_hist 55 30 34 33 33
15 4 1 med_hist 55 30 34 33 33
16 5 1 med_hist 55 30 34 33 33
17 6 1 high_hist 45 30 34 33 33
18 7 1 high_hist 45 30 34 33 33
19 8 1 high_hist 45 30 34 33 33
20 9 1 high_hist 45 30 34 33 33
21 0 2 high_hist 55 30 34 33 33
22 1 2 high_hist 55 30 34 33 33
23 2 2 high_hist 55 30 34 33 33
24 3 2 high_hist 55 30 34 33 33
25 4 2 low_rcp_4.5_2030 45 30 34 33 33
26 5 2 low_rcp_4.5_2030 45 30 34 33 33
27 6 2 low_rcp_4.5_2030 45 30 34 33 33
28 7 2 low_rcp_4.5_2030 45 30 34 33 33
29 8 2 low_rcp_4.5_2030 55 30 34 33 33
30 9 2 low_rcp_4.5_2030 55 30 34 33 33
31 0 3 low_rcp_4.5_2030 55 30 34 33 33
32 1 3 low_rcp_4.5_2030 55 30 34 33 33
33 2 3 mid_rcp_4.5_2030 45 30 34 33 33
34 3 3 mid_rcp_4.5_2030 45 30 34 33 33
35 4 3 mid_rcp_4.5_2030 45 30 34 33 33
36 5 3 mid_rcp_4.5_2030 45 30 34 33 33
37 6 3 mid_rcp_4.5_2030 55 30 34 33 33
38 7 3 mid_rcp_4.5_2030 55 30 34 33 33
39 8 3 mid_rcp_4.5_2030 55 30 34 33 33
40 9 3 mid_rcp_4.5_2030 55 30 34 33 33
41 0 4 high_rcp_4.5_2030 45 30 34 33 33
42 1 4 high_rcp_4.5_2030 45 30 34 33 33
43 2 4 high_rcp_4.5_2030 45 30 34 33 33
44 3 4 high_rcp_4.5_2030 45 30 34 33 33
45 4 4 high_rcp_4.5_2030 55 30 34 33 33
46 5 4 high_rcp_4.5_2030 55 30 34 33 33
47 6 4 high_rcp_4.5_2030 55 30 34 33 33
48 7 4 high_rcp_4.5_2030 55 30 34 33 33
49 8 4 low_rcp_8_2030 45 30 34 33 33
50 9 4 low_rcp_8_2030 45 30 34 33 33
51 0 5 low_rcp_8_2030 45 30 34 33 33
52 1 5 low_rcp_8_2030 45 30 34 33 33
53 2 5 low_rcp_8_2030 55 30 34 33 33
54 3 5 low_rcp_8_2030 55 30 34 33 33
55 4 5 low_rcp_8_2030 55 30 34 33 33
56 5 5 low_rcp_8_2030 55 30 34 33 33
57 6 5 mid_rcp_8_2030 45 30 34 33 33
58 7 5 mid_rcp_8_2030 45 30 34 33 33
59 8 5 mid_rcp_8_2030 45 30 34 33 33
60 9 5 mid_rcp_8_2030 45 30 34 33 33
61 0 6 mid_rcp_8_2030 55 30 34 33 33
62 1 6 mid_rcp_8_2030 55 30 34 33 33
63 2 6 mid_rcp_8_2030 55 30 34 33 33
64 3 6 mid_rcp_8_2030 55 30 34 33 33
65 4 6 high_rcp_8_2030 45 30 34 33 33
66 5 6 high_rcp_8_2030 45 30 34 33 33
67 6 6 high_rcp_8_2030 45 30 34 33 33
68 7 6 high_rcp_8_2030 45 30 34 33 33
69 8 6 high_rcp_8_2030 55 30 34 33 33
70 9 6 high_rcp_8_2030 55 30 34 33 33
71 0 7 high_rcp_8_2030 55 30 34 33 33
72 1 7 high_rcp_8_2030 55 30 34 33 33
73 2 7 low_rcp_4.5_2070 45 30 34 33 33
74 3 7 low_rcp_4.5_2070 45 30 34 33 33
75 4 7 low_rcp_4.5_2070 45 30 34 33 33
76 5 7 low_rcp_4.5_2070 45 30 34 33 33
77 6 7 low_rcp_4.5_2070 55 30 34 33 33
78 7 7 low_rcp_4.5_2070 55 30 34 33 33
79 8 7 low_rcp_4.5_2070 55 30 34 33 33
80 9 7 low_rcp_4.5_2070 55 30 34 33 33
81 0 8 mid_rcp_4.5_2070 45 30 34 33 33
82 1 8 mid_rcp_4.5_2070 45 30 34 33 33
83 2 8 mid_rcp_4.5_2070 45 30 34 33 33
84 3 8 mid_rcp_4.5_2070 45 30 34 33 33
85 4 8 mid_rcp_4.5_2070 55 30 34 33 33
86 5 8 mid_rcp_4.5_2070 55 30 34 33 33
87 6 8 mid_rcp_4.5_2070 55 30 34 33 33
88 7 8 mid_rcp_4.5_2070 55 30 34 33 33
89 8 8 high_rcp_4.5_2070 45 30 34 33 33
90 9 8 high_rcp_4.5_2070 45 30 34 33 33
91 0 9 high_rcp_4.5_2070 45 30 34 33 33
92 1 9 high_rcp_4.5_2070 45 30 34 33 33
93 2 9 high_rcp_4.5_2070 55 30 34 33 33
94 3 9 high_rcp_4.5_2070 55 30 34 33 33
95 4 9 high_rcp_4.5_2070 55 30 34 33 33
96 5 9 high_rcp_4.5_2070 55 30 34 33 33
97 6 9 low_rcp_8_2070 45 30 34 33 33
98 7 9 low_rcp_8_2070 45 30 34 33 33
99 8 9 low_rcp_8_2070 45 30 34 33 33
100 9 9 low_rcp_8_2070 45 30 34 33 33
101 0 10 low_rcp_8_2070 55 30 34 33 33
102 1 10 low_rcp_8_2070 55 30 34 33 33
103 2 10 low_rcp_8_2070 55 30 34 33 33
104 3 10 low_rcp_8_2070 55 30 34 33 33
105 4 10 mid_rcp_8_2070 45 30 34 33 33
106 5 10 mid_rcp_8_2070 45 30 34 33 33
107 6 10 mid_rcp_8_2070 45 30 34 33 33
108 7 10 mid_rcp_8_2070 45 30 34 33 33
109 8 10 mid_rcp_8_2070 55 30 34 33 33
110 9 10 mid_rcp_8_2070 55 30 34 33 33
111 0 11 mid_rcp_8_2070 55 30 34 33 33
112 1 11 mid_rcp_8_2070 55 30 34 33 33
113 2 11 high_rcp_8_2070 45 30 34 33 33
114 3 11 high_rcp_8_2070 45 30 34 33 33
115 4 11 high_rcp_8_2070 45 30 34 33 33
116 5 11 high_rcp_8_2070 45 30 34 33 33
117 6 11 high_rcp_8_2070 55 30 34 33 33
118 7 11 high_rcp_8_2070 55 30 34 33 33
119 8 11 high_rcp_8_2070 55 30 34 33 33
120 9 11 high_rcp_8_2070 55 30 34 33 33
