"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"long"	"DF"	14	1	"low"	"0"	"hist"	"rhyolite"	"10"	0	NA	0	0	1402.21889046869	-100
"3"	"long"	"DF"	14	10	"med"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	243.49348065485	-100
"5"	"long"	"DF"	14	100	"low"	"8"	"2070"	"rhyolite"	"100"	0	NA	0	0	16174.9949363753	-100
"7"	"long"	"DF"	14	101	"low"	"8"	"2070"	"andesite"	"10"	0	NA	0	0	980.805462791288	-100
"9"	"long"	"DF"	14	102	"low"	"8"	"2070"	"andesite"	"20"	0	NA	0	0	84.4810884819253	-100
"11"	"long"	"DF"	14	103	"low"	"8"	"2070"	"andesite"	"50"	19.9561990690356	1.18629956245422	1.18629956245422	0	58	-65.5927602258007
"13"	"long"	"DF"	14	104	"low"	"8"	"2070"	"andesite"	"100"	0	NA	0	0	16508.9866031394	-100
"15"	"long"	"DF"	14	105	"med"	"8"	"2070"	"rhyolite"	"10"	45.3048889945988	0.665314733982086	0.665314733982086	0	1224.27087461628	-96.2994391246301
"17"	"long"	"DF"	14	106	"med"	"8"	"2070"	"rhyolite"	"20"	0	NA	0	0	101.398816161685	-100
"19"	"long"	"DF"	14	107	"med"	"8"	"2070"	"rhyolite"	"50"	0	NA	0	0	60	-100
"21"	"long"	"DF"	14	108	"med"	"8"	"2070"	"rhyolite"	"100"	0	NA	0	0	12409.8502070377	-100
"23"	"long"	"DF"	14	109	"med"	"8"	"2070"	"andesite"	"10"	0	NA	0	0	1111.29607849453	-100
"25"	"long"	"DF"	14	11	"med"	"0"	"hist"	"rhyolite"	"50"	0	NA	0	0	63	-100
"27"	"long"	"DF"	14	110	"med"	"8"	"2070"	"andesite"	"20"	3	9.8242015838623	0	9.8242015838623	89.0931029136131	-96.632735978554
"29"	"long"	"DF"	14	111	"med"	"8"	"2070"	"andesite"	"50"	0	NA	0	0	61	-100
"31"	"long"	"DF"	14	112	"med"	"8"	"2070"	"andesite"	"100"	0	NA	0	0	12430.1290575047	-100
"33"	"long"	"DF"	14	113	"high"	"8"	"2070"	"rhyolite"	"10"	0	NA	0	0	1470.76143651244	-100
"35"	"long"	"DF"	14	114	"high"	"8"	"2070"	"rhyolite"	"20"	48.5854938816754	2.24409738183022	2.24409738183022	0	92.3121229091094	-47.3682411902576
"37"	"long"	"DF"	14	115	"high"	"8"	"2070"	"rhyolite"	"50"	0	NA	0	0	58	-100
"39"	"long"	"DF"	14	116	"high"	"8"	"2070"	"rhyolite"	"100"	0	NA	0	0	13665.1526204331	-100
"41"	"long"	"DF"	14	117	"high"	"8"	"2070"	"andesite"	"10"	0	NA	0	0	1431.48414859701	-100
"43"	"long"	"DF"	14	118	"high"	"8"	"2070"	"andesite"	"20"	6	8.08100072542826	0	8.08100072542826	82.7637475688641	-92.7504491081585
"45"	"long"	"DF"	14	119	"high"	"8"	"2070"	"andesite"	"50"	0	NA	0	0	51	-100
"47"	"long"	"DF"	14	12	"med"	"0"	"hist"	"rhyolite"	"100"	2	7.42633891105652	0	7.42633891105652	3544.30438097702	-99.9435714378614
"49"	"long"	"DF"	14	120	"high"	"8"	"2070"	"andesite"	"100"	3.14832863843267	3.88742923736572	3.88742923736572	0	14728.6271928839	-99.9786244257716
"51"	"long"	"DF"	14	13	"med"	"0"	"hist"	"andesite"	"10"	0	NA	0	0	1227.39637298311	-100
"53"	"long"	"DF"	14	14	"med"	"0"	"hist"	"andesite"	"20"	0	NA	0	0	83.624333780715	-100
"55"	"long"	"DF"	14	15	"med"	"0"	"hist"	"andesite"	"50"	0	NA	0	0	56	-100
"57"	"long"	"DF"	14	16	"med"	"0"	"hist"	"andesite"	"100"	0	NA	0	0	767.049460122997	-100
"59"	"long"	"DF"	14	17	"high"	"0"	"hist"	"rhyolite"	"10"	0	NA	0	0	1422.07759756463	-100
"61"	"long"	"DF"	14	18	"high"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	97.6659848476318	-100
"63"	"long"	"DF"	14	19	"high"	"0"	"hist"	"rhyolite"	"50"	0	NA	0	0	64	-100
"65"	"long"	"DF"	14	2	"low"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	96.8342827687292	-100
"67"	"long"	"DF"	14	20	"high"	"0"	"hist"	"rhyolite"	"100"	0	NA	0	0	4447.22797268187	-100
"69"	"long"	"DF"	14	21	"high"	"0"	"hist"	"andesite"	"10"	0	NA	0	0	1360.82631572367	-100
