"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	50.3333333333333	45.2068965517241	1
"2"	5	50.3333333333333	45.2068965517241	1
"3"	9	42	39.8275862068966	1
"4"	13	42	39.8275862068966	1
"5"	17	37.3333333333333	34.5172413793103	1
"6"	21	37.3333333333333	34.5172413793103	1
"7"	25	37	31.8275862068966	1
"8"	29	37	31.8275862068966	1
"9"	33	31.3333333333333	27.1379310344828	1
"10"	37	31.3333333333333	27.1379310344828	1
"11"	41	25	21.7241379310345	1
"12"	45	25	21.7241379310345	1
"13"	49	25	25.551724137931	1
"14"	53	25	25.551724137931	1
"15"	57	22.6666666666667	22.0344827586207	1
"16"	61	22.6666666666667	22.0344827586207	1
"17"	65	20.6666666666667	18.551724137931	1
"18"	69	20.6666666666667	18.551724137931	1
"19"	73	29	23.3793103448276	1
"20"	77	29	23.3793103448276	1
"21"	81	23.6666666666667	19.3448275862069	1
"22"	85	23.6666666666667	19.3448275862069	1
"23"	89	20.3333333333333	16.6551724137931	1
"24"	93	20.3333333333333	16.6551724137931	1
"25"	97	15.6666666666667	14.8275862068966	1
"26"	101	15.6666666666667	14.8275862068966	1
"27"	105	14	13.0344827586207	1
"28"	109	14	13.0344827586207	1
"29"	113	10.3333333333333	9.55172413793103	1
"30"	117	10.3333333333333	9.55172413793103	1
"31"	2	44.3333333333333	45	1
"32"	6	44.3333333333333	45	1
"33"	10	36.3333333333333	40.4137931034483	1
"34"	14	36.3333333333333	40.4137931034483	1
"35"	18	34.3333333333333	34.6551724137931	1
"36"	22	34.3333333333333	34.6551724137931	1
"37"	26	23.3333333333333	31.0344827586207	1
"38"	30	23.3333333333333	31.0344827586207	1
"39"	34	20	27.0344827586207	1
"40"	38	20	27.0344827586207	1
"41"	42	16.3333333333333	22.0689655172414	1
"42"	46	16.3333333333333	22.0689655172414	1
"43"	50	30.6666666666667	24.8620689655172	1
"44"	54	30.6666666666667	24.8620689655172	1
"45"	58	27.6666666666667	21	1
"46"	62	27.6666666666667	21	1
"47"	66	24.6666666666667	17.7931034482759	1
"48"	70	24.6666666666667	17.7931034482759	1
"49"	74	20.3333333333333	23.6551724137931	1
"50"	78	20.3333333333333	23.6551724137931	1
"51"	82	18.3333333333333	20.2068965517241	1
"52"	86	18.3333333333333	20.2068965517241	1
"53"	90	15.3333333333333	17.7586206896552	1
"54"	94	15.3333333333333	17.7586206896552	1
"55"	98	22	16.1034482758621	1
"56"	102	22	16.1034482758621	1
"57"	106	21.6666666666667	13.8275862068966	1
"58"	110	21.6666666666667	13.8275862068966	1
"59"	114	19	10.6206896551724	1
"60"	118	19	10.6206896551724	1
"61"	3	37.3333333333333	45.4137931034483	1
"62"	7	37.3333333333333	45.4137931034483	1
"63"	11	33.3333333333333	40.5862068965517	1
"64"	15	33.3333333333333	40.5862068965517	1
"65"	19	27.6666666666667	35.5862068965517	1
"66"	23	27.6666666666667	35.5862068965517	1
"67"	27	30	31.3103448275862	1
"68"	31	30	31.3103448275862	1
"69"	35	28	26.9310344827586	1
"70"	39	28	26.9310344827586	1
"71"	43	24.6666666666667	22.1379310344828	1
"72"	47	24.6666666666667	22.1379310344828	1
"73"	51	18.3333333333333	27.6551724137931	1
"74"	55	18.3333333333333	27.6551724137931	1
"75"	59	16.3333333333333	23.7241379310345	1
"76"	63	16.3333333333333	23.7241379310345	1
"77"	67	15	20.3103448275862	1
"78"	71	15	20.3103448275862	1
"79"	75	32	22.6896551724138	1
"80"	79	32	22.6896551724138	1
"81"	83	29.3333333333333	19.7241379310345	1
"82"	87	29.3333333333333	19.7241379310345	1
"83"	91	24.3333333333333	16.7241379310345	1
"84"	95	24.3333333333333	16.7241379310345	1
"85"	99	8	14.9310344827586	1
"86"	103	8	14.9310344827586	1
"87"	107	7.33333333333333	13.551724137931	1
"88"	111	7.33333333333333	13.551724137931	1
"89"	115	7.33333333333333	11.5172413793103	1
"90"	119	7.33333333333333	11.5172413793103	1
"91"	4	37.6666666666667	43.3448275862069	1
"92"	8	37.6666666666667	43.3448275862069	1
"93"	12	36	38.9310344827586	1
"94"	16	36	38.9310344827586	1
"95"	20	31.6666666666667	33.4827586206897	1
"96"	24	31.6666666666667	33.4827586206897	1
"97"	28	29	30.5862068965517	1
"98"	32	29	30.5862068965517	1
"99"	36	25.6666666666667	26.6206896551724	1
"100"	40	25.6666666666667	26.6206896551724	1
"101"	44	21.3333333333333	22.1724137931034	1
"102"	48	21.3333333333333	22.1724137931034	1
"103"	52	25.3333333333333	24.1379310344828	1
"104"	56	25.3333333333333	24.1379310344828	1
"105"	60	19.3333333333333	20.5172413793103	1
"106"	64	19.3333333333333	20.5172413793103	1
"107"	68	16.6666666666667	17.4827586206897	1
"108"	72	16.6666666666667	17.4827586206897	1
"109"	76	28.6666666666667	23.448275862069	1
"110"	80	28.6666666666667	23.448275862069	1
"111"	84	25	20.2413793103448	1
"112"	88	25	20.2413793103448	1
"113"	92	21.6666666666667	17.7586206896552	1
"114"	96	21.6666666666667	17.7586206896552	1
"115"	100	15.3333333333333	14.2068965517241	1
"116"	104	15.3333333333333	14.2068965517241	1
"117"	108	13.3333333333333	12.0344827586207	1
"118"	112	13.3333333333333	12.0344827586207	1
"119"	116	9.33333333333333	10.0344827586207	1
"120"	120	9.33333333333333	10.0344827586207	1
