"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"mid"	"DF"	5	1	"low"	"0"	"hist"	"rhyolite"	"10"	74.5308856098622	0.499088168144226	0.499088168144226	0	1447.26913034109	-94.8502400799292
"3"	"mid"	"DF"	5	10	"med"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	84.9251533088479	-100
"5"	"mid"	"DF"	5	100	"low"	"8"	"2070"	"rhyolite"	"100"	184.968125429484	1.31414334774017	1.31414334774017	0	17999.5496242852	-98.9723735910596
"7"	"mid"	"DF"	5	101	"low"	"8"	"2070"	"andesite"	"10"	99.5813833350387	2.8794495312351	2.24167743325233	9.29836940765381	1433.15475294398	-93.0515959193884
"9"	"mid"	"DF"	5	102	"low"	"8"	"2070"	"andesite"	"20"	636.794991510231	1.7245589861489	1.68690302595496	9.67994530995687	162.258076993991	292.458115680622
"11"	"mid"	"DF"	5	103	"low"	"8"	"2070"	"andesite"	"50"	51.4167073134586	2.03139282768645	1.48391479253769	6.17550110816956	106.160375532502	-51.5669504223665
"13"	"mid"	"DF"	5	104	"low"	"8"	"2070"	"andesite"	"100"	15.7749117942255	4.8194198410411	1.88147485256195	9.60577869415283	20665.73136921	-99.9236663270591
"15"	"mid"	"DF"	5	105	"med"	"8"	"2070"	"rhyolite"	"10"	45.4012823077349	2.46443674961726	2.46443674961726	0	1381.38301496222	-96.7133458413794
"17"	"mid"	"DF"	5	106	"med"	"8"	"2070"	"rhyolite"	"20"	65.6204583570689	1.99310745965586	1.71413251757622	7.81628704071045	93.9835612323502	-30.1787913794422
"19"	"mid"	"DF"	5	107	"med"	"8"	"2070"	"rhyolite"	"50"	8	8.34705591201782	0	8.34705591201782	185.328585017234	-95.6833426428761
"21"	"mid"	"DF"	5	108	"med"	"8"	"2070"	"rhyolite"	"100"	357.5067002045	0.871718405399482	0.753240764141083	7.8126658598582	19344.0812948972	-98.151854850306
"23"	"mid"	"DF"	5	109	"med"	"8"	"2070"	"andesite"	"10"	86.5308856098622	1.67547412792321	0.503490626811981	8.95455481608709	1361.13098020958	-93.6427216140111
"25"	"mid"	"DF"	5	11	"med"	"0"	"hist"	"rhyolite"	"50"	0	NA	0	0	62	-100
"27"	"mid"	"DF"	5	110	"med"	"8"	"2070"	"andesite"	"20"	461.329662498929	1.31852432228661	1.17764329314232	9.30171799659729	84.4524017003442	446.25996799455
"29"	"mid"	"DF"	5	111	"med"	"8"	"2070"	"andesite"	"50"	15.1483286384327	10.0725847125577	3.89319396018982	11.6938141187032	596.390109879268	-97.459996672061
"31"	"mid"	"DF"	5	112	"med"	"8"	"2070"	"andesite"	"100"	619.478419908919	0.773098170757294	0.773098170757294	0	16234.0599407105	-96.1840819722771
"33"	"mid"	"DF"	5	113	"high"	"8"	"2070"	"rhyolite"	"10"	6.52720290445129	4.98578990181834	3.06592273712158	9.33160400390625	948.222123683387	-99.3116377754301
"35"	"mid"	"DF"	5	114	"high"	"8"	"2070"	"rhyolite"	"20"	44.3125225431729	3.94735647660197	2.18627220392227	7.76042124203273	304.126445471689	-85.4295727310245
"37"	"mid"	"DF"	5	115	"high"	"8"	"2070"	"rhyolite"	"50"	753.631858222023	1.54787587570321	1.4047963557144	8.59341532389323	606.149664230061	24.3309866680031
"39"	"mid"	"DF"	5	116	"high"	"8"	"2070"	"rhyolite"	"100"	197.106155306308	1.46334797052023	1.42389414140156	4.01609166463216	15831.9952250168	-98.7550138027148
"41"	"mid"	"DF"	5	117	"high"	"8"	"2070"	"andesite"	"10"	630.593766402225	0.696903202477726	0.579187251627445	9.85805535316467	1242.63316151806	-49.2534252319597
