"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	48	44.2758620689655	7
"2"	5	48	44.2758620689655	7
"3"	9	47	39.7586206896552	7
"4"	13	47	39.7586206896552	7
"5"	17	41.3333333333333	33.448275862069	7
"6"	21	41.3333333333333	33.448275862069	7
"7"	25	35	34.8275862068966	7
"8"	29	35	34.8275862068966	7
"9"	33	30.6666666666667	30	7
"10"	37	30.6666666666667	30	7
"11"	41	23.3333333333333	24.3448275862069	7
"12"	45	23.3333333333333	24.3448275862069	7
"13"	49	35.6666666666667	29.3793103448276	7
"14"	53	35.6666666666667	29.3793103448276	7
"15"	57	29.6666666666667	25.3448275862069	7
"16"	61	29.6666666666667	25.3448275862069	7
"17"	65	25	21.1724137931034	7
"18"	69	25	21.1724137931034	7
"19"	73	22	26.551724137931	7
"20"	77	22	26.551724137931	7
"21"	81	17.3333333333333	22.5172413793103	7
"22"	85	17.3333333333333	22.5172413793103	7
"23"	89	15.3333333333333	19.1379310344828	7
"24"	93	15.3333333333333	19.1379310344828	7
"25"	97	19.6666666666667	15.7931034482759	7
"26"	101	19.6666666666667	15.7931034482759	7
"27"	105	17.3333333333333	14.0344827586207	7
"28"	109	17.3333333333333	14.0344827586207	7
"29"	113	11.3333333333333	11.8275862068966	7
"30"	117	11.3333333333333	11.8275862068966	7
"31"	2	44	42.8275862068966	7
"32"	6	44	42.8275862068966	7
"33"	10	41.6666666666667	38.2413793103448	7
"34"	14	41.6666666666667	38.2413793103448	7
"35"	18	33.3333333333333	32.1724137931034	7
"36"	22	33.3333333333333	32.1724137931034	7
"37"	26	39.3333333333333	33.5862068965517	7
"38"	30	39.3333333333333	33.5862068965517	7
"39"	34	34	29.6206896551724	7
"40"	38	34	29.6206896551724	7
"41"	42	26.6666666666667	24.2068965517241	7
"42"	46	26.6666666666667	24.2068965517241	7
"43"	50	31	25.551724137931	7
"44"	54	31	25.551724137931	7
"45"	58	26	22.0344827586207	7
"46"	62	26	22.0344827586207	7
"47"	66	21.3333333333333	18.2413793103448	7
"48"	70	21.3333333333333	18.2413793103448	7
"49"	74	26.6666666666667	26.6896551724138	7
"50"	78	26.6666666666667	26.6896551724138	7
"51"	82	21.3333333333333	22.9655172413793	7
"52"	86	21.3333333333333	22.9655172413793	7
"53"	90	18.6666666666667	20.1379310344828	7
"54"	94	18.6666666666667	20.1379310344828	7
"55"	98	19	13.2068965517241	7
"56"	102	19	13.2068965517241	7
"57"	106	18	11.8275862068966	7
"58"	110	18	11.8275862068966	7
"59"	114	15.6666666666667	10.1724137931034	7
"60"	118	15.6666666666667	10.1724137931034	7
"61"	3	45	42.5172413793103	7
"62"	7	45	42.5172413793103	7
"63"	11	37	37.2068965517241	7
"64"	15	37	37.2068965517241	7
"65"	19	33	32.8965517241379	7
"66"	23	33	32.8965517241379	7
"67"	27	35	32.0689655172414	7
"68"	31	35	32.0689655172414	7
"69"	35	28.3333333333333	27.7241379310345	7
"70"	39	28.3333333333333	27.7241379310345	7
"71"	43	25	22.2068965517241	7
"72"	47	25	22.2068965517241	7
"73"	51	25	25.1034482758621	7
"74"	55	25	25.1034482758621	7
"75"	59	21.6666666666667	21.9310344827586	7
"76"	63	21.6666666666667	21.9310344827586	7
"77"	67	21.3333333333333	18.7931034482759	7
"78"	71	21.3333333333333	18.7931034482759	7
"79"	75	24.6666666666667	26.2068965517241	7
"80"	79	24.6666666666667	26.2068965517241	7
"81"	83	19	21.8965517241379	7
"82"	87	19	21.8965517241379	7
"83"	91	15	17.6896551724138	7
"84"	95	15	17.6896551724138	7
"85"	99	16.3333333333333	16.7241379310345	7
"86"	103	16.3333333333333	16.7241379310345	7
"87"	107	14.6666666666667	14.9310344827586	7
"88"	111	14.6666666666667	14.9310344827586	7
"89"	115	12.3333333333333	12.5172413793103	7
"90"	119	12.3333333333333	12.5172413793103	7
"91"	4	45.6666666666667	43.5172413793103	7
"92"	8	45.6666666666667	43.5172413793103	7
"93"	12	43	38.1034482758621	7
"94"	16	43	38.1034482758621	7
"95"	20	39.3333333333333	32.9310344827586	7
"96"	24	39.3333333333333	32.9310344827586	7
"97"	28	29	28.7241379310345	7
"98"	32	29	28.7241379310345	7
"99"	36	24.6666666666667	25.4827586206897	7
"100"	40	24.6666666666667	25.4827586206897	7
"101"	44	18.6666666666667	21.6551724137931	7
"102"	48	18.6666666666667	21.6551724137931	7
"103"	52	33.6666666666667	25.1724137931034	7
"104"	56	33.6666666666667	25.1724137931034	7
"105"	60	26.3333333333333	22.1379310344828	7
"106"	64	26.3333333333333	22.1379310344828	7
"107"	68	22.6666666666667	17.9655172413793	7
"108"	72	22.6666666666667	17.9655172413793	7
"109"	76	21.3333333333333	24.1034482758621	7
"110"	80	21.3333333333333	24.1034482758621	7
"111"	84	17	20.6551724137931	7
"112"	88	17	20.6551724137931	7
"113"	92	16.3333333333333	17.9310344827586	7
"114"	96	16.3333333333333	17.9310344827586	7
"115"	100	18.6666666666667	14.8275862068966	7
"116"	104	18.6666666666667	14.8275862068966	7
"117"	108	15	12.8620689655172	7
"118"	112	15	12.8620689655172	7
"119"	116	8.66666666666667	10.7586206896552	7
"120"	120	8.66666666666667	10.7586206896552	7
