"rid"	"replicate"	"distance"	"species"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"	"age_burned"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"frost.short"	"frost.long"
"1"	1	1	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	1476.95067199361	-100	"10"	11.6193255053763	12.2473932117167	448.5	390.296551724138	-0.168968247536457	-0.220478889364326	33.2702906240909	31.0398056327187	39.3333333333333	44.7931034482759
"2"	1	10	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	1488.75515185677	-100	"10"	12.2005362724014	12.4710784249166	395.6	374.931034482759	-0.289849832706344	-0.268251250406449	29.6500161211832	29.9576850076738	45	44.1724137931034
"3"	1	11	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	1401.55059413052	-100	"10"	11.5994980071685	11.7200479777531	364.566666666667	381.168965517241	-0.359799936333547	-0.279635077775175	27.9842209885887	30.0113188529835	49.6666666666667	43.5172413793103
"4"	1	12	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	951.166502438738	-100	"10"	12.9206394265233	11.9004141268076	344.566666666667	368.868965517241	-0.259658911584663	-0.301815998955909	30.6103927239219	29.6930660627251	46.6666666666667	43.2413793103448
"5"	1	13	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	3	4.6608198483785	0	4.6608198483785	1142.33341950141	-99.7373796521414	"10"	12.0381375197133	11.7487746073415	412.1	397.441379310345	-0.25686631159845	-0.238681449793732	30.2023949878338	30.4882217315179	44	43.3103448275862
"6"	1	14	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	1494.63381641786	-100	"10"	12.0787323010753	11.9820820645161	359.066666666667	378.913793103448	-0.327526461971175	-0.256108846940254	28.8019487785477	30.350025084071	46	43
"7"	1	15	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	1078.76528614055	-100	"10"	11.2617012473118	11.8745993474231	402.533333333333	387.737931034483	-0.163471602322087	-0.201695259629692	32.9517554349494	31.2473833920872	46	44.2413793103448
"8"	1	16	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	1638.23159191616	-100	"10"	11.664408530466	11.6868745450501	391.466666666667	374.334482758621	-0.129804976374642	-0.25697692216558	33.8543837261279	30.7971372381541	40.6666666666667	40.5172413793103
"9"	1	17	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	3	6.26927916208903	0	6.26927916208903	1332.24201115641	-99.7748156885252	"10"	12.0804993978495	11.9021931865035	414.3	405.648275862069	-0.273927217941198	-0.236658774075208	29.332145511339	30.7240081854089	49	43.5172413793103
"10"	1	18	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	267.617198415345	1.9560769572854	1.9560769572854	0	1177.99940632975	-77.2820599927847	"10"	13.6735934193548	11.8878757345198	368.6	380.241379310345	-0.393745324716573	-0.279827103200321	27.9196031129107	29.9385080307042	51	45.1379310344828
"11"	1	19	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	45.3048889945988	0.669589698314667	0.669589698314667	0	904.929935100498	-94.9935473192665	"10"	12.1673079283154	12.347502453096	400.266666666667	377.103448275862	-0.293197493396733	-0.271639742451851	29.9396452122383	30.1415489623288	46	45.1034482758621
"12"	1	2	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	1437.02617821513	-100	"10"	12.8630115125448	12.0713038635521	409.066666666667	392.989655172414	-0.169182055050293	-0.266003277075836	32.6900189885365	30.2126252438459	44.6666666666667	44.7586206896552
"13"	1	20	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	6	5.24726597468058	0	5.24726597468058	1464.88319612996	-99.5904110296404	"10"	11.7470875698925	12.0890970500556	372.5	388.262068965517	-0.238539289015061	-0.257097910217313	31.443957994815	30.5130482076207	42.3333333333333	41.9310344827586
"14"	1	3	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	1464.46281970463	-100	"10"	12.1322955698925	11.8099658746756	431.033333333333	385.144827586207	-0.180515704608999	-0.267427284453323	32.5027364890559	30.3528011653533	51.3333333333333	42.6551724137931
"15"	1	4	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	1412.13766537605	-100	"10"	12.6466598422939	11.9160683188728	403.733333333333	383.196551724138	-0.0729980019394842	-0.242751361020392	32.9944470919828	30.4256022859802	46.3333333333333	45.5172413793103
"16"	1	5	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	74.5308856098622	0.499088168144226	0.499088168144226	0	1447.26913034109	-94.8502400799292	"10"	12.7447939784946	12.2753178168335	418.9	370.255172413793	-0.171476869897106	-0.274218623447449	32.7469788467716	30.1552905347682	47	42.2413793103448
"17"	1	6	"mid"	"DF"	"low"	"0"	"hist"	"rhyolite"	10	6	7.5346093972524	0	7.5346093972524	1372.66137639084	-99.562892924417	"10"	11.1735601863799	11.7950755105673	407.666666666667	399.613793103448	-0.124618946499884	-0.239294536755962	33.0823189074213	30.6725117954385	46.3333333333333	44.3793103448276
