"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"short"	"DF"	20	1	"low"	"0"	"hist"	"rhyolite"	"10"	454.941259517278	2.73609711032443	2.47796775629887	6.99464827317458	942.316744245428	-51.7209831730648
"3"	"short"	"DF"	20	10	"med"	"0"	"hist"	"rhyolite"	"20"	2370.31334827768	1.7719824179951	1.67801992450991	7.38880332310994	1287.34826169263	84.1237075320361
"5"	"short"	"DF"	20	100	"low"	"8"	"2070"	"rhyolite"	"100"	11323.7555758046	1.75232689644594	1.66785802851463	5.72084452944287	43616.5355863614	-74.0379298273625
"7"	"short"	"DF"	20	101	"low"	"8"	"2070"	"andesite"	"10"	14803.9060824243	1.77737109052216	1.68423925258525	6.5218356810118	1378.61713832357	973.822867197644
"9"	"short"	"DF"	20	102	"low"	"8"	"2070"	"andesite"	"20"	8343.15318668009	1.92123114769486	1.71725596645131	7.9738595818772	9968.32812608134	-16.3033852702853
"11"	"short"	"DF"	20	103	"low"	"8"	"2070"	"andesite"	"50"	14169.6474727175	1.75907090328116	1.63668137942779	6.59158540044512	6770.40562724852	109.28801393656
"13"	"short"	"DF"	20	104	"low"	"8"	"2070"	"andesite"	"100"	12546.3608429649	1.42276746261974	1.27274132348024	6.8416232096373	43939.0323343574	-71.4459782648547
"15"	"short"	"DF"	20	105	"med"	"8"	"2070"	"rhyolite"	"10"	22425.317621872	1.72788655221685	1.67591830454419	5.7365610233998	1493.90908477796	1401.11662418902
"17"	"short"	"DF"	20	106	"med"	"8"	"2070"	"rhyolite"	"20"	8415.26934222402	1.78030146841216	1.58185164349612	6.88346665170458	22200.1034542589	-62.0935579892101
"19"	"short"	"DF"	20	107	"med"	"8"	"2070"	"rhyolite"	"50"	18731.6233746278	1.69417855994276	1.62576660120843	5.39478732277365	7968.12237207006	135.082024345988
"21"	"short"	"DF"	20	108	"med"	"8"	"2070"	"rhyolite"	"100"	19002.8601257159	1.34896367413018	1.25984433708528	6.47068217204167	29197.7825972246	-34.9167695785152
"23"	"short"	"DF"	20	109	"med"	"8"	"2070"	"andesite"	"10"	13925.1113949215	2.06815291481586	1.92975574146751	7.42034279451071	1263.19398619154	1002.37315464942
"25"	"short"	"DF"	20	11	"med"	"0"	"hist"	"rhyolite"	"50"	770.046047015755	2.20813664246199	1.69956824715648	7.81864766031504	3110.4428210216	-75.2432019707458
"27"	"short"	"DF"	20	110	"med"	"8"	"2070"	"andesite"	"20"	6742.68740083706	2.18594804084646	1.77240399912828	9.1686856961693	14450.3494355837	-53.3389318307186
"29"	"short"	"DF"	20	111	"med"	"8"	"2070"	"andesite"	"50"	13521.1303850216	1.99705528934853	1.82235371055959	7.81769083054538	6119.53962643966	120.950123872115
"31"	"short"	"DF"	20	112	"med"	"8"	"2070"	"andesite"	"100"	15816.039459624	1.22819613559469	1.05650117761559	8.29792579205831	18507.0021241624	-14.5402407504188
"33"	"short"	"DF"	20	113	"high"	"8"	"2070"	"rhyolite"	"10"	21506.9688487912	1.84211150713704	1.77747160427305	6.16298699002913	1452.47169755496	1380.71517572392
"35"	"short"	"DF"	20	114	"high"	"8"	"2070"	"rhyolite"	"20"	8868.83223943287	1.82300242690136	1.55264367647469	7.47305454560268	23024.8668091471	-61.4815047012148
"37"	"short"	"DF"	20	115	"high"	"8"	"2070"	"rhyolite"	"50"	14750.3958044961	1.81434477758525	1.70852049916599	5.76293606386556	10262.7200861157	43.7279364605463
"39"	"short"	"DF"	20	116	"high"	"8"	"2070"	"rhyolite"	"100"	17055.760210637	1.60801406436605	1.497461206325	7.14285952174021	30885.5397828445	-44.7775226511964
"41"	"short"	"DF"	20	117	"high"	"8"	"2070"	"andesite"	"10"	16240.4457078135	2.08975214450321	1.8936257987516	8.47457470381556	1440.38749579568	1027.50532445036
"43"	"short"	"DF"	20	118	"high"	"8"	"2070"	"andesite"	"20"	9469.55042074111	2.14865816659231	1.71836995297382	10.1544691958536	14875.9743559395	-36.3433265333627
"45"	"short"	"DF"	20	119	"high"	"8"	"2070"	"andesite"	"50"	10861.3432884549	2.08517544755723	1.7708475679322	8.54470273805043	5996.16893604357	81.1380467145653
"47"	"short"	"DF"	20	12	"med"	"0"	"hist"	"rhyolite"	"100"	2070.37001868589	1.62546862299186	1.55894703347059	6.30806098313167	2429.90657067424	-14.7963117729495
"49"	"short"	"DF"	20	120	"high"	"8"	"2070"	"andesite"	"100"	21219.8758453006	1.45997923996958	1.30780102727991	8.99637907402856	23035.8297147822	-7.88317109461978
