"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	40	41.3448275862069	9
"2"	5	40	41.3448275862069	9
"3"	9	35.6666666666667	35.9310344827586	9
"4"	13	35.6666666666667	35.9310344827586	9
"5"	17	31.6666666666667	31.0344827586207	9
"6"	21	31.6666666666667	31.0344827586207	9
"7"	25	33	33	9
"8"	29	33	33	9
"9"	33	29.6666666666667	28.6896551724138	9
"10"	37	29.6666666666667	28.6896551724138	9
"11"	41	22.3333333333333	23.5862068965517	9
"12"	45	22.3333333333333	23.5862068965517	9
"13"	49	24	23.5172413793103	9
"14"	53	24	23.5172413793103	9
"15"	57	21.3333333333333	20.551724137931	9
"16"	61	21.3333333333333	20.551724137931	9
"17"	65	19.6666666666667	17.1379310344828	9
"18"	69	19.6666666666667	17.1379310344828	9
"19"	73	26.3333333333333	25.7586206896552	9
"20"	77	26.3333333333333	25.7586206896552	9
"21"	81	23.3333333333333	21.7931034482759	9
"22"	85	23.3333333333333	21.7931034482759	9
"23"	89	17.3333333333333	18.6896551724138	9
"24"	93	17.3333333333333	18.6896551724138	9
"25"	97	17.6666666666667	15.5172413793103	9
"26"	101	17.6666666666667	15.5172413793103	9
"27"	105	16.3333333333333	13.6551724137931	9
"28"	109	16.3333333333333	13.6551724137931	9
"29"	113	15.3333333333333	11.1724137931034	9
"30"	117	15.3333333333333	11.1724137931034	9
"31"	2	42.3333333333333	40.7586206896552	9
"32"	6	42.3333333333333	40.7586206896552	9
"33"	10	38	35.0689655172414	9
"34"	14	38	35.0689655172414	9
"35"	18	33.3333333333333	29.9310344827586	9
"36"	22	33.3333333333333	29.9310344827586	9
"37"	26	32.3333333333333	32.3103448275862	9
"38"	30	32.3333333333333	32.3103448275862	9
"39"	34	30.3333333333333	28.6896551724138	9
"40"	38	30.3333333333333	28.6896551724138	9
"41"	42	23.6666666666667	24	9
"42"	46	23.6666666666667	24	9
"43"	50	23	23.8620689655172	9
"44"	54	23	23.8620689655172	9
"45"	58	17.3333333333333	21.1379310344828	9
"46"	62	17.3333333333333	21.1379310344828	9
"47"	66	17	17.3103448275862	9
"48"	70	17	17.3103448275862	9
"49"	74	30	25.4137931034483	9
"50"	78	30	25.4137931034483	9
"51"	82	24.3333333333333	21.1034482758621	9
"52"	86	24.3333333333333	21.1034482758621	9
"53"	90	23	18.3793103448276	9
"54"	94	23	18.3793103448276	9
"55"	98	19.6666666666667	15	9
"56"	102	19.6666666666667	15	9
"57"	106	15	12.551724137931	9
"58"	110	15	12.551724137931	9
"59"	114	7.33333333333333	10.0344827586207	9
"60"	118	7.33333333333333	10.0344827586207	9
"61"	3	41.3333333333333	46.551724137931	9
"62"	7	41.3333333333333	46.551724137931	9
"63"	11	40.3333333333333	41	9
"64"	15	40.3333333333333	41	9
"65"	19	35.3333333333333	35.9655172413793	9
"66"	23	35.3333333333333	35.9655172413793	9
"67"	27	33.6666666666667	33.551724137931	9
"68"	31	33.6666666666667	33.551724137931	9
"69"	35	29.6666666666667	28.9310344827586	9
"70"	39	29.6666666666667	28.9310344827586	9
"71"	43	24	24.0689655172414	9
"72"	47	24	24.0689655172414	9
"73"	51	32.6666666666667	27.7586206896552	9
"74"	55	32.6666666666667	27.7586206896552	9
"75"	59	25.6666666666667	23.2068965517241	9
"76"	63	25.6666666666667	23.2068965517241	9
"77"	67	22.3333333333333	20.3793103448276	9
"78"	71	22.3333333333333	20.3793103448276	9
"79"	75	29	26.2068965517241	9
"80"	79	29	26.2068965517241	9
"81"	83	22.6666666666667	22.1034482758621	9
"82"	87	22.6666666666667	22.1034482758621	9
"83"	91	19.3333333333333	19.448275862069	9
"84"	95	19.3333333333333	19.448275862069	9
"85"	99	21.6666666666667	16.9655172413793	9
"86"	103	21.6666666666667	16.9655172413793	9
"87"	107	18.3333333333333	14.6206896551724	9
"88"	111	18.3333333333333	14.6206896551724	9
"89"	115	13	11.3448275862069	9
"90"	119	13	11.3448275862069	9
"91"	4	45.6666666666667	44.9310344827586	9
"92"	8	45.6666666666667	44.9310344827586	9
"93"	12	40	38.9310344827586	9
"94"	16	40	38.9310344827586	9
"95"	20	35.3333333333333	34.5172413793103	9
"96"	24	35.3333333333333	34.5172413793103	9
"97"	28	30.6666666666667	32.4137931034483	9
"98"	32	30.6666666666667	32.4137931034483	9
"99"	36	26.6666666666667	27.3448275862069	9
"100"	40	26.6666666666667	27.3448275862069	9
"101"	44	22	22.2758620689655	9
"102"	48	22	22.2758620689655	9
"103"	52	22.6666666666667	25.551724137931	9
"104"	56	22.6666666666667	25.551724137931	9
"105"	60	19	21.8620689655172	9
"106"	64	19	21.8620689655172	9
"107"	68	16	19.3793103448276	9
"108"	72	16	19.3793103448276	9
"109"	76	20.6666666666667	25.8275862068966	9
"110"	80	20.6666666666667	25.8275862068966	9
"111"	84	19	21.6551724137931	9
"112"	88	19	21.6551724137931	9
"113"	92	19.6666666666667	18.8965517241379	9
"114"	96	19.6666666666667	18.8965517241379	9
"115"	100	12.6666666666667	15.1034482758621	9
"116"	104	12.6666666666667	15.1034482758621	9
"117"	108	11.6666666666667	13.6896551724138	9
"118"	112	11.6666666666667	13.6896551724138	9
"119"	116	11	10.7241379310345	9
"120"	120	11	10.7241379310345	9
