"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"long"	"LP"	16	1	"low"	"0"	"hist"	"rhyolite"	"10"	0.220906211844682	1.78270757198334	1.78270757198334	0	319.996448093316	-99.9309660425417
"3"	"long"	"LP"	16	10	"med"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	575.237718344639	-100
"5"	"long"	"LP"	16	100	"low"	"8"	"2070"	"rhyolite"	"100"	0.203007929205656	1.94300317764282	1.94300317764282	0	2702.72319169251	-99.9924887635615
"7"	"long"	"LP"	16	101	"low"	"8"	"2070"	"andesite"	"10"	22.1406026371111	0.450632041849455	0.189770437777042	5.96540355682373	327.332182507839	-93.2360446603563
"9"	"long"	"LP"	16	102	"low"	"8"	"2070"	"andesite"	"20"	0.089422283946082	3.23826885223389	3.23826885223389	0	1066.94852993726	-99.9916188755655
"11"	"long"	"LP"	16	103	"low"	"8"	"2070"	"andesite"	"50"	116.621105115819	0.442523272285881	0.328117883205414	6.99915933609009	2710.2167163181	-95.6969822961519
"13"	"long"	"LP"	16	104	"low"	"8"	"2070"	"andesite"	"100"	0	NA	0	0	3795.03547419094	-100
"15"	"long"	"LP"	16	105	"med"	"8"	"2070"	"rhyolite"	"10"	0	NA	0	0	333.422335973179	-100
"17"	"long"	"LP"	16	106	"med"	"8"	"2070"	"rhyolite"	"20"	2.13605518157865	0.357175767421722	0.357175767421722	0	961.47098410451	-99.7778346703236
"19"	"long"	"LP"	16	107	"med"	"8"	"2070"	"rhyolite"	"50"	63.281933426494	0.180021252033139	0.0954665988683701	5.44624853134155	2547.03965746357	-97.5154712161211
"21"	"long"	"LP"	16	108	"med"	"8"	"2070"	"rhyolite"	"100"	0	NA	0	0	2272.50087075056	-100
"23"	"long"	"LP"	16	109	"med"	"8"	"2070"	"andesite"	"10"	0.241514096442851	1.7212141752243	1.7212141752243	0	325.945622860856	-99.9259035619736
"25"	"long"	"LP"	16	11	"med"	"0"	"hist"	"rhyolite"	"50"	0	NA	0	0	2632.64498506949	-100
"27"	"long"	"LP"	16	110	"med"	"8"	"2070"	"andesite"	"20"	0.414455570863977	1.17771291732788	1.17771291732788	0	1743.86402638625	-99.9762334927154
"29"	"long"	"LP"	16	111	"med"	"8"	"2070"	"andesite"	"50"	0.124082039932169	2.58271789550781	2.58271789550781	0	3133.30044027775	-99.9960398933234
"31"	"long"	"LP"	16	112	"med"	"8"	"2070"	"andesite"	"100"	0	NA	0	0	3390.40526894243	-100
"33"	"long"	"LP"	16	113	"high"	"8"	"2070"	"rhyolite"	"10"	0	NA	0	0	333.024899600617	-100
"35"	"long"	"LP"	16	114	"high"	"8"	"2070"	"rhyolite"	"20"	0.548289245468175	0.982085168361664	0.982085168361664	0	1255.75623888285	-99.956337923835
"37"	"long"	"LP"	16	115	"high"	"8"	"2070"	"rhyolite"	"50"	0	NA	0	0	2660.58030467072	-100
"39"	"long"	"LP"	16	116	"high"	"8"	"2070"	"rhyolite"	"100"	0.161348752101997	2.21534776687622	2.21534776687622	0	2277.72837974421	-99.9929162426241
"41"	"long"	"LP"	16	117	"high"	"8"	"2070"	"andesite"	"10"	0	NA	0	0	333.709940856082	-100
"43"	"long"	"LP"	16	118	"high"	"8"	"2070"	"andesite"	"20"	0.414455570863977	1.18623518943787	1.18623518943787	0	2000.76579751017	-99.9792851531459
"45"	"long"	"LP"	16	119	"high"	"8"	"2070"	"andesite"	"50"	55.737591959521	0.290741264033952	0.176859758794308	6.52434062957764	3012.65921732539	-98.1498872610954
"47"	"long"	"LP"	16	12	"med"	"0"	"hist"	"rhyolite"	"100"	44.9858409920081	0.528168706472007	0.303126682837804	5.36497902870178	2608.48723023474	-98.2754049753213
"49"	"long"	"LP"	16	120	"high"	"8"	"2070"	"andesite"	"100"	111.092043756585	0.417070557846913	0.357143618994289	7.01454973220825	3429.71107781856	-96.760892062452
"51"	"long"	"LP"	16	13	"med"	"0"	"hist"	"andesite"	"10"	0	NA	0	0	324.376988112776	-100
"53"	"long"	"LP"	16	14	"med"	"0"	"hist"	"andesite"	"20"	66.8430409646686	0.493817631909079	0.293655393379075	6.98338174819946	881.461338999026	-92.4167926592703
"55"	"long"	"LP"	16	15	"med"	"0"	"hist"	"andesite"	"50"	0	NA	0	0	2578.95320535652	-100
"57"	"long"	"LP"	16	16	"med"	"0"	"hist"	"andesite"	"100"	0.241514096442851	1.73987925052643	1.73987925052643	0	3044.32560041734	-99.992066745541
"59"	"long"	"LP"	16	17	"high"	"0"	"hist"	"rhyolite"	"10"	1	4.33189153671265	0	4.33189153671265	329.828058736197	-99.6968117255301
"61"	"long"	"LP"	16	18	"high"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	1798.69549460929	-100
"63"	"long"	"LP"	16	19	"high"	"0"	"hist"	"rhyolite"	"50"	2.18383892334586	2.20305476175659	0.592336535453796	4.10988569259644	4194.07045051961	-99.9479303233193
"65"	"long"	"LP"	16	2	"low"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	505.150379883656	-100
"67"	"long"	"LP"	16	20	"high"	"0"	"hist"	"rhyolite"	"100"	0.326605059980743	1.38558828830719	1.38558828830719	0	4346.79956553652	-99.9924863096387
"69"	"long"	"LP"	16	21	"high"	"0"	"hist"	"andesite"	"10"	0	NA	0	0	326.577482809057	-100
"71"	"long"	"LP"	16	22	"high"	"0"	"hist"	"andesite"	"20"	0	NA	0	0	2160.51398573899	-100
"73"	"long"	"LP"	16	23	"high"	"0"	"hist"	"andesite"	"50"	78.342761269368	0.699658507760581	0.585432503757806	9.53421306610107	3857.54157530326	-97.9691013112876
"75"	"long"	"LP"	16	24	"high"	"0"	"hist"	"andesite"	"100"	72.5843158877271	0.435373214256637	0.271644734378372	6.21370458602905	4294.09861653793	-98.3096728238103
"77"	"long"	"LP"	16	25	"low"	"4.5"	"2030"	"rhyolite"	"10"	0	NA	0	0	324.713093203805	-100
"79"	"long"	"LP"	16	26	"low"	"4.5"	"2030"	"rhyolite"	"20"	13.5339938908401	2.00789559881315	1.78295223042369	4.8273344039917	1005.68893198399	-98.6542564544147
"81"	"long"	"LP"	16	27	"low"	"4.5"	"2030"	"rhyolite"	"50"	0	NA	0	0	2073.85890408779	-100
"83"	"long"	"LP"	16	28	"low"	"4.5"	"2030"	"rhyolite"	"100"	0	NA	0	0	3066.57463568416	-100
"85"	"long"	"LP"	16	29	"low"	"4.5"	"2030"	"andesite"	"10"	85.0759488020281	0.246165113202074	0.168219645321369	6.79950428009033	338.570406041121	-74.8720067424631
"87"	"long"	"LP"	16	3	"low"	"0"	"hist"	"rhyolite"	"50"	38.1967261135311	0.606001452314196	0.306742820474837	6.02209281921387	2139.09695831819	-98.2143527452088
"89"	"long"	"LP"	16	30	"low"	"4.5"	"2030"	"andesite"	"20"	0	NA	0	0	1316.04004612948	-100
"91"	"long"	"LP"	16	31	"low"	"4.5"	"2030"	"andesite"	"50"	0.0710719723178615	3.65276479721069	3.65276479721069	0	2662.1361991699	-99.9973302653583
"93"	"long"	"LP"	16	32	"low"	"4.5"	"2030"	"andesite"	"100"	28.0488285521762	0.378204232939911	0.201705262064934	5.15229463577271	3205.93001589097	-99.1250954196397
"95"	"long"	"LP"	16	33	"med"	"4.5"	"2030"	"rhyolite"	"10"	0	NA	0	0	315.213637255685	-100
"97"	"long"	"LP"	16	34	"med"	"4.5"	"2030"	"rhyolite"	"20"	64.8673178730104	0.549708700471527	0.470521265810186	5.60719776153564	1410.51696827584	-95.4011671371595
"99"	"long"	"LP"	16	35	"med"	"4.5"	"2030"	"rhyolite"	"50"	78.9852332232445	0.816382576232699	0.706120168385298	9.41522216796875	2905.20342054375	-97.2812494758642
"101"	"long"	"LP"	16	36	"med"	"4.5"	"2030"	"rhyolite"	"100"	0.242597916803882	2.79115629196167	2.79115629196167	0	2741.6395782805	-99.9911513563371
"103"	"long"	"LP"	16	37	"med"	"4.5"	"2030"	"andesite"	"10"	0	NA	0	0	335.464876045273	-100
"105"	"long"	"LP"	16	38	"med"	"4.5"	"2030"	"andesite"	"20"	102.731388382818	1.10043207084096	0.900353373005623	11.1775345802307	1651.80499983259	-93.7806588312041
"107"	"long"	"LP"	16	39	"med"	"4.5"	"2030"	"andesite"	"50"	128.991440994375	1.1120409981717	0.959926286268802	10.7706742286682	3141.5405266342	-95.8940067810434
"109"	"long"	"LP"	16	4	"low"	"0"	"hist"	"rhyolite"	"100"	112.181140072983	0.248441414370426	0.147103876372178	5.83118414878845	2561.73965540474	-95.6209000459394
"111"	"long"	"LP"	16	40	"med"	"4.5"	"2030"	"andesite"	"100"	0.116920207872518	2.66959762573242	2.66959762573242	0	3517.25268257364	-99.9966758086943
