"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	51.3333333333333	51.8275862068966	6
"2"	5	51.3333333333333	51.8275862068966	6
"3"	9	45	45.3793103448276	6
"4"	13	45	45.3793103448276	6
"5"	17	37	36.4137931034483	6
"6"	21	37	36.4137931034483	6
"7"	25	33.3333333333333	40.448275862069	6
"8"	29	33.3333333333333	40.448275862069	6
"9"	33	27	32.2413793103448	6
"10"	37	27	32.2413793103448	6
"11"	41	25.3333333333333	26.7931034482759	6
"12"	45	25.3333333333333	26.7931034482759	6
"13"	49	30.3333333333333	35.551724137931	6
"14"	53	30.3333333333333	35.551724137931	6
"15"	57	19.3333333333333	28.8965517241379	6
"16"	61	19.3333333333333	28.8965517241379	6
"17"	65	16.3333333333333	23.7586206896552	6
"18"	69	16.3333333333333	23.7586206896552	6
"19"	73	35	32.7931034482759	6
"20"	77	35	32.7931034482759	6
"21"	81	26.6666666666667	23.0689655172414	6
"22"	85	26.6666666666667	23.0689655172414	6
"23"	89	24.3333333333333	20.2758620689655	6
"24"	93	24.3333333333333	20.2758620689655	6
"25"	97	16.6666666666667	21.3103448275862	6
"26"	101	16.6666666666667	21.3103448275862	6
"27"	105	12	17.7241379310345	6
"28"	109	12	17.7241379310345	6
"29"	113	9.66666666666667	14.551724137931	6
"30"	117	9.66666666666667	14.551724137931	6
"31"	2	50.6666666666667	52.2758620689655	6
"32"	6	50.6666666666667	52.2758620689655	6
"33"	10	43	44.7241379310345	6
"34"	14	43	44.7241379310345	6
"35"	18	36.3333333333333	36.6551724137931	6
"36"	22	36.3333333333333	36.6551724137931	6
"37"	26	41.3333333333333	41.1379310344828	6
"38"	30	41.3333333333333	41.1379310344828	6
"39"	34	31	32.6896551724138	6
"40"	38	31	32.6896551724138	6
"41"	42	24.3333333333333	27.1034482758621	6
"42"	46	24.3333333333333	27.1034482758621	6
"43"	50	44.6666666666667	36.3448275862069	6
"44"	54	44.6666666666667	36.3448275862069	6
"45"	58	39.6666666666667	30.1724137931034	6
"46"	62	39.6666666666667	30.1724137931034	6
"47"	66	35	25.5862068965517	6
"48"	70	35	25.5862068965517	6
"49"	74	27.3333333333333	35.1379310344828	6
"50"	78	27.3333333333333	35.1379310344828	6
"51"	82	21.3333333333333	23.448275862069	6
"52"	86	21.3333333333333	23.448275862069	6
"53"	90	18.3333333333333	19.9655172413793	6
"54"	94	18.3333333333333	19.9655172413793	6
"55"	98	20.3333333333333	21.7586206896552	6
"56"	102	20.3333333333333	21.7586206896552	6
"57"	106	18.3333333333333	17.8965517241379	6
"58"	110	18.3333333333333	17.8965517241379	6
"59"	114	16	14.6206896551724	6
"60"	118	16	14.6206896551724	6
"61"	3	58.6666666666667	52.0344827586207	6
"62"	7	58.6666666666667	52.0344827586207	6
"63"	11	51.6666666666667	45.2068965517241	6
"64"	15	51.6666666666667	45.2068965517241	6
"65"	19	42.3333333333333	36.5862068965517	6
"66"	23	42.3333333333333	36.5862068965517	6
"67"	27	43.6666666666667	43.2068965517241	6
"68"	31	43.6666666666667	43.2068965517241	6
"69"	35	32.3333333333333	33.551724137931	6
"70"	39	32.3333333333333	33.551724137931	6
"71"	43	26.6666666666667	28.1034482758621	6
"72"	47	26.6666666666667	28.1034482758621	6
"73"	51	30	34.551724137931	6
"74"	55	30	34.551724137931	6
"75"	59	23.6666666666667	27.6551724137931	6
"76"	63	23.6666666666667	27.6551724137931	6
"77"	67	21.6666666666667	23.2413793103448	6
"78"	71	21.6666666666667	23.2413793103448	6
"79"	75	31.6666666666667	33.6551724137931	6
"80"	79	31.6666666666667	33.6551724137931	6
"81"	83	18	23.1724137931034	6
"82"	87	18	23.1724137931034	6
"83"	91	14	20.1034482758621	6
"84"	95	14	20.1034482758621	6
"85"	99	26	20.8620689655172	6
"86"	103	26	20.8620689655172	6
"87"	107	22	15.9655172413793	6
"88"	111	22	15.9655172413793	6
"89"	115	18.3333333333333	13.6896551724138	6
"90"	119	18.3333333333333	13.6896551724138	6
"91"	4	60	54.7586206896552	6
"92"	8	60	54.7586206896552	6
"93"	12	54.6666666666667	45.7241379310345	6
"94"	16	54.6666666666667	45.7241379310345	6
"95"	20	41.3333333333333	37.448275862069	6
"96"	24	41.3333333333333	37.448275862069	6
"97"	28	40.3333333333333	35.9655172413793	6
"98"	32	40.3333333333333	35.9655172413793	6
"99"	36	35	29.551724137931	6
"100"	40	35	29.551724137931	6
"101"	44	29.3333333333333	25.4137931034483	6
"102"	48	29.3333333333333	25.4137931034483	6
"103"	52	42	31.7241379310345	6
"104"	56	42	31.7241379310345	6
"105"	60	35.6666666666667	24.6551724137931	6
"106"	64	35.6666666666667	24.6551724137931	6
"107"	68	29.3333333333333	21.448275862069	6
"108"	72	29.3333333333333	21.448275862069	6
"109"	76	33.6666666666667	30.3793103448276	6
"110"	80	33.6666666666667	30.3793103448276	6
"111"	84	26	21.7931034482759	6
"112"	88	26	21.7931034482759	6
"113"	92	17	18.2068965517241	6
"114"	96	17	18.2068965517241	6
"115"	100	19.3333333333333	21.6206896551724	6
"116"	104	19.3333333333333	21.6206896551724	6
"117"	108	16	17.1724137931034	6
"118"	112	16	17.1724137931034	6
"119"	116	11.3333333333333	14.1379310344828	6
"120"	120	11.3333333333333	14.1379310344828	6
