"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"mid"	"LP"	6	1	"low"	"0"	"hist"	"rhyolite"	"10"	123.337564696217	1.02849606524476	0.768264139777628	7.18753852844238	325.920698105395	-62.1571856549188
"3"	"mid"	"LP"	6	10	"med"	"0"	"hist"	"rhyolite"	"20"	107.859367238726	1.17417501463958	1.0051349921001	7.08265161514282	880.123723244374	-87.7449767129186
"5"	"mid"	"LP"	6	100	"low"	"8"	"2070"	"rhyolite"	"100"	427.598836290508	0.747425652050752	0.595467468219645	6.01022934913635	2961.83684518791	-85.5630523002904
"7"	"mid"	"LP"	6	101	"low"	"8"	"2070"	"andesite"	"10"	382.42328746732	0.863646203896785	0.672629637889705	7.31346446817571	340.892033447582	12.1831107637556
"9"	"mid"	"LP"	6	102	"low"	"8"	"2070"	"andesite"	"20"	421.30810845663	1.01542784896769	0.820900909832598	8.2714260708202	1003.20590324557	-58.0038248286205
"11"	"mid"	"LP"	6	103	"low"	"8"	"2070"	"andesite"	"50"	401.477294401612	0.708789015408353	0.568642635158328	7.60184133052826	2704.95660618444	-85.1577177436525
"13"	"mid"	"LP"	6	104	"low"	"8"	"2070"	"andesite"	"100"	509.77368999668	0.779233811871038	0.624767318936705	7.78321769020774	3297.57213955643	-84.5409389568274
"15"	"mid"	"LP"	6	105	"med"	"8"	"2070"	"rhyolite"	"10"	372.434351349617	0.799169553024161	0.650341237119089	6.80909427007039	330.747202873189	12.6039307707801
"17"	"mid"	"LP"	6	106	"med"	"8"	"2070"	"rhyolite"	"20"	319.216157588539	0.899224570762577	0.664091962717828	6.91893593470256	960.599144658406	-66.7690566493214
"19"	"mid"	"LP"	6	107	"med"	"8"	"2070"	"rhyolite"	"50"	190.183889444038	0.947632957329597	0.768399454133455	6.44962024688721	2568.34710023354	-92.595086177147
"21"	"mid"	"LP"	6	108	"med"	"8"	"2070"	"rhyolite"	"100"	454.096336736633	0.728235979649539	0.616135916815927	7.88816847120013	2475.75181485787	-81.6582448203637
"23"	"mid"	"LP"	6	109	"med"	"8"	"2070"	"andesite"	"10"	574.289449829711	0.850967729145856	0.711817313289764	8.7030788898468	326.869057403689	75.6940391945554
"25"	"mid"	"LP"	6	11	"med"	"0"	"hist"	"rhyolite"	"50"	244.276167138959	0.868979647831204	0.723844975126641	7.81443328857422	2442.94145382787	-90.0007359261025
"27"	"mid"	"LP"	6	110	"med"	"8"	"2070"	"andesite"	"20"	471.686963683885	1.00641883712369	0.84929977273125	7.58666472001509	1379.5762350112	-65.8092860899379
"29"	"mid"	"LP"	6	111	"med"	"8"	"2070"	"andesite"	"50"	336.509841225607	0.958257965291642	0.784777677644079	9.12446682793754	2864.5426270711	-88.2525804278334
"31"	"mid"	"LP"	6	112	"med"	"8"	"2070"	"andesite"	"100"	865.708623677854	0.845547607763482	0.737873532176018	7.90821013083825	3405.94045871287	-74.58239114359
"33"	"mid"	"LP"	6	113	"high"	"8"	"2070"	"rhyolite"	"10"	437.451013779032	0.734727176832963	0.592586922633454	6.81052675247192	337.252610736165	29.7101934434699
"35"	"mid"	"LP"	6	114	"high"	"8"	"2070"	"rhyolite"	"20"	352.940600509287	0.86645345667072	0.6992750282471	7.25528113047282	1079.02952568507	-67.2909228053602
"37"	"mid"	"LP"	6	115	"high"	"8"	"2070"	"rhyolite"	"50"	782.229883891883	0.7035331673871	0.635865292327608	7.25234454870224	2470.72340117194	-68.3400463394305
"39"	"mid"	"LP"	6	116	"high"	"8"	"2070"	"rhyolite"	"100"	844.857832503665	0.52853988934968	0.424662732761608	7.17554191442636	2108.81160282886	-59.9367799679055
"41"	"mid"	"LP"	6	117	"high"	"8"	"2070"	"andesite"	"10"	387.775380193731	0.910976271168693	0.730697377764304	7.72146902084351	332.595998018376	16.5905129659155
"43"	"mid"	"LP"	6	118	"high"	"8"	"2070"	"andesite"	"20"	990.945643081581	0.999023377413389	0.865857813124345	8.62820109199075	1516.24097982209	-34.6445811537256
"45"	"mid"	"LP"	6	119	"high"	"8"	"2070"	"andesite"	"50"	553.717936254682	0.851855452808124	0.752281212434173	7.6442865729332	3413.19068583735	-83.7771168615843
"47"	"mid"	"LP"	6	12	"med"	"0"	"hist"	"rhyolite"	"100"	166.229273599889	1.08890492326125	0.805697935795973	6.03650813632541	2655.81893279994	-93.7409410126978
"49"	"mid"	"LP"	6	120	"high"	"8"	"2070"	"andesite"	"100"	1167.02048664242	0.939037355576346	0.827556155378522	8.95885893702507	3173.17452345183	-63.2223037838803
"51"	"mid"	"LP"	6	13	"med"	"0"	"hist"	"andesite"	"10"	287.701002075564	1.26252588425858	1.03211366172348	8.39765002992418	329.053731964724	-12.5671663537287
"53"	"mid"	"LP"	6	14	"med"	"0"	"hist"	"andesite"	"20"	478.237006626911	0.879773631651262	0.73430892597628	7.69096946716309	1223.19268434633	-60.9025615712802
"55"	"mid"	"LP"	6	15	"med"	"0"	"hist"	"andesite"	"50"	291.725947932357	1.02129455832159	0.868022555551891	9.810706615448	2425.14103419659	-87.9707636043113
"57"	"mid"	"LP"	6	16	"med"	"0"	"hist"	"andesite"	"100"	282.566964760815	1.38220752933443	1.1102230133669	8.09693566235629	2997.05849378857	-90.5718568607708
"59"	"mid"	"LP"	6	17	"high"	"0"	"hist"	"rhyolite"	"10"	1053.82423653972	0.758507993654021	0.65544740474568	7.44343155622482	334.914982257602	214.654253278273
"61"	"mid"	"LP"	6	18	"high"	"0"	"hist"	"rhyolite"	"20"	538.065386424029	0.837194656704955	0.704915115699686	7.1753735108809	1235.56135149388	-56.4517467486766
"63"	"mid"	"LP"	6	19	"high"	"0"	"hist"	"rhyolite"	"50"	368.145610182758	0.616547650866064	0.476939124297606	6.18763536877102	2405.97483607772	-84.6986924109764
"65"	"mid"	"LP"	6	2	"low"	"0"	"hist"	"rhyolite"	"20"	124.963838599091	1.0557559818911	0.754337089601904	5.46264481544495	964.592795750572	-87.044912718651
"67"	"mid"	"LP"	6	20	"high"	"0"	"hist"	"rhyolite"	"100"	742.765140801931	0.801841669878648	0.691544451080916	6.99346208572388	3665.745799522	-79.7376800950359
"69"	"mid"	"LP"	6	21	"high"	"0"	"hist"	"andesite"	"10"	461.114917649958	0.936050686085798	0.772291703866078	6.58088475007277	335.473295479362	37.4520487513216
"71"	"mid"	"LP"	6	22	"high"	"0"	"hist"	"andesite"	"20"	417.952289341004	0.904703453307313	0.772459988005278	8.66838271277291	1859.84008815398	-77.5275147576881
"73"	"mid"	"LP"	6	23	"high"	"0"	"hist"	"andesite"	"50"	456.533983099389	0.738921919594856	0.621927878916708	7.29839730262756	2738.60669575869	-83.3296988645201
"75"	"mid"	"LP"	6	24	"high"	"0"	"hist"	"andesite"	"100"	1046.84002800896	0.808158659160496	0.682242575664442	8.00524237420824	3528.09897266359	-70.3284959940158
"77"	"mid"	"LP"	6	25	"low"	"4.5"	"2030"	"rhyolite"	"10"	228.425866044442	1.00653911724382	0.817711918324721	6.97957141058786	329.324002425074	-30.637954002028
"79"	"mid"	"LP"	6	26	"low"	"4.5"	"2030"	"rhyolite"	"20"	420.530481963744	0.625004602672706	0.476440390067123	6.72401838302612	1399.70702274339	-69.9558211017964
"81"	"mid"	"LP"	6	27	"low"	"4.5"	"2030"	"rhyolite"	"50"	333.12300896154	0.677937347629909	0.486610839941672	6.86013703346252	2554.01450268529	-86.9568865559967
"83"	"mid"	"LP"	6	28	"low"	"4.5"	"2030"	"rhyolite"	"100"	281.801319103088	0.919542235832494	0.733592903547323	6.55590036180284	2258.47568739473	-87.5224993266073
"85"	"mid"	"LP"	6	29	"low"	"4.5"	"2030"	"andesite"	"10"	420.497651075132	1.01265249978638	0.805088847515912	8.07842453320821	343.999211664827	22.2379693953603
"87"	"mid"	"LP"	6	3	"low"	"0"	"hist"	"rhyolite"	"50"	27.9212076801087	1.33981763222981	0.854386475824174	7.63129854202271	1865.23512095762	-98.5030730246075
"89"	"mid"	"LP"	6	30	"low"	"4.5"	"2030"	"andesite"	"20"	618.523472139049	0.914371394572633	0.790103865750134	7.77759326588024	2092.95196932136	-70.4473164599374
"91"	"mid"	"LP"	6	31	"low"	"4.5"	"2030"	"andesite"	"50"	78.9364778965566	1.47304073392754	1.19837061391801	8.42553456624349	2789.30001495797	-97.1700255450023
"93"	"mid"	"LP"	6	32	"low"	"4.5"	"2030"	"andesite"	"100"	366.134959298772	1.14373127537806	0.892843397111638	7.45418790408543	2812.33239003204	-86.9810922565024
"95"	"mid"	"LP"	6	33	"med"	"4.5"	"2030"	"rhyolite"	"10"	460.654721753606	0.833734156640671	0.667491141190896	7.0492103099823	330.477565089117	39.3906184310531
"97"	"mid"	"LP"	6	34	"med"	"4.5"	"2030"	"rhyolite"	"20"	382.131583496249	0.875355800855264	0.766051767823788	7.72747230529785	2193.71445083295	-82.5806142020374
"99"	"mid"	"LP"	6	35	"med"	"4.5"	"2030"	"rhyolite"	"50"	69.1388824857193	1.32994860253579	1.12222581563724	5.90946626663208	2657.60051895567	-97.3984471333228
"101"	"mid"	"LP"	6	36	"med"	"4.5"	"2030"	"rhyolite"	"100"	456.882232976224	0.877278273692998	0.741113043527623	6.96226048469543	3106.32838340142	-85.291888796511
"103"	"mid"	"LP"	6	37	"med"	"4.5"	"2030"	"andesite"	"10"	542.883410796549	1.25925519844103	1.06319289808744	9.25080600151649	334.15950505459	62.4623578215623
"105"	"mid"	"LP"	6	38	"med"	"4.5"	"2030"	"andesite"	"20"	502.84751401343	1.13825573382791	1.03575316004455	8.39906236103603	2837.82570628374	-82.2805356615107
"107"	"mid"	"LP"	6	39	"med"	"4.5"	"2030"	"andesite"	"50"	616.863579377378	1.09040949482613	0.922106575649396	9.57376833756765	2985.3891066599	-79.337246927
"109"	"mid"	"LP"	6	4	"low"	"0"	"hist"	"rhyolite"	"100"	61.3532527338098	1.21903238064228	0.964813303688298	6.16386906305949	2433.44376828728	-97.4787478743759
"111"	"mid"	"LP"	6	40	"med"	"4.5"	"2030"	"andesite"	"100"	524.716342931207	1.22159888482279	1.02414691584756	9.65800317128499	3592.23179473799	-85.393026594224
"113"	"mid"	"LP"	6	41	"high"	"4.5"	"2030"	"rhyolite"	"10"	593.820122469616	0.946930372910312	0.776029494118514	7.11880329251289	333.292623387954	78.1677963446572
"115"	"mid"	"LP"	6	42	"high"	"4.5"	"2030"	"rhyolite"	"20"	749.919603426688	0.855299936503886	0.747704358353954	8.08298011259599	1974.41444800255	-62.0181262254561
"117"	"mid"	"LP"	6	43	"high"	"4.5"	"2030"	"rhyolite"	"50"	782.296817952024	0.637008234977273	0.53290434459697	7.31958285967509	3449.60196306593	-77.3221134980821
"119"	"mid"	"LP"	6	44	"high"	"4.5"	"2030"	"rhyolite"	"100"	589.453778662485	0.834834899814573	0.748280743938803	6.41713343726264	3201.42846706877	-81.5877885535831
"121"	"mid"	"LP"	6	45	"high"	"4.5"	"2030"	"andesite"	"10"	753.127711084265	1.18492121837179	0.993837396781103	8.1893634557724	344.756169735383	118.4522793783
"123"	"mid"	"LP"	6	46	"high"	"4.5"	"2030"	"andesite"	"20"	947.406313534199	1.09022429147645	0.939335193572561	9.34835189931533	2527.4917257193	-62.5159479695398
"125"	"mid"	"LP"	6	47	"high"	"4.5"	"2030"	"andesite"	"50"	795.613997467742	1.01658921553314	0.872994138595106	9.03344079426357	3743.52598815264	-78.7469353762824
"127"	"mid"	"LP"	6	48	"high"	"4.5"	"2030"	"andesite"	"100"	959.867633096923	0.829735325363937	0.729768867036366	7.58366656303406	3544.93386328427	-72.9228338210057
"129"	"mid"	"LP"	6	49	"low"	"8"	"2030"	"rhyolite"	"10"	138.631431268647	1.10510456939152	0.952096356177016	6.25503325462341	332.402085913317	-58.2940549582473
"131"	"mid"	"LP"	6	5	"low"	"0"	"hist"	"andesite"	"10"	130.887560976026	1.04405231245477	0.649747460851303	7.10094749927521	324.226724980681	-59.6308536923277
"133"	"mid"	"LP"	6	50	"low"	"8"	"2030"	"rhyolite"	"20"	179.385466971583	0.773458591831545	0.665292419280325	5.51615226268768	1300.09823459841	-86.2021605600445
"135"	"mid"	"LP"	6	51	"low"	"8"	"2030"	"rhyolite"	"50"	458.657753884143	0.875590590825255	0.741353904016507	7.58232026629978	1617.93948122908	-71.6517360998125
"137"	"mid"	"LP"	6	52	"low"	"8"	"2030"	"rhyolite"	"100"	223.220580766975	0.815168860893211	0.623558044582605	5.96999275684357	2903.84879113456	-92.3129406238897
"139"	"mid"	"LP"	6	53	"low"	"8"	"2030"	"andesite"	"10"	212.098560596257	1.11461054069008	0.889233860791775	6.86449253559113	338.897248723821	-37.4150833637768
"141"	"mid"	"LP"	6	54	"low"	"8"	"2030"	"andesite"	"20"	288.499685989764	0.729070957743513	0.603356554264754	6.64811754226685	1368.45425612253	-78.9178421785746
"143"	"mid"	"LP"	6	55	"low"	"8"	"2030"	"andesite"	"50"	308.888042507367	1.09621068702386	0.872429710023011	8.55279281404283	1954.88745908803	-84.1991905430983
