"rid"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"replicate"
"1"	1	11.7161438136201	12.1166275328142	390.5	388.748275862069	-0.294024658172779	-0.265691625118468	29.7038077144551	30.7530015966592	9
"2"	5	11.7161438136201	12.1166275328142	390.5	388.748275862069	-0.220368603923204	-0.203619187393573	48.7734377170058	49.8269081836267	9
"3"	9	10.1051428100358	10.5537711071561	908.9	876.148275862069	-0.155762358919317	-0.188438624751033	34.7759481986764	34.3097236958434	9
"4"	13	10.1051428100358	10.5537711071561	908.9	876.148275862069	-0.103896833277117	-0.136487137883498	55.1625659419054	54.2303833861395	9
"5"	17	8.22664025806452	8.70767142899518	1234.06666666667	1202.1724137931	-0.0199669717301018	-0.0840864251897443	39.590795736616	37.8089889221378	9
"6"	21	8.22664025806452	8.70767142899518	1234.06666666667	1202.1724137931	-0.0177894151790172	-0.0585178622408787	60.9500449558869	58.6299656799488	9
"7"	25	14.3994887455197	14.3872376625881	461.8	426.741379310345	-0.191817542344306	-0.304510105114053	30.0077189415226	29.8714061740806	9
"8"	29	14.3994887455197	14.3872376625881	461.8	426.741379310345	-0.12128591359724	-0.239542836881484	49.825240269943	48.72949696303	9
"9"	33	12.7274081577061	12.8330497382277	1111.86666666667	1011.57931034483	-0.0841996366533847	-0.218488534894752	34.9102442302016	33.6520594945764	9
"10"	37	12.7274081577061	12.8330497382277	1111.86666666667	1011.57931034483	-0.0545416346287748	-0.172090163947733	55.5135267326109	53.4025926113649	9
"11"	41	10.8246538207885	11.0071811909529	1533.6	1390.57586206897	-0.0195957333286391	-0.0781428716539411	39.3756435575745	37.7064279814061	9
"12"	45	10.8246538207885	11.0071811909529	1533.6	1390.57586206897	-0.0177978607581901	-0.0562965071289319	60.7352693462501	58.6851216380951	9
"13"	49	14.4507086451613	14.7235604479051	445.866666666667	431.303448275862	-0.318397270944306	-0.276544308986017	30.2160985690076	30.363817322011	9
"14"	53	14.4507086451613	14.7235604479051	445.866666666667	431.303448275862	-0.247602330806299	-0.219172847314286	49.3135124555706	49.4232654075641	9
"15"	57	12.7565788960573	13.1531772754913	1041.06666666667	985.206896551724	-0.274968643177368	-0.21289209583702	32.1234561578681	33.341539778384	9
"16"	61	12.7565788960573	13.1531772754913	1041.06666666667	985.206896551724	-0.212769035881589	-0.161805928358775	51.3509847361852	52.9770134184933	9
"17"	65	10.8617921290323	11.3020371598072	1419.36666666667	1358.15517241379	-0.0538948911126453	-0.0876038928306021	38.5638931735314	37.5027674353653	9
"18"	69	10.8617921290323	11.3020371598072	1419.36666666667	1358.15517241379	-0.0311549212971328	-0.0614584385037462	59.7053618591116	58.2987007231051	9
"19"	73	14.9796883297491	15.3081563529848	437.533333333333	454.955172413793	-0.26673562393577	-0.332657840702496	30.7161520253104	29.8640418976914	9
"20"	77	14.9796883297491	15.3081563529848	437.533333333333	454.955172413793	-0.195846832531376	-0.266498367871289	50.6111748872954	48.6023129681752	9
"21"	81	13.4753231827957	13.8063852680756	947.766666666667	1061.34482758621	-0.23949379562914	-0.268746385540415	32.8401314327288	32.5573545376716	9
"22"	85	13.4753231827957	13.8063852680756	947.766666666667	1061.34482758621	-0.18631952425217	-0.214958016752021	52.7539143674725	51.7656783929861	9
"23"	89	11.6923663942652	11.9811173437152	1277.06666666667	1463.29655172414	-0.130231049961684	-0.123565851578914	36.186647143721	36.5898736913968	9
"24"	93	11.6923663942652	11.9811173437152	1277.06666666667	1463.29655172414	-0.0777334061194344	-0.0896284607929139	56.9292155845615	57.1000820539001	9
"25"	97	15.6902926594982	17.3945172680756	451.6	428.562068965517	-0.336895129249853	-0.414513215933963	30.7127438484104	27.4278453787388	9
"26"	101	15.6902926594982	17.3945172680756	451.6	428.562068965517	-0.297665879795115	-0.333636195462608	49.6110785637741	45.1778562408769	9
"27"	105	14.2393782078853	15.9453740645161	1042.46666666667	1035.91724137931	-0.313740612452647	-0.348068492885845	32.3103035098467	30.5260848715496	9
"28"	109	14.2393782078853	15.9453740645161	1042.46666666667	1035.91724137931	-0.271144294962392	-0.279989809978577	51.3685390175346	49.1380133333945	9
"29"	113	12.4372285304659	14.1415204197256	1381.83333333333	1400.56206896552	-0.259093631113556	-0.24206279917566	33.362051901343	32.906470820216	9
"30"	117	12.4372285304659	14.1415204197256	1381.83333333333	1400.56206896552	-0.224074226455931	-0.187769872558551	52.5504875403787	52.4931969968934	9
"31"	2	11.4403838136201	12.3069116751947	410.1	375.075862068966	-0.135222619646911	-0.286317452301648	33.6960828684638	30.2183439042468	9
"32"	6	11.4403838136201	12.3069116751947	410.1	375.075862068966	-0.0830965998176939	-0.231861902414455	54.0265237348132	49.0011956607145	9
"33"	10	9.87831718996416	10.7539497144976	919.066666666667	852.041379310345	-0.0904843448911297	-0.188265391293367	36.8655868568355	34.1051383828711	9
"34"	14	9.87831718996416	10.7539497144976	919.066666666667	852.041379310345	-0.0470528618840747	-0.137875419801961	57.8426359168286	53.9954028935978	9
"35"	18	8.02836230824373	8.90497689729329	1290.76666666667	1171.89310344828	-0.0304306761938148	-0.0800257383021655	39.5209256230231	37.7627107483387	9
"36"	22	8.02836230824373	8.90497689729329	1290.76666666667	1171.89310344828	-0.0198688385848683	-0.0526660415448296	60.8737056067119	58.6090240344237	9
"37"	26	13.4046220071685	14.5482710760104	392.7	421.865517241379	-0.17470380904243	-0.30689978459181	31.2975923844152	29.7960258455302	9
"38"	30	13.4046220071685	14.5482710760104	392.7	421.865517241379	-0.106294834745084	-0.240229264765454	50.652382232091	48.7708438739264	9
"39"	34	11.8708737491039	12.9873277508343	874.266666666667	995.158620689655	-0.0926399551607602	-0.228563894196008	35.2871949321388	33.5567679694579	9
