"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	56.3333333333333	53.9310344827586	16
"2"	5	56.3333333333333	53.9310344827586	16
"3"	9	52.6666666666667	45.7241379310345	16
"4"	13	52.6666666666667	45.7241379310345	16
"5"	17	40.6666666666667	36.448275862069	16
"6"	21	40.6666666666667	36.448275862069	16
"7"	25	33.6666666666667	42	16
"8"	29	33.6666666666667	42	16
"9"	33	28.3333333333333	32.6551724137931	16
"10"	37	28.3333333333333	32.6551724137931	16
"11"	41	25.3333333333333	26.7931034482759	16
"12"	45	25.3333333333333	26.7931034482759	16
"13"	49	29	33.7931034482759	16
"14"	53	29	33.7931034482759	16
"15"	57	23	26.5172413793103	16
"16"	61	23	26.5172413793103	16
"17"	65	19	21.9310344827586	16
"18"	69	19	21.9310344827586	16
"19"	73	37.3333333333333	32.2413793103448	16
"20"	77	37.3333333333333	32.2413793103448	16
"21"	81	27.3333333333333	24.7241379310345	16
"22"	85	27.3333333333333	24.7241379310345	16
"23"	89	23.6666666666667	21.6896551724138	16
"24"	93	23.6666666666667	21.6896551724138	16
"25"	97	21.3333333333333	24.1724137931034	16
"26"	101	21.3333333333333	24.1724137931034	16
"27"	105	14	17.5862068965517	16
"28"	109	14	17.5862068965517	16
"29"	113	11.3333333333333	14.3793103448276	16
"30"	117	11.3333333333333	14.3793103448276	16
"31"	2	55.3333333333333	52.7586206896552	16
"32"	6	55.3333333333333	52.7586206896552	16
"33"	10	46.6666666666667	44.0344827586207	16
"34"	14	46.6666666666667	44.0344827586207	16
"35"	18	37.3333333333333	35.2758620689655	16
"36"	22	37.3333333333333	35.2758620689655	16
"37"	26	45.6666666666667	42.7931034482759	16
"38"	30	45.6666666666667	42.7931034482759	16
"39"	34	32	32.7931034482759	16
"40"	38	32	32.7931034482759	16
"41"	42	20.3333333333333	26.5862068965517	16
"42"	46	20.3333333333333	26.5862068965517	16
"43"	50	35.3333333333333	33.9655172413793	16
"44"	54	35.3333333333333	33.9655172413793	16
"45"	58	30.6666666666667	26.7931034482759	16
"46"	62	30.6666666666667	26.7931034482759	16
"47"	66	26.3333333333333	21.8620689655172	16
"48"	70	26.3333333333333	21.8620689655172	16
"49"	74	32.3333333333333	33.6896551724138	16
"50"	78	32.3333333333333	33.6896551724138	16
"51"	82	17.6666666666667	24.5172413793103	16
"52"	86	17.6666666666667	24.5172413793103	16
"53"	90	15.3333333333333	20.6896551724138	16
"54"	94	15.3333333333333	20.6896551724138	16
"55"	98	36.6666666666667	25.6551724137931	16
"56"	102	36.6666666666667	25.6551724137931	16
"57"	106	28	18.6551724137931	16
"58"	110	28	18.6551724137931	16
"59"	114	22.6666666666667	15.6551724137931	16
"60"	118	22.6666666666667	15.6551724137931	16
"61"	3	63.6666666666667	56.448275862069	16
"62"	7	63.6666666666667	56.448275862069	16
"63"	11	53.6666666666667	48.3793103448276	16
"64"	15	53.6666666666667	48.3793103448276	16
"65"	19	44	37.8275862068966	16
"66"	23	44	37.8275862068966	16
"67"	27	40	40.5862068965517	16
"68"	31	40	40.5862068965517	16
"69"	35	32.6666666666667	32.7241379310345	16
"70"	39	32.6666666666667	32.7241379310345	16
"71"	43	27	26.9655172413793	16
"72"	47	27	26.9655172413793	16
"73"	51	36	32.5172413793103	16
"74"	55	36	32.5172413793103	16
"75"	59	27.6666666666667	25.8275862068966	16
"76"	63	27.6666666666667	25.8275862068966	16
"77"	67	27.3333333333333	21.5172413793103	16
"78"	71	27.3333333333333	21.5172413793103	16
"79"	75	38.3333333333333	33.5172413793103	16
"80"	79	38.3333333333333	33.5172413793103	16
"81"	83	27.3333333333333	25.4137931034483	16
"82"	87	27.3333333333333	25.4137931034483	16
"83"	91	24.6666666666667	22.5862068965517	16
"84"	95	24.6666666666667	22.5862068965517	16
"85"	99	16.3333333333333	21.6896551724138	16
"86"	103	16.3333333333333	21.6896551724138	16
"87"	107	14	16.5862068965517	16
"88"	111	14	16.5862068965517	16
"89"	115	11.3333333333333	13.2068965517241	16
"90"	119	11.3333333333333	13.2068965517241	16
"91"	4	55.6666666666667	54.9655172413793	16
"92"	8	55.6666666666667	54.9655172413793	16
"93"	12	43	46.1724137931034	16
"94"	16	43	46.1724137931034	16
"95"	20	32	36.6206896551724	16
"96"	24	32	36.6206896551724	16
"97"	28	33	42.7241379310345	16
"98"	32	33	42.7241379310345	16
"99"	36	26	33.4827586206897	16
"100"	40	26	33.4827586206897	16
"101"	44	22.6666666666667	27.9655172413793	16
"102"	48	22.6666666666667	27.9655172413793	16
"103"	52	39.3333333333333	34.0689655172414	16
"104"	56	39.3333333333333	34.0689655172414	16
"105"	60	33.3333333333333	27.4827586206897	16
"106"	64	33.3333333333333	27.4827586206897	16
"107"	68	31	23.0689655172414	16
"108"	72	31	23.0689655172414	16
"109"	76	33.6666666666667	36.1724137931034	16
"110"	80	33.6666666666667	36.1724137931034	16
"111"	84	24.6666666666667	23.8275862068966	16
"112"	88	24.6666666666667	23.8275862068966	16
"113"	92	23	19.0689655172414	16
"114"	96	23	19.0689655172414	16
"115"	100	29	22.5862068965517	16
"116"	104	29	22.5862068965517	16
"117"	108	25.3333333333333	18.2413793103448	16
"118"	112	25.3333333333333	18.2413793103448	16
"119"	116	21.3333333333333	15.0344827586207	16
"120"	120	21.3333333333333	15.0344827586207	16
