"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"short"	"LP"	7	1	"low"	"0"	"hist"	"rhyolite"	"10"	1217.82113280976	1.42374015932384	1.01421379069456	6.74674098793118	326.58691374633	272.893426389914
"3"	"short"	"LP"	7	10	"med"	"0"	"hist"	"rhyolite"	"20"	1377.5452816892	1.61587121709376	1.05140541074798	7.47766332981015	1277.11966808614	7.86344585496439
"5"	"short"	"LP"	7	100	"low"	"8"	"2070"	"rhyolite"	"100"	2444.39535676136	1.13642356029665	0.859576023745199	6.4989496310552	3427.99477868461	-28.6931423594721
"7"	"short"	"LP"	7	101	"low"	"8"	"2070"	"andesite"	"10"	1194.33523039669	1.74373861742528	1.13289973597864	7.16220879554749	336.179318344023	255.267312778144
"9"	"short"	"LP"	7	102	"low"	"8"	"2070"	"andesite"	"20"	1576.69420209131	1.61840556628724	1.03788435599449	7.1399138657252	1258.14306864725	25.3191502129059
"11"	"short"	"LP"	7	103	"low"	"8"	"2070"	"andesite"	"50"	1734.82129989266	1.80206722169144	1.2215787237297	7.32487454558864	2498.11683383879	-30.5548372921049
"13"	"short"	"LP"	7	104	"low"	"8"	"2070"	"andesite"	"100"	2612.8884383054	1.33151141680246	0.93143623636695	8.04267306230506	3998.79567696312	-34.6581158582787
"15"	"short"	"LP"	7	105	"med"	"8"	"2070"	"rhyolite"	"10"	1727.22175184263	1.4576019294455	1.00217368882604	6.8290297155027	330.980652343986	421.849763607191
"17"	"short"	"LP"	7	106	"med"	"8"	"2070"	"rhyolite"	"20"	1861.05659256437	1.43992493517043	0.962859773439924	6.84262973583297	1051.47977310788	76.9940459304886
"19"	"short"	"LP"	7	107	"med"	"8"	"2070"	"rhyolite"	"50"	1863.80671847128	1.52984831357488	1.0338467373067	7.07601059496013	2394.03954181658	-22.1480394990871
"21"	"short"	"LP"	7	108	"med"	"8"	"2070"	"rhyolite"	"100"	2403.2565406495	1.35351299581386	0.969558203891488	7.33329520389951	2422.00862637662	-0.774236950393229
"23"	"short"	"LP"	7	109	"med"	"8"	"2070"	"andesite"	"10"	1751.70413601527	1.84743662040311	1.14665068390204	7.50711505400702	334.796178945217	423.215092099931
"25"	"short"	"LP"	7	11	"med"	"0"	"hist"	"rhyolite"	"50"	1205.48303705603	1.76647369925906	1.14977437046293	6.86839421529036	2471.00217092774	-51.2148127088278
"27"	"short"	"LP"	7	110	"med"	"8"	"2070"	"andesite"	"20"	1907.74904610708	1.97113941018773	1.21791661654619	7.74955328052694	1343.52185718046	41.9961302386785
"29"	"short"	"LP"	7	111	"med"	"8"	"2070"	"andesite"	"50"	2480.52669686164	1.78435706398147	1.19411550851728	8.16606758435567	2850.45923323341	-12.9779977927326
"31"	"short"	"LP"	7	112	"med"	"8"	"2070"	"andesite"	"100"	2762.20115291276	1.80112890179745	1.14435678490036	8.79894201061394	3140.80615934039	-12.0543894535389
"33"	"short"	"LP"	7	113	"high"	"8"	"2070"	"rhyolite"	"10"	2051.61956656125	1.54716363802785	1.05568508847779	7.27992588355217	333.431278465032	515.305071559568
"35"	"short"	"LP"	7	114	"high"	"8"	"2070"	"rhyolite"	"20"	1863.8855882785	1.7685707226708	1.04350742069486	6.81887083583408	1585.63029873828	17.5485603271852
"37"	"short"	"LP"	7	115	"high"	"8"	"2070"	"rhyolite"	"50"	4230.9863884125	1.08090992055391	0.77540354503815	7.30365261766646	2417.08469807682	75.0450198033576
"39"	"short"	"LP"	7	116	"high"	"8"	"2070"	"rhyolite"	"100"	2944.06781576189	1.49147754761346	1.05143876045726	7.72929459011432	2862.33750386816	2.85536949375397
"41"	"short"	"LP"	7	117	"high"	"8"	"2070"	"andesite"	"10"	2324.30674084268	1.95666776065959	1.26825464853169	8.04826836464769	330.12676548668	604.064918037208
"43"	"short"	"LP"	7	118	"high"	"8"	"2070"	"andesite"	"20"	1988.65545947634	2.33022416530717	1.26282181602258	8.45839981386217	2249.07352781792	-11.5789041630059
"45"	"short"	"LP"	7	119	"high"	"8"	"2070"	"andesite"	"50"	4026.01650956853	1.52091465413927	1.023216464838	8.25693894465477	3341.70515605427	20.477909377327
"47"	"short"	"LP"	7	12	"med"	"0"	"hist"	"rhyolite"	"100"	1481.26786473575	1.52101332137882	0.98751757565124	7.06636453041664	3043.41878015713	-51.3288189455388
"49"	"short"	"LP"	7	120	"high"	"8"	"2070"	"andesite"	"100"	3084.19426124561	1.85550598613045	1.23999930060561	8.83336804962158	3658.42812564255	-15.6961909507538
"51"	"short"	"LP"	7	13	"med"	"0"	"hist"	"andesite"	"10"	2214.63878709614	1.63614025407084	1.01705298233925	8.1579627978305	332.903023697655	565.250427135649
"53"	"short"	"LP"	7	14	"med"	"0"	"hist"	"andesite"	"20"	1330.75121311485	2.27996762802135	1.39932956223787	8.33370929215787	1892.24888534564	-29.673563376322
"55"	"short"	"LP"	7	15	"med"	"0"	"hist"	"andesite"	"50"	1426.97169979328	2.17297823967248	1.30904515547057	7.72992047667503	2858.67716245078	-50.0827963878956
"57"	"short"	"LP"	7	16	"med"	"0"	"hist"	"andesite"	"100"	1495.51698830078	2.17533794006686	1.28263295284239	7.92469998734507	3225.54779208864	-53.6352556310322
"59"	"short"	"LP"	7	17	"high"	"0"	"hist"	"rhyolite"	"10"	3096.3940479179	1.26550459335738	0.926144932384181	6.96517501480278	337.584678960314	817.219957213138
"61"	"short"	"LP"	7	18	"high"	"0"	"hist"	"rhyolite"	"20"	1899.68678573201	1.59603219254207	1.03385067480128	7.42887343189673	1892.28691858422	0.391054182910477
"63"	"short"	"LP"	7	19	"high"	"0"	"hist"	"rhyolite"	"50"	2509.92834603065	1.3735449765747	0.990300941290161	6.58283040412637	2720.7839366507	-7.74981018447255
"65"	"short"	"LP"	7	2	"low"	"0"	"hist"	"rhyolite"	"20"	833.442603746783	1.63630527660707	0.933093814957495	7.10242425266065	985.160615969726	-15.4003326730232
"67"	"short"	"LP"	7	20	"high"	"0"	"hist"	"rhyolite"	"100"	2189.09678239969	1.49409062174696	0.931428989556189	6.91065602163667	3321.93768929509	-34.1018108360661
"69"	"short"	"LP"	7	21	"high"	"0"	"hist"	"andesite"	"10"	3583.98492997699	1.56867848067504	0.973751292946699	8.35164082669057	333.403936202019	974.967791563609
"71"	"short"	"LP"	7	22	"high"	"0"	"hist"	"andesite"	"20"	1803.81790183188	2.30381166616449	1.31759646247775	8.37693233338613	2804.96635617108	-35.6919950977886
"73"	"short"	"LP"	7	23	"high"	"0"	"hist"	"andesite"	"50"	2264.39310619346	1.80213606894271	1.16365661563782	7.82618413872433	2461.1173428816	-7.99328960307934
"75"	"short"	"LP"	7	24	"high"	"0"	"hist"	"andesite"	"100"	2455.58652582118	1.96079568828771	1.10652922315226	8.3650940025554	3591.60395594856	-31.6298078535596
"77"	"short"	"LP"	7	25	"low"	"4.5"	"2030"	"rhyolite"	"10"	1125.88739017482	1.88486807233828	1.17730347915936	6.74819895604274	325.955067565904	245.411838074025
"79"	"short"	"LP"	7	26	"low"	"4.5"	"2030"	"rhyolite"	"20"	1656.12768997095	1.37228879132538	0.9577897646197	6.40591131694733	1615.16673978939	2.53601991500268
"81"	"short"	"LP"	7	27	"low"	"4.5"	"2030"	"rhyolite"	"50"	1315.10813051812	1.56650702558484	0.988596948350335	6.45632530287873	2492.76155732631	-47.2429231487073
"83"	"short"	"LP"	7	28	"low"	"4.5"	"2030"	"rhyolite"	"100"	1622.10566855207	1.38494564504178	0.934165157824755	6.31073562537923	2529.28752831247	-35.8670910130043
"85"	"short"	"LP"	7	29	"low"	"4.5"	"2030"	"andesite"	"10"	1500.25107106493	2.21719505923323	1.33327590735387	7.77065772454715	328.004483297714	357.387367386447
"87"	"short"	"LP"	7	3	"low"	"0"	"hist"	"rhyolite"	"50"	960.221783794305	1.3050253029673	0.799308662993773	6.19486570888095	2233.59422755747	-57.0100167726369
"89"	"short"	"LP"	7	30	"low"	"4.5"	"2030"	"andesite"	"20"	1577.2247208351	2.04906336793448	1.09258869983452	7.88797379613997	2430.6726144684	-35.1115937437732
"91"	"short"	"LP"	7	31	"low"	"4.5"	"2030"	"andesite"	"50"	1343.96012020794	2.03477551128065	1.22853325195019	8.08649175680136	2714.28716914006	-50.4857063214229
"93"	"short"	"LP"	7	32	"low"	"4.5"	"2030"	"andesite"	"100"	2015.58157801235	1.73996593802823	1.16378174293811	7.95528027606986	2718.6554295503	-25.8610872086222
"95"	"short"	"LP"	7	33	"med"	"4.5"	"2030"	"rhyolite"	"10"	1759.88273630837	1.84499105445635	1.08036385227603	7.03458603293495	335.826802351247	424.044752826986
