"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	52.3333333333333	53.4827586206897	16
"2"	5	52.3333333333333	53.4827586206897	16
"3"	9	42.3333333333333	43.448275862069	16
"4"	13	42.3333333333333	43.448275862069	16
"5"	17	36.6666666666667	36.4827586206897	16
"6"	21	36.6666666666667	36.4827586206897	16
"7"	25	43.6666666666667	38.5862068965517	16
"8"	29	43.6666666666667	38.5862068965517	16
"9"	33	33.6666666666667	30.7586206896552	16
"10"	37	33.6666666666667	30.7586206896552	16
"11"	41	29.6666666666667	26.1034482758621	16
"12"	45	29.6666666666667	26.1034482758621	16
"13"	49	34.6666666666667	36.4827586206897	16
"14"	53	34.6666666666667	36.4827586206897	16
"15"	57	27.6666666666667	28.8620689655172	16
"16"	61	27.6666666666667	28.8620689655172	16
"17"	65	26	24.551724137931	16
"18"	69	26	24.551724137931	16
"19"	73	44.3333333333333	38.7586206896552	16
"20"	77	44.3333333333333	38.7586206896552	16
"21"	81	27.3333333333333	26.3793103448276	16
"22"	85	27.3333333333333	26.3793103448276	16
"23"	89	24	22.6896551724138	16
"24"	93	24	22.6896551724138	16
"25"	97	19.6666666666667	22	16
"26"	101	19.6666666666667	22	16
"27"	105	11.6666666666667	17.2413793103448	16
"28"	109	11.6666666666667	17.2413793103448	16
"29"	113	10.6666666666667	14.2068965517241	16
"30"	117	10.6666666666667	14.2068965517241	16
"31"	2	55.3333333333333	53.6551724137931	16
"32"	6	55.3333333333333	53.6551724137931	16
"33"	10	46.3333333333333	44.1724137931034	16
"34"	14	46.3333333333333	44.1724137931034	16
"35"	18	42.3333333333333	36.8275862068966	16
"36"	22	42.3333333333333	36.8275862068966	16
"37"	26	36	36.8620689655172	16
"38"	30	36	36.8620689655172	16
"39"	34	30	30.0689655172414	16
"40"	38	30	30.0689655172414	16
"41"	42	24.3333333333333	25.6896551724138	16
"42"	46	24.3333333333333	25.6896551724138	16
"43"	50	32.6666666666667	35.1724137931034	16
"44"	54	32.6666666666667	35.1724137931034	16
"45"	58	26.6666666666667	28.3448275862069	16
"46"	62	26.6666666666667	28.3448275862069	16
"47"	66	18.6666666666667	24.4827586206897	16
"48"	70	18.6666666666667	24.4827586206897	16
"49"	74	28	36.3103448275862	16
"50"	78	28	36.3103448275862	16
"51"	82	14	24.7586206896552	16
"52"	86	14	24.7586206896552	16
"53"	90	15	21.1034482758621	16
"54"	94	15	21.1034482758621	16
"55"	98	21.3333333333333	21.4137931034483	16
"56"	102	21.3333333333333	21.4137931034483	16
"57"	106	19	17.1379310344828	16
"58"	110	19	17.1379310344828	16
"59"	114	13.3333333333333	14	16
"60"	118	13.3333333333333	14	16
"61"	3	58.3333333333333	54.5641025641026	16
"62"	7	58.3333333333333	54.6829268292683	16
"63"	11	50	47.225	16
"64"	15	50	47	16
"65"	19	38	37.4615384615385	16
"66"	23	38	37.4285714285714	16
"67"	27	30	40.8620689655172	16
"68"	31	30	40.8620689655172	16
"69"	35	24	32.375	16
"70"	39	24	32.2142857142857	16
"71"	43	21.6666666666667	27.025	16
"72"	47	21.6666666666667	26.7857142857143	16
"73"	51	33.3333333333333	34.2631578947368	16
"74"	55	33.3333333333333	34.5609756097561	16
"75"	59	29	27.5897435897436	16
"76"	63	29	27.1428571428571	16
"77"	67	26.3333333333333	23.8205128205128	16
"78"	71	26.3333333333333	23.3571428571429	16
"79"	75	30.6666666666667	35.6153846153846	16
"80"	79	30.6666666666667	36.0731707317073	16
"81"	83	23	25.4102564102564	16
"82"	87	23	25.6428571428571	16
"83"	91	19.6666666666667	21.5641025641026	16
"84"	95	19.6666666666667	21.8333333333333	16
"85"	99	24.3333333333333	22.2368421052632	16
"86"	103	24.3333333333333	22.25	16
"87"	107	20.3333333333333	17.4871794871795	16
"88"	111	20.3333333333333	17.7073170731707	16
"89"	115	15.3333333333333	14.2307692307692	16
"90"	119	15.3333333333333	14.2380952380952	16
"91"	4	65.3333333333333	56.1025641025641	16
"92"	8	65.3333333333333	56.0487804878049	16
"93"	12	55.6666666666667	47.8717948717949	16
"94"	16	55.6666666666667	47.4285714285714	16
"95"	20	39.3333333333333	37.2307692307692	16
"96"	24	39.3333333333333	37.2682926829268	16
"97"	28	50.6666666666667	43.1379310344828	16
"98"	32	50.6666666666667	43.1379310344828	16
"99"	36	41.3333333333333	33.7	16
"100"	40	41.3333333333333	33.5714285714286	16
"101"	44	32	27.875	16
"102"	48	32	27.8095238095238	16
"103"	52	33	36.6666666666667	16
"104"	56	33	37.0487804878049	16
"105"	60	26.3333333333333	29.075	16
"106"	64	26.3333333333333	29	16
"107"	68	20	24.05	16
"108"	72	20	24	16
"109"	76	37.6666666666667	36.8717948717949	16
"110"	80	37.6666666666667	37.0487804878049	16
"111"	84	28.6666666666667	26.825	16
"112"	88	28.6666666666667	26.5238095238095	16
"113"	92	25.3333333333333	21.4	16
"114"	96	25.3333333333333	21.2619047619048	16
"115"	100	18	22.3947368421053	16
"116"	104	18	22.175	16
"117"	108	17.3333333333333	17.9230769230769	16
"118"	112	17.3333333333333	18.1190476190476	16
"119"	116	13	14.5	16
"120"	120	13	14.7142857142857	16
