"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"long"	"LPS"	3	1	"low"	"0"	"hist"	"rhyolite"	"10"	1.18383892334586	0.609005689620972	0.609005689620972	0	43204.5522400251	-99.9972599208603
"3"	"long"	"LPS"	3	10	"med"	"0"	"hist"	"rhyolite"	"20"	53.102940354985	1.18625020707997	0.964422079175711	6.85428500175476	5583.56183174012	-99.0489414829595
"5"	"long"	"LPS"	3	100	"low"	"8"	"2070"	"rhyolite"	"100"	59823.4034027307	2.23313160003021	2.21615433957689	3.63266410355455	14640.7716682704	308.608267092781
"7"	"long"	"LPS"	3	101	"low"	"8"	"2070"	"andesite"	"10"	23.5594530729919	0.758278754790144	0.483987082134594	6.94614887237549	42374.2498156337	-99.9444014863378
"9"	"long"	"LPS"	3	102	"low"	"8"	"2070"	"andesite"	"20"	0	NA	0	0	6470.98729072952	-100
"11"	"long"	"LPS"	3	103	"low"	"8"	"2070"	"andesite"	"50"	28903.1144840961	0.870456180849228	0.818162174638472	9.26207082459096	34681.4327286164	-16.6611289958402
"13"	"long"	"LPS"	3	104	"low"	"8"	"2070"	"andesite"	"100"	60938.0999186851	1.04221626609795	0.91531232573196	8.84688668275491	11633.2865988989	423.825312826498
"15"	"long"	"LPS"	3	105	"med"	"8"	"2070"	"rhyolite"	"10"	20.6579601939555	0.508951098265433	0.234251461923122	5.90898561477661	43073.630593494	-99.9520403552955
"17"	"long"	"LPS"	3	106	"med"	"8"	"2070"	"rhyolite"	"20"	0.104461009084984	2.94469547271729	2.94469547271729	0	5454.07065395551	-99.9980847147807
"19"	"long"	"LPS"	3	107	"med"	"8"	"2070"	"rhyolite"	"50"	50499.3746706611	0.718518279188649	0.67915275733397	8.23783807005462	11528.5878327628	338.036083891802
"21"	"long"	"LPS"	3	108	"med"	"8"	"2070"	"rhyolite"	"100"	52791.1134183583	0.823173776873781	0.654277128923994	8.04751269932015	5677.78115724129	829.784223032794
"23"	"long"	"LPS"	3	109	"med"	"8"	"2070"	"andesite"	"10"	0.089422283946082	3.20831108093262	3.20831108093262	0	42792.3786604502	-99.9997910322194
