"rid"	"replicate"	"distance"	"species"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"	"age_burned"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"frost.short"	"frost.long"
"1"	1	1	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	5.78032351503294	0.820371866226196	0.820371866226196	0	43396.1619798349	-99.9866801042965	"10"	12.3296795985663	12.068921374861	409.333333333333	386.951724137931	-0.265690250360329	-0.267911528191906	30.382267785274	30.3354457059838	51.3333333333333	53.5862068965517
"2"	1	10	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	43420.6153922615	-100	"10"	11.2878611469534	12.2320678235076	404	390.441379310345	-0.205814823598229	-0.268466064145535	30.842431811994	29.7430458717753	60.6666666666667	58.3448275862069
"3"	1	11	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	1	4.24644374847412	0	4.24644374847412	42953.3243729753	-99.9976718914901	"10"	12.3644549390681	12.055208584353	433.7	395.065517241379	-0.213251923340775	-0.251830306505832	30.4772296251649	30.8143975854045	59.6666666666667	53.8275862068966
"4"	1	12	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	42066.0290238012	-100	"10"	10.3920910107527	11.8484820659993	406.533333333333	383.972413793103	-0.0559573802331926	-0.258352450528776	34.2159082899252	30.3678305922488	61	54.8620689655172
"5"	1	13	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	42903.8917641921	-100	"10"	11.669208688172	11.7434436618465	355.566666666667	377.920689655172	-0.249380947770376	-0.284526879485449	29.1472027778526	29.5723210835838	60.3333333333333	55.4137931034483
"6"	1	14	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	55.737591959521	0.315570217965973	0.214874729514122	5.82739877700806	42639.1132684806	-99.8692806025103	"10"	11.7734331612903	12.1812985999258	353.6	376.575862068966	-0.32210844437869	-0.289216181485754	28.2708464842249	29.9091270750702	49.6666666666667	53.7586206896552
"7"	1	15	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	12.5861955003389	0.4130902638038	0.4130902638038	0	42717.9240324501	-99.9705365001099	"10"	10.4814574623656	11.7164311694475	401.5	394.962068965517	-0.181832306090959	-0.205837781183416	31.3415950473067	31.2691591975153	61.3333333333333	54.9310344827586
"8"	1	16	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	42294.4280263058	-100	"10"	11.797891311828	11.6442673029292	373.933333333333	386.575862068966	-0.222551741819013	-0.243840807531478	31.9099378064785	30.7284227489929	52.3333333333333	53.4827586206897
"9"	1	17	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	42637.2413389977	-100	"10"	13.0742998422939	12.3007242135706	439.5	406.8	-0.141158684461687	-0.244534462233918	32.6679273830032	30.5084995223247	48.3333333333333	55.4137931034483
"10"	1	18	"long"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	5.48687212107158	0.244289889931679	0.244289889931679	0	42425.5331969873	-99.9870670520613	"10"	11.511182265233	11.5173292903226	351.9	388.410344827586	-0.42783931318218	-0.260323144419032	27.4804148103356	30.4386895979985	51.3333333333333	56.1034482758621
