"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	55.3333333333333	54.6206896551724	6
"2"	5	55.3333333333333	54.6206896551724	6
"3"	9	44.6666666666667	46.6896551724138	6
"4"	13	44.6666666666667	46.6896551724138	6
"5"	17	36	36.4827586206897	6
"6"	21	36	36.4827586206897	6
"7"	25	39.6666666666667	37.9655172413793	6
"8"	29	39.6666666666667	37.9655172413793	6
"9"	33	32	31.2068965517241	6
"10"	37	32	31.2068965517241	6
"11"	41	24	26.1379310344828	6
"12"	45	24	26.1379310344828	6
"13"	49	30.6666666666667	31.3448275862069	6
"14"	53	30.6666666666667	31.3448275862069	6
"15"	57	23.6666666666667	24.5862068965517	6
"16"	61	23.6666666666667	24.5862068965517	6
"17"	65	21	20.2758620689655	6
"18"	69	21	20.2758620689655	6
"19"	73	28.6666666666667	34.0344827586207	6
"20"	77	28.6666666666667	34.0344827586207	6
"21"	81	20	24.3793103448276	6
"22"	85	20	24.3793103448276	6
"23"	89	19.3333333333333	21.2413793103448	6
"24"	93	19.3333333333333	21.2413793103448	6
"25"	97	31.3333333333333	22.5172413793103	6
"26"	101	31.3333333333333	22.5172413793103	6
"27"	105	26	18.1724137931034	6
"28"	109	26	18.1724137931034	6
"29"	113	20.6666666666667	14.2068965517241	6
"30"	117	20.6666666666667	14.2068965517241	6
"31"	2	63.3333333333333	55.1379310344828	6
"32"	6	63.3333333333333	55.1379310344828	6
"33"	10	58	46.3103448275862	6
"34"	14	58	46.3103448275862	6
"35"	18	41.3333333333333	36.7241379310345	6
"36"	22	41.3333333333333	36.7241379310345	6
"37"	26	29.3333333333333	36.1379310344828	6
"38"	30	29.3333333333333	36.1379310344828	6
"39"	34	24.6666666666667	29.7241379310345	6
"40"	38	24.6666666666667	29.7241379310345	6
"41"	42	20	25.551724137931	6
"42"	46	20	25.551724137931	6
"43"	50	31.6666666666667	32.5862068965517	6
"44"	54	31.6666666666667	32.5862068965517	6
"45"	58	29	25.6551724137931	6
"46"	62	29	25.6551724137931	6
"47"	66	24.6666666666667	22.1034482758621	6
"48"	70	24.6666666666667	22.8571428571429	6
"49"	74	28	34	6
"50"	78	28	34	6
"51"	82	19	24.5862068965517	6
"52"	86	19	24.5862068965517	6
"53"	90	15.6666666666667	21.0344827586207	6
"54"	94	15.6666666666667	21.0344827586207	6
"55"	98	21.3333333333333	22.448275862069	6
"56"	102	21.3333333333333	22.448275862069	6
"57"	106	17.6666666666667	17.9310344827586	6
"58"	110	17.6666666666667	17.9310344827586	6
"59"	114	12.6666666666667	14.1724137931034	6
"60"	118	12.6666666666667	14.1724137931034	6
"61"	3	53	51.8965517241379	6
"62"	7	53	51.8965517241379	6
"63"	11	46.6666666666667	45.65	6
"64"	15	46.6666666666667	46	6
"65"	19	38.6666666666667	36.2	6
"66"	23	38.6666666666667	36.6428571428571	6
"67"	27	43.3333333333333	40.0769230769231	6
"68"	31	43.3333333333333	39.6341463414634	6
"69"	35	35.6666666666667	31.1	6
"70"	39	35.6666666666667	31.1428571428571	6
"71"	43	30.3333333333333	25.85	6
"72"	47	30.3333333333333	25.6428571428571	6
"73"	51	41.3333333333333	30.4358974358974	6
"74"	55	41.3333333333333	30.7317073170732	6
"75"	59	33.6666666666667	25.25	6
"76"	63	33.6666666666667	25.6904761904762	6
"77"	67	27.3333333333333	21	6
"78"	71	27.3333333333333	21.1463414634146	6
"79"	75	39.6666666666667	29.5384615384615	6
"80"	79	39.6666666666667	29.8048780487805	6
"81"	83	25.3333333333333	21.55	6
"82"	87	25.3333333333333	21.2142857142857	6
"83"	91	17.3333333333333	17.55	6
"84"	95	17.3333333333333	17.3571428571429	6
"85"	99	24.3333333333333	22.8684210526316	6
"86"	103	24.3333333333333	23.1219512195122	6
"87"	107	22.6666666666667	17.3076923076923	6
"88"	111	22.6666666666667	17.8571428571429	6
"89"	115	18	13.45	6
"90"	119	18	13.6666666666667	6
"91"	4	58.3333333333333	53.2631578947368	6
"92"	8	58.3333333333333	53.2682926829268	6
"93"	12	49	45.025641025641	6
"94"	16	49	45.1219512195122	6
"95"	20	37.6666666666667	36.6666666666667	6
"96"	24	37.6666666666667	36.5121951219512	6
"97"	28	47.3333333333333	39.6206896551724	6
"98"	32	47.3333333333333	39.6206896551724	6
"99"	36	36.3333333333333	32.1538461538462	6
"100"	40	36.3333333333333	31.9268292682927	6
"101"	44	31.3333333333333	27.0769230769231	6
"102"	48	31.3333333333333	27.0243902439024	6
"103"	52	38	35.8684210526316	6
"104"	56	38	35.2439024390244	6
"105"	60	33	30.1282051282051	6
"106"	64	33	29.5609756097561	6
"107"	68	24.6666666666667	25.025641025641	6
"108"	72	24.6666666666667	24.452380952381	6
"109"	76	40.6666666666667	33.9655172413793	6
"110"	80	40.6666666666667	33.9655172413793	6
"111"	84	30.3333333333333	24.4102564102564	6
"112"	88	30.3333333333333	23.9512195121951	6
"113"	92	23.6666666666667	20.7435897435897	6
"114"	96	23.6666666666667	20.3658536585366	6
"115"	100	20	23.8157894736842	6
"116"	104	20	23.325	6
"117"	108	15.3333333333333	17.7692307692308	6
"118"	112	15.3333333333333	17.3170731707317	6
"119"	116	11.3333333333333	14.4615384615385	6
"120"	120	11.3333333333333	14	6
