"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"mid"	"LPS"	18	1	"low"	"0"	"hist"	"rhyolite"	"10"	221.778941523646	0.849620238212395	0.629497728073129	6.73181489109993	42563.0503361707	-99.4789402080631
"3"	"mid"	"LPS"	18	10	"med"	"0"	"hist"	"rhyolite"	"20"	337.762967487615	0.718942697295415	0.576231647768746	6.60154509544373	5710.89689668341	-94.085640599049
"5"	"mid"	"LPS"	18	100	"low"	"8"	"2070"	"rhyolite"	"100"	30951.7100992266	0.945359842891032	0.850536284107892	5.78322754802841	5389.26206205419	474.32185970613
"7"	"mid"	"LPS"	18	101	"low"	"8"	"2070"	"andesite"	"10"	398.379142624865	0.833421866359838	0.659042281625064	7.60596122741699	42521.3008416053	-99.0631068788115
"9"	"mid"	"LPS"	18	102	"low"	"8"	"2070"	"andesite"	"20"	172.192866666793	1.31717527057639	1.1529237252167	6.80951261520386	5369.11352239978	-96.7928994991741
"11"	"mid"	"LPS"	18	103	"low"	"8"	"2070"	"andesite"	"50"	39403.4522065741	1.01618206370692	0.974494701850713	8.98730431413892	35058.3157557253	12.3940250898653
"13"	"mid"	"LPS"	18	104	"low"	"8"	"2070"	"andesite"	"100"	40785.0047913605	1.2089119845812	1.09477649963609	7.4454126529112	10938.3384187624	272.862890413068
"15"	"mid"	"LPS"	18	105	"med"	"8"	"2070"	"rhyolite"	"10"	473.949767262191	0.532607982856188	0.422305283126652	6.95704764127731	43270.4098060892	-98.904679273004
"17"	"mid"	"LPS"	18	106	"med"	"8"	"2070"	"rhyolite"	"20"	405.576869959915	0.767825667695522	0.608453125153717	7.07223482131958	5612.23936299625	-92.7733504626683
"19"	"mid"	"LPS"	18	107	"med"	"8"	"2070"	"rhyolite"	"50"	56707.2276057302	0.866011335025182	0.825973413960931	8.0109085489316	11368.799477434	398.796972523692
"21"	"mid"	"LPS"	18	108	"med"	"8"	"2070"	"rhyolite"	"100"	51264.3379735519	0.739987442103877	0.642467226705069	6.76157283436489	4452.73249083024	1051.3006469426
"23"	"mid"	"LPS"	18	109	"med"	"8"	"2070"	"andesite"	"10"	886.395645105225	1.06287728952003	0.933884734178291	9.10091611317226	43182.1157662931	-97.9473084415259
"25"	"mid"	"LPS"	18	11	"med"	"0"	"hist"	"rhyolite"	"50"	341.170991383493	0.829026008276206	0.655175835928983	8.06925529241562	23355.8998897826	-98.5392513540754
"27"	"mid"	"LPS"	18	110	"med"	"8"	"2070"	"andesite"	"20"	605.136683257108	0.92637625892737	0.749446078097049	8.39708484922137	11844.7036198095	-94.8910778802008
"29"	"mid"	"LPS"	18	111	"med"	"8"	"2070"	"andesite"	"50"	43741.9916115735	1.3678251903169	1.29003044379691	9.69224562824614	17975.4800083897	143.342551025941
"31"	"mid"	"LPS"	18	112	"med"	"8"	"2070"	"andesite"	"100"	52346.3226550534	1.03536470799124	0.875703113673452	8.24580658085069	7344.86820239423	612.692470614923
"33"	"mid"	"LPS"	18	113	"high"	"8"	"2070"	"rhyolite"	"10"	852.370864565322	0.60594444854417	0.512333476750387	7.16160555680593	43516.7062966706	-98.0412790004042
"35"	"mid"	"LPS"	18	114	"high"	"8"	"2070"	"rhyolite"	"20"	370.97506252727	0.821030513186327	0.690385250969136	6.7486520409584	5415.25338964747	-93.1494422174874
"37"	"mid"	"LPS"	18	115	"high"	"8"	"2070"	"rhyolite"	"50"	77662.6838399964	0.860234476193263	0.810936297675102	8.17368409025903	5819.36783026078	1234.55533496524
"39"	"mid"	"LPS"	18	116	"high"	"8"	"2070"	"rhyolite"	"100"	53167.6418033638	1.10590635795046	0.956904275632068	6.79054885638301	3175.74470407626	1574.1787126377
"41"	"mid"	"LPS"	18	117	"high"	"8"	"2070"	"andesite"	"10"	773.286523066153	0.922443147690211	0.793310512929428	8.47458175512461	42367.7744118988	-98.1748238282515
"43"	"mid"	"LPS"	18	118	"high"	"8"	"2070"	"andesite"	"20"	545.781641749057	1.06585363294836	0.922491112351418	8.74695429801941	18532.7601714548	-97.0550439508212
"45"	"mid"	"LPS"	18	119	"high"	"8"	"2070"	"andesite"	"50"	54417.5222531688	1.32443584164455	1.20759784482084	8.83114016157086	14164.54160091	284.181315473511
"47"	"mid"	"LPS"	18	12	"med"	"0"	"hist"	"rhyolite"	"100"	217.78750037975	0.688928072542102	0.539993978744628	7.02719078063965	6152.94256178471	-96.4604333911322
"49"	"mid"	"LPS"	18	120	"high"	"8"	"2070"	"andesite"	"100"	40574.531005859	1.50761117095103	1.26035239330129	8.11309074044637	5496.86018884617	638.140131127765
"51"	"mid"	"LPS"	18	13	"med"	"0"	"hist"	"andesite"	"10"	472.522904825283	0.847057984295723	0.656125755413719	7.10040085656302	42393.7716735993	-98.8853954574664
"53"	"mid"	"LPS"	18	14	"med"	"0"	"hist"	"andesite"	"20"	423.306330652435	0.812076798346646	0.701792335238408	7.3709511075701	14098.4682671326	-96.9975012701254
"55"	"mid"	"LPS"	18	15	"med"	"0"	"hist"	"andesite"	"50"	721.519063888425	1.05301907507817	0.913741795659065	9.28800948460897	25936.749770293	-97.2181592902792
"57"	"mid"	"LPS"	18	16	"med"	"0"	"hist"	"andesite"	"100"	519.583872767589	1.09934103313387	0.9246515962538	8.48846944173177	7190.62393617049	-92.7741475930348
"59"	"mid"	"LPS"	18	17	"high"	"0"	"hist"	"rhyolite"	"10"	524.107638375698	0.694606610900161	0.600864071209552	6.74226170778275	42829.3911606523	-98.7762897763132
"61"	"mid"	"LPS"	18	18	"high"	"0"	"hist"	"rhyolite"	"20"	566.667804873512	0.725320774227432	0.591420003081728	6.91452467441559	5290.77133888731	-89.2895049024612
"63"	"mid"	"LPS"	18	19	"high"	"0"	"hist"	"rhyolite"	"50"	722.680792006106	0.674962677976521	0.595252574221488	7.79587268829346	31328.5131207955	-97.693217072832
"65"	"mid"	"LPS"	18	2	"low"	"0"	"hist"	"rhyolite"	"20"	143.247200522391	1.06015120790015	0.702047159274419	7.11422246694565	6531.91303260766	-97.8069640577379
"67"	"mid"	"LPS"	18	20	"high"	"0"	"hist"	"rhyolite"	"100"	238.18571778418	1.01633163353736	0.884210066852766	8.75157761573792	8657.08529435549	-97.2486615334669
"69"	"mid"	"LPS"	18	21	"high"	"0"	"hist"	"andesite"	"10"	836.926356290412	0.931012478984533	0.789510956532134	8.19115805625916	42230.204575123	-98.0181806725525
"71"	"mid"	"LPS"	18	22	"high"	"0"	"hist"	"andesite"	"20"	707.948257317894	0.901013141133378	0.782532169295739	7.772398630778	16289.1702688786	-95.6538715868759
"73"	"mid"	"LPS"	18	23	"high"	"0"	"hist"	"andesite"	"50"	697.705513661412	0.987389211198624	0.837688279757462	8.87208560796884	21050.3671217809	-96.6855423013526
"75"	"mid"	"LPS"	18	24	"high"	"0"	"hist"	"andesite"	"100"	920.07005871212	0.891156780376117	0.761456206538002	8.21980711817741	6408.88908652265	-85.6438448802781
"77"	"mid"	"LPS"	18	25	"low"	"4.5"	"2030"	"rhyolite"	"10"	190.492796260577	0.756462056801751	0.598708300922926	6.60889911651611	43192.4074230498	-99.5589669397337
"79"	"mid"	"LPS"	18	26	"low"	"4.5"	"2030"	"rhyolite"	"20"	213.743940658223	0.934043063443876	0.749177641005485	7.33482162157695	6206.20731722295	-96.5559651856125
"81"	"mid"	"LPS"	18	27	"low"	"4.5"	"2030"	"rhyolite"	"50"	36291.2829498366	0.649569479815381	0.616904219568666	8.21603372113017	30504.3253005026	18.9709413085714
"83"	"mid"	"LPS"	18	28	"low"	"4.5"	"2030"	"rhyolite"	"100"	29809.9072526468	0.737913098313264	0.70076090160725	7.6661919584522	6404.38293666368	365.461037346653
"85"	"mid"	"LPS"	18	29	"low"	"4.5"	"2030"	"andesite"	"10"	188.572825998324	1.33124264720246	1.11017689378338	9.44757566452026	42745.4883535252	-99.5588474169748
"87"	"mid"	"LPS"	18	3	"low"	"0"	"hist"	"rhyolite"	"50"	220.253477855523	0.556897422796694	0.365912848385051	6.37520095280239	34643.8133108458	-99.3642343125473
"89"	"mid"	"LPS"	18	30	"low"	"4.5"	"2030"	"andesite"	"20"	354.078480199475	0.996115386331174	0.779080729517672	8.46381087303162	5651.50346374401	-93.7347914148688
"91"	"mid"	"LPS"	18	31	"low"	"4.5"	"2030"	"andesite"	"50"	37852.7687956818	1.18366710104318	1.1388316277235	9.88701103707795	36111.7826420788	4.82110277096742
"93"	"mid"	"LPS"	18	32	"low"	"4.5"	"2030"	"andesite"	"100"	306.234262057041	0.968476657374309	0.739035877342127	7.1265475099737	7119.16864703695	-95.6984547320072
