"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	50	56.9655172413793	18
"2"	5	50	56.9655172413793	18
"3"	9	38	47.6551724137931	18
"4"	13	38	47.6551724137931	18
"5"	17	32.3333333333333	38.1379310344828	18
"6"	21	32.3333333333333	38.1379310344828	18
"7"	25	37.6666666666667	37.2413793103448	18
"8"	29	37.6666666666667	37.2413793103448	18
"9"	33	28	29.2068965517241	18
"10"	37	28	29.2068965517241	18
"11"	41	25.6666666666667	24.5862068965517	18
"12"	45	25.6666666666667	24.5862068965517	18
"13"	49	32.3333333333333	34.6551724137931	18
"14"	53	32.3333333333333	34.6551724137931	18
"15"	57	25.6666666666667	28.5172413793103	18
"16"	61	25.6666666666667	28.5172413793103	18
"17"	65	20.3333333333333	24.8965517241379	18
"18"	69	20.3333333333333	24.8965517241379	18
"19"	73	32.3333333333333	31.7241379310345	18
"20"	77	32.3333333333333	31.7241379310345	18
"21"	81	27.3333333333333	24	18
"22"	85	27.3333333333333	24	18
"23"	89	23	20.4827586206897	18
"24"	93	23	20.4827586206897	18
"25"	97	25.3333333333333	25.1034482758621	18
"26"	101	25.3333333333333	25.1034482758621	18
"27"	105	15.6666666666667	20.1379310344828	18
"28"	109	15.6666666666667	20.1379310344828	18
"29"	113	12.3333333333333	15.6206896551724	18
"30"	117	12.3333333333333	15.6206896551724	18
"31"	2	60.3333333333333	56.3793103448276	18
"32"	6	60.3333333333333	56.3793103448276	18
"33"	10	53.3333333333333	49.3448275862069	18
"34"	14	53.3333333333333	49.3448275862069	18
"35"	18	40.3333333333333	39.1724137931034	18
"36"	22	40.3333333333333	39.1724137931034	18
"37"	26	37.6666666666667	39.3448275862069	18
"38"	30	37.6666666666667	39.3448275862069	18
"39"	34	31.3333333333333	31.6896551724138	18
"40"	38	31.3333333333333	31.6896551724138	18
"41"	42	28.3333333333333	26.3448275862069	18
"42"	46	28.3333333333333	26.3448275862069	18
"43"	50	30.6666666666667	34.551724137931	18
"44"	54	30.6666666666667	34.551724137931	18
"45"	58	24.6666666666667	27.3448275862069	18
"46"	62	24.6666666666667	27.3448275862069	18
"47"	66	21.3333333333333	23.448275862069	18
"48"	70	21.3333333333333	23.448275862069	18
"49"	74	31	31	18
"50"	78	31	31	18
"51"	82	26.6666666666667	23.6896551724138	18
"52"	86	26.6666666666667	23.6896551724138	18
"53"	90	23	20.8275862068966	18
"54"	94	23	20.8275862068966	18
"55"	98	23.6666666666667	22.0344827586207	18
"56"	102	23.6666666666667	22.0344827586207	18
"57"	106	17.6666666666667	17.9310344827586	18
"58"	110	17.6666666666667	17.9310344827586	18
"59"	114	11.6666666666667	13.8965517241379	18
"60"	118	11.6666666666667	13.8965517241379	18
"61"	3	58.6666666666667	55.2068965517241	18
"62"	7	58.6666666666667	55.2068965517241	18
"63"	11	45.3333333333333	45.7435897435897	18
"64"	15	45.3333333333333	45.5853658536585	18
"65"	19	40	37.1379310344828	18
"66"	23	40	37.1379310344828	18
"67"	27	32.6666666666667	39.974358974359	18
"68"	31	32.6666666666667	39.5609756097561	18
"69"	35	27.6666666666667	32.375	18
"70"	39	27.6666666666667	32.7857142857143	18
"71"	43	21.6666666666667	27.825	18
"72"	47	21.6666666666667	28.1428571428571	18
"73"	51	39	34.7692307692308	18
"74"	55	39	35.0487804878049	18
"75"	59	34.6666666666667	28.375	18
"76"	63	34.6666666666667	28.8333333333333	18
"77"	67	31.6666666666667	25.325	18
"78"	71	31.6666666666667	25.7380952380952	18
"79"	75	38.6666666666667	34.3846153846154	18
"80"	79	38.6666666666667	34.9756097560976	18
"81"	83	22.3333333333333	25.15	18
"82"	87	22.3333333333333	25.2857142857143	18
"83"	91	19	22.3846153846154	18
"84"	95	19	22.2619047619048	18
"85"	99	23.6666666666667	25.4358974358974	18
"86"	103	23.6666666666667	25.4634146341463	18
"87"	107	19.6666666666667	20.55	18
"88"	111	19.6666666666667	20.3333333333333	18
"89"	115	14.6666666666667	16.475	18
"90"	119	14.6666666666667	16.3333333333333	18
"91"	4	47.6666666666667	54.0689655172414	18
"92"	8	47.6666666666667	54.0689655172414	18
"93"	12	35.6666666666667	43.6153846153846	18
"94"	16	35.6666666666667	43.6428571428571	18
"95"	20	28.6666666666667	36.4358974358974	18
"96"	24	28.6666666666667	36.4146341463415	18
"97"	28	45.6666666666667	39.6410256410256	18
"98"	32	45.6666666666667	39.780487804878	18
"99"	36	33.6666666666667	31.1282051282051	18
"100"	40	33.6666666666667	30.6904761904762	18
"101"	44	25	25.975	18
"102"	48	25	25.8571428571429	18
"103"	52	35.3333333333333	35.5172413793103	18
"104"	56	35.3333333333333	35.5172413793103	18
"105"	60	25	27.425	18
"106"	64	25	28.0238095238095	18
"107"	68	19	24.775	18
"108"	72	19	25.1666666666667	18
"109"	76	25.3333333333333	35.2631578947368	18
"110"	80	25.3333333333333	34.6585365853659	18
"111"	84	19	23.6153846153846	18
"112"	88	19	23.7857142857143	18
"113"	92	14.3333333333333	19.8717948717949	18
"114"	96	14.3333333333333	20.0714285714286	18
"115"	100	31	22.6578947368421	18
"116"	104	31	22.3170731707317	18
"117"	108	25.6666666666667	19.1794871794872	18
"118"	112	25.6666666666667	18.8780487804878	18
"119"	116	21	15.775	18
"120"	120	21	15.8571428571429	18
