"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"short"	"LPS"	9	1	"low"	"0"	"hist"	"rhyolite"	"10"	1065.79117369995	1.44360795753091	1.0769306968967	6.15227339794109	42715.4946459146	-97.5049073350673
"3"	"short"	"LPS"	9	10	"med"	"0"	"hist"	"rhyolite"	"20"	1420.42625097423	1.55416814164123	0.947541014477611	7.33027505874634	6145.9449286506	-76.8883993028865
"5"	"short"	"LPS"	9	100	"low"	"8"	"2070"	"rhyolite"	"100"	53450.056160091	0.97351517040774	0.877165404996673	6.43861289120957	8342.70057202997	540.680505054797
"7"	"short"	"LPS"	9	101	"low"	"8"	"2070"	"andesite"	"10"	902.010871648621	2.33799368358962	1.27748234095899	7.78491608626178	42277.8525656273	-97.8664695179386
"9"	"short"	"LPS"	9	102	"low"	"8"	"2070"	"andesite"	"20"	1249.24051310855	1.6629809275012	0.940881764538497	6.76072388618223	5326.04841583406	-76.5447022713008
"11"	"short"	"LPS"	9	103	"low"	"8"	"2070"	"andesite"	"50"	44223.8676804156	1.02658232789658	0.959118392223629	8.76937013149261	43028.6168376183	2.77780447209828
"13"	"short"	"LPS"	9	104	"low"	"8"	"2070"	"andesite"	"100"	51379.1726142685	1.08438665240257	0.949163237337452	7.7207686799511	10161.3514327139	405.633261033135
"15"	"short"	"LPS"	9	105	"med"	"8"	"2070"	"rhyolite"	"10"	1339.54225304384	1.61065526842887	1.05556654227958	6.6462793457777	42849.0575574164	-96.8738116322654
"17"	"short"	"LPS"	9	106	"med"	"8"	"2070"	"rhyolite"	"20"	1397.02025321716	1.5143593598196	1.00412011478746	6.89514953045806	5598.30314105358	-75.045648332751
"19"	"short"	"LPS"	9	107	"med"	"8"	"2070"	"rhyolite"	"50"	49139.7821190586	0.940025066125701	0.885707535016634	7.76496434930724	15599.132702554	215.016116960228
"21"	"short"	"LPS"	9	108	"med"	"8"	"2070"	"rhyolite"	"100"	48047.2517158319	1.17649939186187	1.01237611376604	6.87097377728608	3517.38415329166	1265.99386424335
"23"	"short"	"LPS"	9	109	"med"	"8"	"2070"	"andesite"	"10"	1136.67356433451	2.54974892266592	1.42410609346123	8.30307623776056	43872.5837499573	-97.4091483400824
"25"	"short"	"LPS"	9	11	"med"	"0"	"hist"	"rhyolite"	"50"	43689.7575115096	1.02217488729957	0.966690367845769	7.83384391056328	16917.7795407063	158.247587435376
"27"	"short"	"LPS"	9	110	"med"	"8"	"2070"	"andesite"	"20"	1384.64378047794	2.0384132208658	1.17773195277491	7.83548035967949	8897.85580614933	-84.4384556162282
"29"	"short"	"LPS"	9	111	"med"	"8"	"2070"	"andesite"	"50"	46676.2541112022	1.24121075488137	1.14092235304983	9.62115229561379	22972.0262283994	103.187362086058
"31"	"short"	"LPS"	9	112	"med"	"8"	"2070"	"andesite"	"100"	40575.488153096	1.4494084577715	1.21345951914099	7.92716454308077	8015.46593380645	406.214966019165
"33"	"short"	"LPS"	9	113	"high"	"8"	"2070"	"rhyolite"	"10"	1630.01502302157	1.62770500255079	1.06941746118221	7.61630292590574	42884.2072626134	-96.1990319349039
"35"	"short"	"LPS"	9	114	"high"	"8"	"2070"	"rhyolite"	"20"	1742.93057556386	1.55010879909238	0.992265255619732	7.14595239675498	5263.56682636857	-66.8868918537823
"37"	"short"	"LPS"	9	115	"high"	"8"	"2070"	"rhyolite"	"50"	62496.1942658706	0.909207651655097	0.853558671434639	8.19079385826024	9176.05983861844	581.078756732259
"39"	"short"	"LPS"	9	116	"high"	"8"	"2070"	"rhyolite"	"100"	39415.260045049	1.33109950408111	1.08900016304845	7.04928029017962	3400.72017505465	1059.02685361096
"41"	"short"	"LPS"	9	117	"high"	"8"	"2070"	"andesite"	"10"	1609.41426452587	2.19306997757148	1.31594648753901	8.48170819621401	42646.034539578	-96.2261103947842
"43"	"short"	"LPS"	9	118	"high"	"8"	"2070"	"andesite"	"20"	1760.62629161617	2.12128093090926	1.16356367108391	8.13125866109675	20838.9126523303	-91.5512564355449
"45"	"short"	"LPS"	9	119	"high"	"8"	"2070"	"andesite"	"50"	52233.2243446776	1.33934454385568	1.21796410853022	9.90302097073484	17263.303959785	202.567946821508
"47"	"short"	"LPS"	9	12	"med"	"0"	"hist"	"rhyolite"	"100"	44041.5171953244	1.30514465576067	1.13030666853965	6.56825173957803	6424.27905087809	585.548010080675
