id	x	y	model.climate.tableName	model.site.availableNitrogen	model.site.soilDepth	model.site.pctSand	model.site.pctSilt	model.site.pctClay
1	0	0	low_hist	45	95	62	30	8
2	1	0	low_hist	45	95	62	30	8
3	2	0	low_hist	45	95	62	30	8
4	3	0	low_hist	45	95	62	30	8
5	4	0	low_hist	60	95	51	37	12
6	5	0	low_hist	60	95	51	37	12
7	6	0	low_hist	60	95	51	37	12
8	7	0	low_hist	60	95	51	37	12
9	8	0	med_hist	45	95	62	30	8
10	9	0	med_hist	45	95	62	30	8
11	0	1	med_hist	45	95	62	30	8
12	1	1	med_hist	45	95	62	30	8
13	2	1	med_hist	60	95	51	37	12
14	3	1	med_hist	60	95	51	37	12
15	4	1	med_hist	60	95	51	37	12
16	5	1	med_hist	60	95	51	37	12
17	6	1	high_hist	45	95	62	30	8
18	7	1	high_hist	45	95	62	30	8
19	8	1	high_hist	45	95	62	30	8
20	9	1	high_hist	45	95	62	30	8
21	0	2	high_hist	60	95	51	37	12
22	1	2	high_hist	60	95	51	37	12
23	2	2	high_hist	60	95	51	37	12
24	3	2	high_hist	60	95	51	37	12
25	4	2	low_rcp_45_2030	45	95	62	30	8
26	5	2	low_rcp_45_2030	45	95	62	30	8
27	6	2	low_rcp_45_2030	45	95	62	30	8
28	7	2	low_rcp_45_2030	45	95	62	30	8
29	8	2	low_rcp_45_2030	60	95	51	37	12
30	9	2	low_rcp_45_2030	60	95	51	37	12
31	0	3	low_rcp_45_2030	60	95	51	37	12
32	1	3	low_rcp_45_2030	60	95	51	37	12
33	2	3	mid_rcp_45_2030	45	95	62	30	8
34	3	3	mid_rcp_45_2030	45	95	62	30	8
35	4	3	mid_rcp_45_2030	45	95	62	30	8
36	5	3	mid_rcp_45_2030	45	95	62	30	8
37	6	3	mid_rcp_45_2030	60	95	51	37	12
38	7	3	mid_rcp_45_2030	60	95	51	37	12
39	8	3	mid_rcp_45_2030	60	95	51	37	12
40	9	3	mid_rcp_45_2030	60	95	51	37	12
41	0	4	high_rcp_45_2030	45	95	62	30	8
42	1	4	high_rcp_45_2030	45	95	62	30	8
43	2	4	high_rcp_45_2030	45	95	62	30	8
44	3	4	high_rcp_45_2030	45	95	62	30	8
45	4	4	high_rcp_45_2030	60	95	51	37	12
46	5	4	high_rcp_45_2030	60	95	51	37	12
47	6	4	high_rcp_45_2030	60	95	51	37	12
48	7	4	high_rcp_45_2030	60	95	51	37	12
49	8	4	low_rcp_8_2030	45	95	62	30	8
50	9	4	low_rcp_8_2030	45	95	62	30	8
51	0	5	low_rcp_8_2030	45	95	62	30	8
52	1	5	low_rcp_8_2030	45	95	62	30	8
53	2	5	low_rcp_8_2030	60	95	51	37	12
54	3	5	low_rcp_8_2030	60	95	51	37	12
55	4	5	low_rcp_8_2030	60	95	51	37	12
56	5	5	low_rcp_8_2030	60	95	51	37	12
57	6	5	mid_rcp_8_2030	45	95	62	30	8
58	7	5	mid_rcp_8_2030	45	95	62	30	8
59	8	5	mid_rcp_8_2030	45	95	62	30	8
60	9	5	mid_rcp_8_2030	45	95	62	30	8
61	0	6	mid_rcp_8_2030	60	95	51	37	12
62	1	6	mid_rcp_8_2030	60	95	51	37	12
63	2	6	mid_rcp_8_2030	60	95	51	37	12
64	3	6	mid_rcp_8_2030	60	95	51	37	12
65	4	6	high_rcp_8_2030	45	95	62	30	8
66	5	6	high_rcp_8_2030	45	95	62	30	8
67	6	6	high_rcp_8_2030	45	95	62	30	8
68	7	6	high_rcp_8_2030	45	95	62	30	8
69	8	6	high_rcp_8_2030	60	95	51	37	12
70	9	6	high_rcp_8_2030	60	95	51	37	12
71	0	7	high_rcp_8_2030	60	95	51	37	12
72	1	7	high_rcp_8_2030	60	95	51	37	12
73	2	7	low_rcp_45_2070	45	95	62	30	8
74	3	7	low_rcp_45_2070	45	95	62	30	8
75	4	7	low_rcp_45_2070	45	95	62	30	8
76	5	7	low_rcp_45_2070	45	95	62	30	8
77	6	7	low_rcp_45_2070	60	95	51	37	12
78	7	7	low_rcp_45_2070	60	95	51	37	12
79	8	7	low_rcp_45_2070	60	95	51	37	12
80	9	7	low_rcp_45_2070	60	95	51	37	12
81	0	8	mid_rcp_45_2070	45	95	62	30	8
82	1	8	mid_rcp_45_2070	45	95	62	30	8
83	2	8	mid_rcp_45_2070	45	95	62	30	8
84	3	8	mid_rcp_45_2070	45	95	62	30	8
85	4	8	mid_rcp_45_2070	60	95	51	37	12
86	5	8	mid_rcp_45_2070	60	95	51	37	12
87	6	8	mid_rcp_45_2070	60	95	51	37	12
88	7	8	mid_rcp_45_2070	60	95	51	37	12
89	8	8	high_rcp_45_2070	45	95	62	30	8
90	9	8	high_rcp_45_2070	45	95	62	30	8
91	0	9	high_rcp_45_2070	45	95	62	30	8
92	1	9	high_rcp_45_2070	45	95	62	30	8
93	2	9	high_rcp_45_2070	60	95	51	37	12
94	3	9	high_rcp_45_2070	60	95	51	37	12
95	4	9	high_rcp_45_2070	60	95	51	37	12
96	5	9	high_rcp_45_2070	60	95	51	37	12
97	6	9	low_rcp_8_2070	45	95	62	30	8
98	7	9	low_rcp_8_2070	45	95	62	30	8
99	8	9	low_rcp_8_2070	45	95	62	30	8
100	9	9	low_rcp_8_2070	45	95	62	30	8
101	0	10	low_rcp_8_2070	60	95	51	37	12
102	1	10	low_rcp_8_2070	60	95	51	37	12
103	2	10	low_rcp_8_2070	60	95	51	37	12
104	3	10	low_rcp_8_2070	60	95	51	37	12
105	4	10	mid_rcp_8_2070	45	95	62	30	8
