"stand_id";"species";"count";"dbh_from";"dbh_to";"hd";"age"
1;"Pico";0;0;0;0;22
2;"Pico";0;0;0;0;22
3;"Pico";0;0;0;0;22
4;"Pico";0;0;0;0;22
5;"Pico";0;0;0;0;22
6;"Pico";0;0;0;0;22
7;"Pico";0;0;0;0;22
8;"Pico";0;0;0;0;22
9;"Pico";0;0;0;0;22
10;"Pico";0;0;0;0;22
11;"Pico";0;0;0;0;22
12;"Pico";0;0;0;0;22
13;"Pico";0;0;0;0;22
14;"Pico";0;0;0;0;22
15;"Pico";0;0;0;0;22
16;"Pico";0;0;0;0;22
17;"Pico";0;0;0;0;22
18;"Pico";0;0;0;0;22
19;"Pico";0;0;0;0;22
20;"Pico";0;0;0;0;22
21;"Pico";0;0;0;0;22
22;"Pico";0;0;0;0;22
23;"Pico";0;0;0;0;22
24;"Pico";0;0;0;0;22
25;"Pico";0;0;0;0;22
26;"Pico";0;0;0;0;22
27;"Pico";0;0;0;0;22
28;"Pico";0;0;0;0;22
29;"Pico";0;0;0;0;22
30;"Pico";0;0;0;0;22
31;"Pico";0;0;0;0;22
32;"Pico";0;0;0;0;22
33;"Pico";0;0;0;0;22
34;"Pico";0;0;0;0;22
35;"Pico";0;0;0;0;22
36;"Pico";0;0;0;0;22
37;"Pico";0;0;0;0;22
38;"Pico";0;0;0;0;22
39;"Pico";0;0;0;0;22
40;"Pico";0;0;0;0;22
41;"Pico";0;0;0;0;22
42;"Pico";0;0;0;0;22
43;"Pico";0;0;0;0;22
44;"Pico";0;0;0;0;22
45;"Pico";0;0;0;0;22
46;"Pico";0;0;0;0;22
47;"Pico";0;0;0;0;22
48;"Pico";0;0;0;0;22
49;"Pico";0;0;0;0;22
50;"Pico";0;0;0;0;22
51;"Pico";0;0;0;0;22
52;"Pico";0;0;0;0;22
53;"Pico";0;0;0;0;22
54;"Pico";0;0;0;0;22
55;"Pico";0;0;0;0;22
56;"Pico";0;0;0;0;22
57;"Pico";0;0;0;0;22
58;"Pico";0;0;0;0;22
59;"Pico";0;0;0;0;22
60;"Pico";0;0;0;0;22
61;"Pico";0;0;0;0;22
62;"Pico";0;0;0;0;22
63;"Pico";0;0;0;0;22
64;"Pico";0;0;0;0;22
65;"Pico";0;0;0;0;22
66;"Pico";0;0;0;0;22
67;"Pico";0;0;0;0;22
68;"Pico";0;0;0;0;22
69;"Pico";0;0;0;0;22
70;"Pico";0;0;0;0;22
71;"Pico";0;0;0;0;22
72;"Pico";0;0;0;0;22
73;"Pico";0;0;0;0;22
74;"Pico";0;0;0;0;22
75;"Pico";0;0;0;0;22
76;"Pico";0;0;0;0;22
77;"Pico";0;0;0;0;22
78;"Pico";0;0;0;0;22
79;"Pico";0;0;0;0;22
80;"Pico";0;0;0;0;22
81;"Pico";0;0;0;0;22
82;"Pico";0;0;0;0;22
83;"Pico";0;0;0;0;22
84;"Pico";0;0;0;0;22
85;"Pico";0;0;0;0;22
86;"Pico";0;0;0;0;22
87;"Pico";0;0;0;0;22
88;"Pico";0;0;0;0;22
89;"Pico";0;0;0;0;22
90;"Pico";0;0;0;0;22
91;"Pico";0;0;0;0;22
92;"Pico";0;0;0;0;22
93;"Pico";0;0;0;0;22
94;"Pico";0;0;0;0;22
95;"Pico";0;0;0;0;22
96;"Pico";0;0;0;0;22
97;"Pico";0;0;0;0;22
98;"Pico";0;0;0;0;22
99;"Pico";0;0;0;0;22
100;"Pico";0;0;0;0;22
101;"Pico";0;0;0;0;22
102;"Pico";0;0;0;0;22
103;"Pico";0;0;0;0;22
104;"Pico";0;0;0;0;22
105;"Pico";0;0;0;0;22
106;"Pico";0;0;0;0;22
107;"Pico";0;0;0;0;22
108;"Pico";0;0;0;0;22
109;"Pico";0;0;0;0;22
110;"Pico";0;0;0;0;22
111;"Pico";0;0;0;0;22
112;"Pico";0;0;0;0;22
113;"Pico";0;0;0;0;22
114;"Pico";0;0;0;0;22
115;"Pico";0;0;0;0;22
116;"Pico";0;0;0;0;22
117;"Pico";0;0;0;0;22
118;"Pico";0;0;0;0;22
119;"Pico";0;0;0;0;22
120;"Pico";0;0;0;0;22
