"stand_id";"species";"count";"height_from";"height_to";"age"
1;"Psme";55;0.229184;0.429184;6
1;"Psme";55;0.018872;0.218872;4
1;"Psme";55;0.469976;0.669976;10
1;"Psme";55;1.228928;1.428928;13
1;"Psme";55;1.018616;1.218616;12
1;"Psme";55;0.149936;0.349936;7
1;"Psme";55;1.158824;1.358824;11
1;"Psme";55;2.061032;2.261032;14
1;"Psme";55;0.518744;0.718744;12
1;"Psme";55;0.430352;0.630352;11
2;"Psme";55;0.229184;0.429184;6
2;"Psme";55;0.018872;0.218872;4
2;"Psme";55;0.469976;0.669976;10
2;"Psme";55;1.228928;1.428928;13
2;"Psme";55;1.018616;1.218616;12
2;"Psme";55;0.149936;0.349936;7
2;"Psme";55;1.158824;1.358824;11
2;"Psme";55;2.061032;2.261032;14
2;"Psme";55;0.518744;0.718744;12
2;"Psme";55;0.430352;0.630352;11
3;"Psme";55;0.229184;0.429184;6
3;"Psme";55;0.018872;0.218872;4
3;"Psme";55;0.469976;0.669976;10
3;"Psme";55;1.228928;1.428928;13
3;"Psme";55;1.018616;1.218616;12
3;"Psme";55;0.149936;0.349936;7
3;"Psme";55;1.158824;1.358824;11
3;"Psme";55;2.061032;2.261032;14
3;"Psme";55;0.518744;0.718744;12
3;"Psme";55;0.430352;0.630352;11
4;"Psme";55;0.229184;0.429184;6
4;"Psme";55;0.018872;0.218872;4
4;"Psme";55;0.469976;0.669976;10
4;"Psme";55;1.228928;1.428928;13
4;"Psme";55;1.018616;1.218616;12
4;"Psme";55;0.149936;0.349936;7
4;"Psme";55;1.158824;1.358824;11
4;"Psme";55;2.061032;2.261032;14
4;"Psme";55;0.518744;0.718744;12
4;"Psme";55;0.430352;0.630352;11
5;"Psme";55;0.229184;0.429184;6
5;"Psme";55;0.018872;0.218872;4
5;"Psme";55;0.469976;0.669976;10
5;"Psme";55;1.228928;1.428928;13
5;"Psme";55;1.018616;1.218616;12
5;"Psme";55;0.149936;0.349936;7
5;"Psme";55;1.158824;1.358824;11
5;"Psme";55;2.061032;2.261032;14
5;"Psme";55;0.518744;0.718744;12
5;"Psme";55;0.430352;0.630352;11
6;"Psme";55;0.229184;0.429184;6
6;"Psme";55;0.018872;0.218872;4
6;"Psme";55;0.469976;0.669976;10
6;"Psme";55;1.228928;1.428928;13
6;"Psme";55;1.018616;1.218616;12
6;"Psme";55;0.149936;0.349936;7
6;"Psme";55;1.158824;1.358824;11
6;"Psme";55;2.061032;2.261032;14
6;"Psme";55;0.518744;0.718744;12
6;"Psme";55;0.430352;0.630352;11
7;"Psme";55;0.229184;0.429184;6
7;"Psme";55;0.018872;0.218872;4
7;"Psme";55;0.469976;0.669976;10
7;"Psme";55;1.228928;1.428928;13
7;"Psme";55;1.018616;1.218616;12
7;"Psme";55;0.149936;0.349936;7
7;"Psme";55;1.158824;1.358824;11
7;"Psme";55;2.061032;2.261032;14
7;"Psme";55;0.518744;0.718744;12
7;"Psme";55;0.430352;0.630352;11
8;"Psme";55;0.229184;0.429184;6
8;"Psme";55;0.018872;0.218872;4
8;"Psme";55;0.469976;0.669976;10
8;"Psme";55;1.228928;1.428928;13
8;"Psme";55;1.018616;1.218616;12
8;"Psme";55;0.149936;0.349936;7
8;"Psme";55;1.158824;1.358824;11
8;"Psme";55;2.061032;2.261032;14
8;"Psme";55;0.518744;0.718744;12
8;"Psme";55;0.430352;0.630352;11
9;"Psme";55;0.229184;0.429184;6
9;"Psme";55;0.018872;0.218872;4
9;"Psme";55;0.469976;0.669976;10
9;"Psme";55;1.228928;1.428928;13
9;"Psme";55;1.018616;1.218616;12
9;"Psme";55;0.149936;0.349936;7
9;"Psme";55;1.158824;1.358824;11
9;"Psme";55;2.061032;2.261032;14
9;"Psme";55;0.518744;0.718744;12
9;"Psme";55;0.430352;0.630352;11
10;"Psme";55;0.229184;0.429184;6
10;"Psme";55;0.018872;0.218872;4
10;"Psme";55;0.469976;0.669976;10
10;"Psme";55;1.228928;1.428928;13
10;"Psme";55;1.018616;1.218616;12
10;"Psme";55;0.149936;0.349936;7
10;"Psme";55;1.158824;1.358824;11
10;"Psme";55;2.061032;2.261032;14
10;"Psme";55;0.518744;0.718744;12
10;"Psme";55;0.430352;0.630352;11
11;"Psme";55;0.229184;0.429184;6
11;"Psme";55;0.018872;0.218872;4
11;"Psme";55;0.469976;0.669976;10
11;"Psme";55;1.228928;1.428928;13
11;"Psme";55;1.018616;1.218616;12
11;"Psme";55;0.149936;0.349936;7
11;"Psme";55;1.158824;1.358824;11
11;"Psme";55;2.061032;2.261032;14
11;"Psme";55;0.518744;0.718744;12
11;"Psme";55;0.430352;0.630352;11
12;"Psme";55;0.229184;0.429184;6
12;"Psme";55;0.018872;0.218872;4
12;"Psme";55;0.469976;0.669976;10
12;"Psme";55;1.228928;1.428928;13
12;"Psme";55;1.018616;1.218616;12
12;"Psme";55;0.149936;0.349936;7
12;"Psme";55;1.158824;1.358824;11
12;"Psme";55;2.061032;2.261032;14
12;"Psme";55;0.518744;0.718744;12
12;"Psme";55;0.430352;0.630352;11
13;"Psme";55;0.229184;0.429184;6
13;"Psme";55;0.018872;0.218872;4
13;"Psme";55;0.469976;0.669976;10
13;"Psme";55;1.228928;1.428928;13
13;"Psme";55;1.018616;1.218616;12
13;"Psme";55;0.149936;0.349936;7
13;"Psme";55;1.158824;1.358824;11
13;"Psme";55;2.061032;2.261032;14
13;"Psme";55;0.518744;0.718744;12
13;"Psme";55;0.430352;0.630352;11
14;"Psme";55;0.229184;0.429184;6
14;"Psme";55;0.018872;0.218872;4
14;"Psme";55;0.469976;0.669976;10
14;"Psme";55;1.228928;1.428928;13
14;"Psme";55;1.018616;1.218616;12
14;"Psme";55;0.149936;0.349936;7
14;"Psme";55;1.158824;1.358824;11
14;"Psme";55;2.061032;2.261032;14
14;"Psme";55;0.518744;0.718744;12
14;"Psme";55;0.430352;0.630352;11
15;"Psme";55;0.229184;0.429184;6
15;"Psme";55;0.018872;0.218872;4
15;"Psme";55;0.469976;0.669976;10
15;"Psme";55;1.228928;1.428928;13
15;"Psme";55;1.018616;1.218616;12
15;"Psme";55;0.149936;0.349936;7
15;"Psme";55;1.158824;1.358824;11
15;"Psme";55;2.061032;2.261032;14
15;"Psme";55;0.518744;0.718744;12
15;"Psme";55;0.430352;0.630352;11
16;"Psme";55;0.229184;0.429184;6
16;"Psme";55;0.018872;0.218872;4
16;"Psme";55;0.469976;0.669976;10
16;"Psme";55;1.228928;1.428928;13
16;"Psme";55;1.018616;1.218616;12
16;"Psme";55;0.149936;0.349936;7
16;"Psme";55;1.158824;1.358824;11
16;"Psme";55;2.061032;2.261032;14
16;"Psme";55;0.518744;0.718744;12
16;"Psme";55;0.430352;0.630352;11
17;"Psme";55;0.229184;0.429184;6
17;"Psme";55;0.018872;0.218872;4
17;"Psme";55;0.469976;0.669976;10
17;"Psme";55;1.228928;1.428928;13
17;"Psme";55;1.018616;1.218616;12
17;"Psme";55;0.149936;0.349936;7
17;"Psme";55;1.158824;1.358824;11
17;"Psme";55;2.061032;2.261032;14
17;"Psme";55;0.518744;0.718744;12
17;"Psme";55;0.430352;0.630352;11
18;"Psme";55;0.229184;0.429184;6
18;"Psme";55;0.018872;0.218872;4
18;"Psme";55;0.469976;0.669976;10
18;"Psme";55;1.228928;1.428928;13
18;"Psme";55;1.018616;1.218616;12
18;"Psme";55;0.149936;0.349936;7
18;"Psme";55;1.158824;1.358824;11
18;"Psme";55;2.061032;2.261032;14
18;"Psme";55;0.518744;0.718744;12
18;"Psme";55;0.430352;0.630352;11
19;"Psme";55;0.229184;0.429184;6
19;"Psme";55;0.018872;0.218872;4
19;"Psme";55;0.469976;0.669976;10
19;"Psme";55;1.228928;1.428928;13
19;"Psme";55;1.018616;1.218616;12
19;"Psme";55;0.149936;0.349936;7
19;"Psme";55;1.158824;1.358824;11
19;"Psme";55;2.061032;2.261032;14
19;"Psme";55;0.518744;0.718744;12
19;"Psme";55;0.430352;0.630352;11
20;"Psme";55;0.229184;0.429184;6
20;"Psme";55;0.018872;0.218872;4
20;"Psme";55;0.469976;0.669976;10
20;"Psme";55;1.228928;1.428928;13
20;"Psme";55;1.018616;1.218616;12
20;"Psme";55;0.149936;0.349936;7
20;"Psme";55;1.158824;1.358824;11
20;"Psme";55;2.061032;2.261032;14
20;"Psme";55;0.518744;0.718744;12
20;"Psme";55;0.430352;0.630352;11
21;"Psme";55;0.229184;0.429184;6
21;"Psme";55;0.018872;0.218872;4
21;"Psme";55;0.469976;0.669976;10
21;"Psme";55;1.228928;1.428928;13
21;"Psme";55;1.018616;1.218616;12
21;"Psme";55;0.149936;0.349936;7
21;"Psme";55;1.158824;1.358824;11
21;"Psme";55;2.061032;2.261032;14
21;"Psme";55;0.518744;0.718744;12
21;"Psme";55;0.430352;0.630352;11
22;"Psme";55;0.229184;0.429184;6
22;"Psme";55;0.018872;0.218872;4
22;"Psme";55;0.469976;0.669976;10
22;"Psme";55;1.228928;1.428928;13
22;"Psme";55;1.018616;1.218616;12
22;"Psme";55;0.149936;0.349936;7
