"stand_id";"species";"count";"height_from";"height_to";"age"
1;"Pico";24;1.998;2.198;11
1;"Pico";24;0.19;0.39;11
1;"Pico";24;1.423;1.623;11
1;"Pico";24;1.117;1.317;11
1;"Pico";24;1.89;2.09;11
1;"Pico";24;0.89;1.09;11
1;"Pico";24;0.919;1.119;11
1;"Pico";24;0.962;1.162;11
1;"Pico";24;0.82;1.02;11
1;"Pico";24;0.581;0.781;11
1;"Pico";24;0.5;0.7;11
1;"Pico";24;1.965;2.165;11
1;"Pico";24;0.456;0.656;11
1;"Pico";24;1.028;1.228;11
1;"Pico";24;1.086;1.286;11
1;"Pico";24;1.248;1.448;11
1;"Pico";24;1.272;1.472;11
1;"Pico";24;0.835;1.035;11
1;"Pico";24;0.637;0.837;11
1;"Pico";24;0.728;0.928;11
1;"Pico";24;0.845;1.045;11
1;"Pico";24;0.162;0.362;11
1;"Pico";24;1.605;1.805;11
1;"Pico";24;0.573;0.773;11
1;"Pico";24;0.319;0.519;11
2;"Pico";24;1.998;2.198;11
2;"Pico";24;0.19;0.39;11
2;"Pico";24;1.423;1.623;11
2;"Pico";24;1.117;1.317;11
2;"Pico";24;1.89;2.09;11
2;"Pico";24;0.89;1.09;11
2;"Pico";24;0.919;1.119;11
2;"Pico";24;0.962;1.162;11
2;"Pico";24;0.82;1.02;11
2;"Pico";24;0.581;0.781;11
2;"Pico";24;0.5;0.7;11
2;"Pico";24;1.965;2.165;11
2;"Pico";24;0.456;0.656;11
2;"Pico";24;1.028;1.228;11
2;"Pico";24;1.086;1.286;11
2;"Pico";24;1.248;1.448;11
2;"Pico";24;1.272;1.472;11
2;"Pico";24;0.835;1.035;11
2;"Pico";24;0.637;0.837;11
2;"Pico";24;0.728;0.928;11
2;"Pico";24;0.845;1.045;11
2;"Pico";24;0.162;0.362;11
2;"Pico";24;1.605;1.805;11
2;"Pico";24;0.573;0.773;11
2;"Pico";24;0.319;0.519;11
3;"Pico";24;1.998;2.198;11
3;"Pico";24;0.19;0.39;11
3;"Pico";24;1.423;1.623;11
3;"Pico";24;1.117;1.317;11
3;"Pico";24;1.89;2.09;11
3;"Pico";24;0.89;1.09;11
3;"Pico";24;0.919;1.119;11
3;"Pico";24;0.962;1.162;11
3;"Pico";24;0.82;1.02;11
3;"Pico";24;0.581;0.781;11
3;"Pico";24;0.5;0.7;11
3;"Pico";24;1.965;2.165;11
3;"Pico";24;0.456;0.656;11
3;"Pico";24;1.028;1.228;11
3;"Pico";24;1.086;1.286;11
3;"Pico";24;1.248;1.448;11
3;"Pico";24;1.272;1.472;11
3;"Pico";24;0.835;1.035;11
3;"Pico";24;0.637;0.837;11
3;"Pico";24;0.728;0.928;11
3;"Pico";24;0.845;1.045;11
3;"Pico";24;0.162;0.362;11
3;"Pico";24;1.605;1.805;11
3;"Pico";24;0.573;0.773;11
3;"Pico";24;0.319;0.519;11
4;"Pico";24;1.998;2.198;11
4;"Pico";24;0.19;0.39;11
4;"Pico";24;1.423;1.623;11
4;"Pico";24;1.117;1.317;11
4;"Pico";24;1.89;2.09;11
4;"Pico";24;0.89;1.09;11
4;"Pico";24;0.919;1.119;11
4;"Pico";24;0.962;1.162;11
4;"Pico";24;0.82;1.02;11
4;"Pico";24;0.581;0.781;11
4;"Pico";24;0.5;0.7;11
4;"Pico";24;1.965;2.165;11
4;"Pico";24;0.456;0.656;11
4;"Pico";24;1.028;1.228;11
4;"Pico";24;1.086;1.286;11
4;"Pico";24;1.248;1.448;11
4;"Pico";24;1.272;1.472;11
4;"Pico";24;0.835;1.035;11
4;"Pico";24;0.637;0.837;11
4;"Pico";24;0.728;0.928;11
4;"Pico";24;0.845;1.045;11
4;"Pico";24;0.162;0.362;11
4;"Pico";24;1.605;1.805;11
4;"Pico";24;0.573;0.773;11
4;"Pico";24;0.319;0.519;11
5;"Pico";24;1.998;2.198;11
5;"Pico";24;0.19;0.39;11
5;"Pico";24;1.423;1.623;11
5;"Pico";24;1.117;1.317;11
5;"Pico";24;1.89;2.09;11
5;"Pico";24;0.89;1.09;11
5;"Pico";24;0.919;1.119;11
5;"Pico";24;0.962;1.162;11
5;"Pico";24;0.82;1.02;11
5;"Pico";24;0.581;0.781;11
5;"Pico";24;0.5;0.7;11
5;"Pico";24;1.965;2.165;11
5;"Pico";24;0.456;0.656;11
5;"Pico";24;1.028;1.228;11
5;"Pico";24;1.086;1.286;11
5;"Pico";24;1.248;1.448;11
5;"Pico";24;1.272;1.472;11
5;"Pico";24;0.835;1.035;11
5;"Pico";24;0.637;0.837;11
5;"Pico";24;0.728;0.928;11
5;"Pico";24;0.845;1.045;11
5;"Pico";24;0.162;0.362;11
5;"Pico";24;1.605;1.805;11
5;"Pico";24;0.573;0.773;11
5;"Pico";24;0.319;0.519;11
6;"Pico";24;1.998;2.198;11
6;"Pico";24;0.19;0.39;11
6;"Pico";24;1.423;1.623;11
6;"Pico";24;1.117;1.317;11
6;"Pico";24;1.89;2.09;11
6;"Pico";24;0.89;1.09;11
6;"Pico";24;0.919;1.119;11
6;"Pico";24;0.962;1.162;11
6;"Pico";24;0.82;1.02;11
6;"Pico";24;0.581;0.781;11
6;"Pico";24;0.5;0.7;11
6;"Pico";24;1.965;2.165;11
6;"Pico";24;0.456;0.656;11
6;"Pico";24;1.028;1.228;11
6;"Pico";24;1.086;1.286;11
6;"Pico";24;1.248;1.448;11
6;"Pico";24;1.272;1.472;11
6;"Pico";24;0.835;1.035;11
6;"Pico";24;0.637;0.837;11
6;"Pico";24;0.728;0.928;11
6;"Pico";24;0.845;1.045;11
6;"Pico";24;0.162;0.362;11
6;"Pico";24;1.605;1.805;11
6;"Pico";24;0.573;0.773;11
6;"Pico";24;0.319;0.519;11
7;"Pico";24;1.998;2.198;11
7;"Pico";24;0.19;0.39;11
7;"Pico";24;1.423;1.623;11
7;"Pico";24;1.117;1.317;11
7;"Pico";24;1.89;2.09;11
7;"Pico";24;0.89;1.09;11
7;"Pico";24;0.919;1.119;11
7;"Pico";24;0.962;1.162;11
7;"Pico";24;0.82;1.02;11
7;"Pico";24;0.581;0.781;11
7;"Pico";24;0.5;0.7;11
7;"Pico";24;1.965;2.165;11
7;"Pico";24;0.456;0.656;11
7;"Pico";24;1.028;1.228;11
7;"Pico";24;1.086;1.286;11
7;"Pico";24;1.248;1.448;11
7;"Pico";24;1.272;1.472;11
7;"Pico";24;0.835;1.035;11
7;"Pico";24;0.637;0.837;11
7;"Pico";24;0.728;0.928;11
7;"Pico";24;0.845;1.045;11
7;"Pico";24;0.162;0.362;11
7;"Pico";24;1.605;1.805;11
7;"Pico";24;0.573;0.773;11
7;"Pico";24;0.319;0.519;11
8;"Pico";24;1.998;2.198;11
8;"Pico";24;0.19;0.39;11
8;"Pico";24;1.423;1.623;11
8;"Pico";24;1.117;1.317;11
8;"Pico";24;1.89;2.09;11
8;"Pico";24;0.89;1.09;11
8;"Pico";24;0.919;1.119;11
8;"Pico";24;0.962;1.162;11
8;"Pico";24;0.82;1.02;11
8;"Pico";24;0.581;0.781;11
8;"Pico";24;0.5;0.7;11
8;"Pico";24;1.965;2.165;11
8;"Pico";24;0.456;0.656;11
8;"Pico";24;1.028;1.228;11
8;"Pico";24;1.086;1.286;11
8;"Pico";24;1.248;1.448;11
8;"Pico";24;1.272;1.472;11
8;"Pico";24;0.835;1.035;11
8;"Pico";24;0.637;0.837;11
8;"Pico";24;0.728;0.928;11
8;"Pico";24;0.845;1.045;11
8;"Pico";24;0.162;0.362;11
8;"Pico";24;1.605;1.805;11
8;"Pico";24;0.573;0.773;11
8;"Pico";24;0.319;0.519;11
9;"Pico";24;1.998;2.198;11
9;"Pico";24;0.19;0.39;11
9;"Pico";24;1.423;1.623;11
9;"Pico";24;1.117;1.317;11
9;"Pico";24;1.89;2.09;11
9;"Pico";24;0.89;1.09;11
9;"Pico";24;0.919;1.119;11
9;"Pico";24;0.962;1.162;11
9;"Pico";24;0.82;1.02;11
9;"Pico";24;0.581;0.781;11
9;"Pico";24;0.5;0.7;11
9;"Pico";24;1.965;2.165;11
9;"Pico";24;0.456;0.656;11
9;"Pico";24;1.028;1.228;11
9;"Pico";24;1.086;1.286;11
9;"Pico";24;1.248;1.448;11
9;"Pico";24;1.272;1.472;11
9;"Pico";24;0.835;1.035;11
9;"Pico";24;0.637;0.837;11
9;"Pico";24;0.728;0.928;11
9;"Pico";24;0.845;1.045;11
9;"Pico";24;0.162;0.362;11
9;"Pico";24;1.605;1.805;11
9;"Pico";24;0.573;0.773;11
9;"Pico";24;0.319;0.519;11
10;"Pico";24;1.998;2.198;11
10;"Pico";24;0.19;0.39;11
10;"Pico";24;1.423;1.623;11
10;"Pico";24;1.117;1.317;11
10;"Pico";24;1.89;2.09;11
10;"Pico";24;0.89;1.09;11
10;"Pico";24;0.919;1.119;11
10;"Pico";24;0.962;1.162;11
10;"Pico";24;0.82;1.02;11
10;"Pico";24;0.581;0.781;11
10;"Pico";24;0.5;0.7;11
10;"Pico";24;1.965;2.165;11
10;"Pico";24;0.456;0.656;11
10;"Pico";24;1.028;1.228;11
10;"Pico";24;1.086;1.286;11
10;"Pico";24;1.248;1.448;11
10;"Pico";24;1.272;1.472;11
10;"Pico";24;0.835;1.035;11
10;"Pico";24;0.637;0.837;11
10;"Pico";24;0.728;0.928;11
10;"Pico";24;0.845;1.045;11
10;"Pico";24;0.162;0.362;11
10;"Pico";24;1.605;1.805;11
10;"Pico";24;0.573;0.773;11
10;"Pico";24;0.319;0.519;11
11;"Pico";24;1.998;2.198;11
11;"Pico";24;0.19;0.39;11
11;"Pico";24;1.423;1.623;11
11;"Pico";24;1.117;1.317;11
