"stand_id";"species";"count";"height_from";"height_to";"age"
1;"PicS";2880;0.602;0.802;11
1;"PicS";2880;1.049;1.249;11
1;"PicS";2880;0.824;1.024;11
1;"PicS";2880;0.782;0.982;11
1;"PicS";2880;1.007;1.207;11
1;"PicS";2880;1.149;1.349;11
1;"PicS";2880;0.969;1.169;11
1;"PicS";2880;1.221;1.421;11
1;"PicS";2880;0.634;0.834;11
1;"PicS";2880;1.257;1.457;11
1;"PicS";2880;0.871;1.071;11
1;"PicS";2880;1.035;1.235;11
1;"PicS";2880;0.429;0.629;11
1;"PicS";2880;1.07;1.27;11
1;"PicS";2880;0.947;1.147;11
1;"PicS";2880;0.6;0.8;11
1;"PicS";2880;0.604;0.804;11
1;"PicS";2880;0.434;0.634;11
1;"PicS";2880;0.281;0.481;11
1;"PicS";2880;0.676;0.876;11
1;"PicS";2880;0.844;1.044;11
1;"PicS";2880;0.508;0.708;11
1;"PicS";2880;0.705;0.905;11
1;"PicS";2880;0.552;0.752;11
1;"PicS";2880;0.373;0.573;11
2;"PicS";2880;0.602;0.802;11
2;"PicS";2880;1.049;1.249;11
2;"PicS";2880;0.824;1.024;11
2;"PicS";2880;0.782;0.982;11
2;"PicS";2880;1.007;1.207;11
2;"PicS";2880;1.149;1.349;11
2;"PicS";2880;0.969;1.169;11
2;"PicS";2880;1.221;1.421;11
2;"PicS";2880;0.634;0.834;11
2;"PicS";2880;1.257;1.457;11
2;"PicS";2880;0.871;1.071;11
2;"PicS";2880;1.035;1.235;11
2;"PicS";2880;0.429;0.629;11
2;"PicS";2880;1.07;1.27;11
2;"PicS";2880;0.947;1.147;11
2;"PicS";2880;0.6;0.8;11
2;"PicS";2880;0.604;0.804;11
2;"PicS";2880;0.434;0.634;11
2;"PicS";2880;0.281;0.481;11
2;"PicS";2880;0.676;0.876;11
2;"PicS";2880;0.844;1.044;11
2;"PicS";2880;0.508;0.708;11
2;"PicS";2880;0.705;0.905;11
2;"PicS";2880;0.552;0.752;11
2;"PicS";2880;0.373;0.573;11
3;"PicS";2880;0.602;0.802;11
3;"PicS";2880;1.049;1.249;11
3;"PicS";2880;0.824;1.024;11
3;"PicS";2880;0.782;0.982;11
3;"PicS";2880;1.007;1.207;11
3;"PicS";2880;1.149;1.349;11
3;"PicS";2880;0.969;1.169;11
3;"PicS";2880;1.221;1.421;11
3;"PicS";2880;0.634;0.834;11
3;"PicS";2880;1.257;1.457;11
3;"PicS";2880;0.871;1.071;11
3;"PicS";2880;1.035;1.235;11
3;"PicS";2880;0.429;0.629;11
3;"PicS";2880;1.07;1.27;11
3;"PicS";2880;0.947;1.147;11
3;"PicS";2880;0.6;0.8;11
3;"PicS";2880;0.604;0.804;11
3;"PicS";2880;0.434;0.634;11
3;"PicS";2880;0.281;0.481;11
3;"PicS";2880;0.676;0.876;11
3;"PicS";2880;0.844;1.044;11
3;"PicS";2880;0.508;0.708;11
3;"PicS";2880;0.705;0.905;11
3;"PicS";2880;0.552;0.752;11
3;"PicS";2880;0.373;0.573;11
4;"PicS";2880;0.602;0.802;11
4;"PicS";2880;1.049;1.249;11
4;"PicS";2880;0.824;1.024;11
4;"PicS";2880;0.782;0.982;11
4;"PicS";2880;1.007;1.207;11
4;"PicS";2880;1.149;1.349;11
4;"PicS";2880;0.969;1.169;11
4;"PicS";2880;1.221;1.421;11
4;"PicS";2880;0.634;0.834;11
4;"PicS";2880;1.257;1.457;11
4;"PicS";2880;0.871;1.071;11
4;"PicS";2880;1.035;1.235;11
4;"PicS";2880;0.429;0.629;11
4;"PicS";2880;1.07;1.27;11
4;"PicS";2880;0.947;1.147;11
4;"PicS";2880;0.6;0.8;11
4;"PicS";2880;0.604;0.804;11
4;"PicS";2880;0.434;0.634;11
4;"PicS";2880;0.281;0.481;11
4;"PicS";2880;0.676;0.876;11
4;"PicS";2880;0.844;1.044;11
4;"PicS";2880;0.508;0.708;11
4;"PicS";2880;0.705;0.905;11
4;"PicS";2880;0.552;0.752;11
4;"PicS";2880;0.373;0.573;11
5;"PicS";2880;0.602;0.802;11
5;"PicS";2880;1.049;1.249;11
5;"PicS";2880;0.824;1.024;11
5;"PicS";2880;0.782;0.982;11
5;"PicS";2880;1.007;1.207;11
5;"PicS";2880;1.149;1.349;11
5;"PicS";2880;0.969;1.169;11
5;"PicS";2880;1.221;1.421;11
5;"PicS";2880;0.634;0.834;11
5;"PicS";2880;1.257;1.457;11
5;"PicS";2880;0.871;1.071;11
5;"PicS";2880;1.035;1.235;11
5;"PicS";2880;0.429;0.629;11
5;"PicS";2880;1.07;1.27;11
5;"PicS";2880;0.947;1.147;11
5;"PicS";2880;0.6;0.8;11
5;"PicS";2880;0.604;0.804;11
5;"PicS";2880;0.434;0.634;11
5;"PicS";2880;0.281;0.481;11
5;"PicS";2880;0.676;0.876;11
5;"PicS";2880;0.844;1.044;11
5;"PicS";2880;0.508;0.708;11
5;"PicS";2880;0.705;0.905;11
5;"PicS";2880;0.552;0.752;11
5;"PicS";2880;0.373;0.573;11
6;"PicS";2880;0.602;0.802;11
6;"PicS";2880;1.049;1.249;11
6;"PicS";2880;0.824;1.024;11
6;"PicS";2880;0.782;0.982;11
6;"PicS";2880;1.007;1.207;11
6;"PicS";2880;1.149;1.349;11
6;"PicS";2880;0.969;1.169;11
6;"PicS";2880;1.221;1.421;11
6;"PicS";2880;0.634;0.834;11
6;"PicS";2880;1.257;1.457;11
6;"PicS";2880;0.871;1.071;11
6;"PicS";2880;1.035;1.235;11
6;"PicS";2880;0.429;0.629;11
6;"PicS";2880;1.07;1.27;11
6;"PicS";2880;0.947;1.147;11
6;"PicS";2880;0.6;0.8;11
6;"PicS";2880;0.604;0.804;11
6;"PicS";2880;0.434;0.634;11
6;"PicS";2880;0.281;0.481;11
6;"PicS";2880;0.676;0.876;11
6;"PicS";2880;0.844;1.044;11
6;"PicS";2880;0.508;0.708;11
6;"PicS";2880;0.705;0.905;11
6;"PicS";2880;0.552;0.752;11
6;"PicS";2880;0.373;0.573;11
7;"PicS";2880;0.602;0.802;11
7;"PicS";2880;1.049;1.249;11
7;"PicS";2880;0.824;1.024;11
7;"PicS";2880;0.782;0.982;11
7;"PicS";2880;1.007;1.207;11
7;"PicS";2880;1.149;1.349;11
7;"PicS";2880;0.969;1.169;11
7;"PicS";2880;1.221;1.421;11
7;"PicS";2880;0.634;0.834;11
7;"PicS";2880;1.257;1.457;11
7;"PicS";2880;0.871;1.071;11
7;"PicS";2880;1.035;1.235;11
7;"PicS";2880;0.429;0.629;11
7;"PicS";2880;1.07;1.27;11
7;"PicS";2880;0.947;1.147;11
7;"PicS";2880;0.6;0.8;11
7;"PicS";2880;0.604;0.804;11
7;"PicS";2880;0.434;0.634;11
7;"PicS";2880;0.281;0.481;11
7;"PicS";2880;0.676;0.876;11
7;"PicS";2880;0.844;1.044;11
7;"PicS";2880;0.508;0.708;11
7;"PicS";2880;0.705;0.905;11
7;"PicS";2880;0.552;0.752;11
7;"PicS";2880;0.373;0.573;11
8;"PicS";2880;0.602;0.802;11
8;"PicS";2880;1.049;1.249;11
8;"PicS";2880;0.824;1.024;11
8;"PicS";2880;0.782;0.982;11
8;"PicS";2880;1.007;1.207;11
8;"PicS";2880;1.149;1.349;11
8;"PicS";2880;0.969;1.169;11
8;"PicS";2880;1.221;1.421;11
8;"PicS";2880;0.634;0.834;11
8;"PicS";2880;1.257;1.457;11
8;"PicS";2880;0.871;1.071;11
8;"PicS";2880;1.035;1.235;11
8;"PicS";2880;0.429;0.629;11
8;"PicS";2880;1.07;1.27;11
8;"PicS";2880;0.947;1.147;11
8;"PicS";2880;0.6;0.8;11
8;"PicS";2880;0.604;0.804;11
8;"PicS";2880;0.434;0.634;11
8;"PicS";2880;0.281;0.481;11
8;"PicS";2880;0.676;0.876;11
8;"PicS";2880;0.844;1.044;11
8;"PicS";2880;0.508;0.708;11
8;"PicS";2880;0.705;0.905;11
8;"PicS";2880;0.552;0.752;11
8;"PicS";2880;0.373;0.573;11
9;"PicS";2880;0.602;0.802;11
9;"PicS";2880;1.049;1.249;11
9;"PicS";2880;0.824;1.024;11
9;"PicS";2880;0.782;0.982;11
9;"PicS";2880;1.007;1.207;11
9;"PicS";2880;1.149;1.349;11
9;"PicS";2880;0.969;1.169;11
9;"PicS";2880;1.221;1.421;11
9;"PicS";2880;0.634;0.834;11
9;"PicS";2880;1.257;1.457;11
9;"PicS";2880;0.871;1.071;11
9;"PicS";2880;1.035;1.235;11
9;"PicS";2880;0.429;0.629;11
9;"PicS";2880;1.07;1.27;11
9;"PicS";2880;0.947;1.147;11
9;"PicS";2880;0.6;0.8;11
9;"PicS";2880;0.604;0.804;11
9;"PicS";2880;0.434;0.634;11
9;"PicS";2880;0.281;0.481;11
9;"PicS";2880;0.676;0.876;11
9;"PicS";2880;0.844;1.044;11
9;"PicS";2880;0.508;0.708;11
9;"PicS";2880;0.705;0.905;11
9;"PicS";2880;0.552;0.752;11
9;"PicS";2880;0.373;0.573;11
10;"PicS";2880;0.602;0.802;11
10;"PicS";2880;1.049;1.249;11
10;"PicS";2880;0.824;1.024;11
10;"PicS";2880;0.782;0.982;11
10;"PicS";2880;1.007;1.207;11
10;"PicS";2880;1.149;1.349;11
10;"PicS";2880;0.969;1.169;11
10;"PicS";2880;1.221;1.421;11
10;"PicS";2880;0.634;0.834;11
10;"PicS";2880;1.257;1.457;11
10;"PicS";2880;0.871;1.071;11
10;"PicS";2880;1.035;1.235;11
10;"PicS";2880;0.429;0.629;11
10;"PicS";2880;1.07;1.27;11
10;"PicS";2880;0.947;1.147;11
10;"PicS";2880;0.6;0.8;11
10;"PicS";2880;0.604;0.804;11
10;"PicS";2880;0.434;0.634;11
10;"PicS";2880;0.281;0.481;11
10;"PicS";2880;0.676;0.876;11
10;"PicS";2880;0.844;1.044;11
10;"PicS";2880;0.508;0.708;11
10;"PicS";2880;0.705;0.905;11
10;"PicS";2880;0.552;0.752;11
10;"PicS";2880;0.373;0.573;11
11;"PicS";2880;0.602;0.802;11
11;"PicS";2880;1.049;1.249;11
11;"PicS";2880;0.824;1.024;11
11;"PicS";2880;0.782;0.982;11
11;"PicS";2880;1.007;1.207;11
11;"PicS";2880;1.149;1.349;11
11;"PicS";2880;0.969;1.169;11
11;"PicS";2880;1.221;1.421;11
11;"PicS";2880;0.634;0.834;11
11;"PicS";2880;1.257;1.457;11
11;"PicS";2880;0.871;1.071;11
11;"PicS";2880;1.035;1.235;11
11;"PicS";2880;0.429;0.629;11
11;"PicS";2880;1.07;1.27;11
11;"PicS";2880;0.947;1.147;11
11;"PicS";2880;0.6;0.8;11
11;"PicS";2880;0.604;0.804;11
11;"PicS";2880;0.434;0.634;11
11;"PicS";2880;0.281;0.481;11
11;"PicS";2880;0.676;0.876;11
11;"PicS";2880;0.844;1.044;11
11;"PicS";2880;0.508;0.708;11
11;"PicS";2880;0.705;0.905;11
11;"PicS";2880;0.552;0.752;11
11;"PicS";2880;0.373;0.573;11
12;"PicS";2880;0.602;0.802;11
12;"PicS";2880;1.049;1.249;11
12;"PicS";2880;0.824;1.024;11
12;"PicS";2880;0.782;0.982;11
12;"PicS";2880;1.007;1.207;11
12;"PicS";2880;1.149;1.349;11
12;"PicS";2880;0.969;1.169;11
12;"PicS";2880;1.221;1.421;11
12;"PicS";2880;0.634;0.834;11
12;"PicS";2880;1.257;1.457;11
12;"PicS";2880;0.871;1.071;11
12;"PicS";2880;1.035;1.235;11
12;"PicS";2880;0.429;0.629;11
12;"PicS";2880;1.07;1.27;11
12;"PicS";2880;0.947;1.147;11
12;"PicS";2880;0.6;0.8;11
12;"PicS";2880;0.604;0.804;11
12;"PicS";2880;0.434;0.634;11
12;"PicS";2880;0.281;0.481;11
12;"PicS";2880;0.676;0.876;11
12;"PicS";2880;0.844;1.044;11
12;"PicS";2880;0.508;0.708;11
12;"PicS";2880;0.705;0.905;11
12;"PicS";2880;0.552;0.752;11
12;"PicS";2880;0.373;0.573;11
13;"PicS";2880;0.602;0.802;11
13;"PicS";2880;1.049;1.249;11
13;"PicS";2880;0.824;1.024;11
13;"PicS";2880;0.782;0.982;11
13;"PicS";2880;1.007;1.207;11
13;"PicS";2880;1.149;1.349;11
13;"PicS";2880;0.969;1.169;11
13;"PicS";2880;1.221;1.421;11
13;"PicS";2880;0.634;0.834;11
13;"PicS";2880;1.257;1.457;11
13;"PicS";2880;0.871;1.071;11
13;"PicS";2880;1.035;1.235;11
13;"PicS";2880;0.429;0.629;11
13;"PicS";2880;1.07;1.27;11
13;"PicS";2880;0.947;1.147;11
13;"PicS";2880;0.6;0.8;11
13;"PicS";2880;0.604;0.804;11
13;"PicS";2880;0.434;0.634;11
13;"PicS";2880;0.281;0.481;11
13;"PicS";2880;0.676;0.876;11
13;"PicS";2880;0.844;1.044;11
13;"PicS";2880;0.508;0.708;11
13;"PicS";2880;0.705;0.905;11
13;"PicS";2880;0.552;0.752;11
13;"PicS";2880;0.373;0.573;11
14;"PicS";2880;0.602;0.802;11
14;"PicS";2880;1.049;1.249;11
14;"PicS";2880;0.824;1.024;11
14;"PicS";2880;0.782;0.982;11
