resourceUnitIndex	year	remaining
0	1	0
1	11	0
2	41	0
3	91	0
4	1	0
5	11	0
6	41	0
7	91	0
8	1	0
9	11	0
10	41	0
11	91	0
12	1	0
13	11	0
14	41	0
15	91	0
16	1	0
17	11	0
18	41	0
19	91	0
20	1	0
21	11	0
22	41	0
23	91	0
24	1	0
25	11	0
26	41	0
27	91	0
28	1	0
29	11	0
30	41	0
31	91	0
32	1	0
33	11	0
34	41	0
35	91	0
36	1	0
37	11	0
38	41	0
39	91	0
40	1	0
41	11	0
42	41	0
43	91	0
44	1	0
45	11	0
46	41	0
47	91	0
48	1	0
49	11	0
50	41	0
51	91	0
52	1	0
53	11	0
54	41	0
55	91	0
56	1	0
57	11	0
58	41	0
59	91	0
60	1	0
61	11	0
62	41	0
63	91	0
64	1	0
65	11	0
66	41	0
67	91	0
68	1	0
69	11	0
70	41	0
71	91	0
72	1	0
73	11	0
74	41	0
75	91	0
76	1	0
77	11	0
78	41	0
79	91	0
80	1	0
81	11	0
82	41	0
83	91	0
84	1	0
85	11	0
86	41	0
87	91	0
88	1	0
89	11	0
90	41	0
91	91	0
92	1	0
93	11	0
94	41	0
95	91	0
96	1	0
97	11	0
98	41	0
99	91	0
100	1	0
101	11	0
102	41	0
103	91	0
104	1	0
105	11	0
106	41	0
107	91	0
108	1	0
109	11	0
110	41	0
111	91	0
112	1	0
113	11	0
114	41	0
115	91	0
116	1	0
117	11	0
118	41	0
119	91	0
